case,method,base_all35_error,half_dt_all35_error,base_fourth_block_rmse,half_dt_fourth_block_rmse,base_M400_error,half_dt_M400_error,base_M400_final_z,half_dt_M400_final_z,base_limited_steps,base_minimum_lambda,base_removed_nonlinear_fraction
stage9_correlated,stage9_finite_map,0.00432428395564563,0.004321795931450409,0.006543215849479411,0.006539390923779549,0.0043397557947914564,0.00433489330973023,-1.8880879094189562,-1.8876636815386227,0,1.0,0.0
stage9_correlated,guarded_grad_map,0.003910370464276478,0.003915363135268694,0.006126949509127665,0.006132867595746978,0.0040920623335283296,0.004088459888302719,-1.5222123177661506,-1.529964986404038,0,1.0,0.0
rare_hot_anisotropic_w0.02_r25,stage9_finite_map,0.0489040357323088,0.04895836083862451,0.2199580766125007,0.22020257745486002,0.04446720099686933,0.04450227269862653,0.981148226157138,0.9812370588952908,0,1.0,0.0
rare_hot_anisotropic_w0.02_r25,guarded_grad_map,0.04832485764569476,0.04841562433199498,0.21735136065969032,0.21775987709171285,0.04214226724817787,0.04221561208385922,0.9738152909788086,0.9740246945311443,0,1.0,0.0
counterstream_ma20,stage9_finite_map,0.0023833348039745766,0.0023933994000199235,0.004494388849171081,0.004514286335581523,0.0019553497361371104,0.0019695869843080467,-1.1903759063907275,-1.1906117802753142,0,1.0,0.0
counterstream_ma20,guarded_grad_map,0.009264604013184949,0.009273716049520497,0.017862120885291002,0.017879742785778377,0.010199398668435798,0.010209486739835105,-0.6803605287849598,-0.6604060470830825,0,1.0,0.0
crossing_ma20,stage9_finite_map,0.0026448505826935954,0.0026639511505036355,0.003999958488453883,0.004030356913429148,0.003178279263898415,0.0032006044028620234,-1.2777322894589052,-1.2797784792839713,0,1.0,0.0
crossing_ma20,guarded_grad_map,0.006210108155377552,0.006215395508363726,0.009591560135761621,0.00959980100833934,0.004234680824003118,0.0042059904258813004,-1.2038349114533469,-1.190950693648839,0,1.0,0.0
rare_beam_ma20,stage9_finite_map,0.16413022195252805,0.16258099009724752,2.006722143043736,1.987803311829032,0.16589898415992133,0.16433682364782964,-62.02583942842997,-61.72446419458182,0,1.0,0.0
rare_beam_ma20,guarded_grad_map,0.11994677559732354,0.12215978234939671,1.466654676989615,1.4936878401525098,0.126726813137923,0.128950251387896,-69.09562815860019,-69.95680712972433,14,0.6748070964410372,0.014004758631026612
counterstream_ma100,stage9_finite_map,0.002398588001434239,0.002410222568477907,0.0045414576211222114,0.004564446117693221,0.0019827890647727033,0.0019995742186974695,-1.1830915846185597,-1.1834125046051638,0,1.0,0.0
counterstream_ma100,guarded_grad_map,0.009191597153534308,0.00920058063725278,0.017754181187929065,0.01777158299011496,0.01010990315778927,0.010119829707050925,-0.6640419190308496,-0.6438882500538102,0,1.0,0.0
