sample,time,stage9_rho,stage9_momentum_x,stage9_momentum_y,stage9_momentum_z,stage9_energy_trace,stage9_M200,stage9_M020,stage9_M002,stage9_M300,stage9_M030,stage9_M003,stage9_M400,stage9_M040,stage9_M004,stage9_M110,stage9_M101,stage9_M011,stage9_M210,stage9_stress_norm,stage9_qx,stage9_qy,stage9_qz,stage9_heat_flux_norm,stage9_realizability_margin,grad_rho,grad_momentum_x,grad_momentum_y,grad_momentum_z,grad_energy_trace,grad_M200,grad_M020,grad_M002,grad_M300,grad_M030,grad_M003,grad_M400,grad_M040,grad_M004,grad_M110,grad_M101,grad_M011,grad_M210,grad_stress_norm,grad_qx,grad_qy,grad_qz,grad_heat_flux_norm,grad_realizability_margin,particle_rho,particle_momentum_x,particle_momentum_y,particle_momentum_z,particle_energy_trace,particle_M200,particle_M020,particle_M002,particle_M300,particle_M030,particle_M003,particle_M400,particle_M040,particle_M004,particle_M110,particle_M101,particle_M011,particle_M210,particle_stress_norm,particle_qx,particle_qy,particle_qz,particle_heat_flux_norm,particle_realizability_margin,particle_sem_M000,particle_sem_M100,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M010,particle_sem_M110,particle_sem_M210,particle_sem_M310,particle_sem_M020,particle_sem_M120,particle_sem_M220,particle_sem_M030,particle_sem_M130,particle_sem_M040,particle_sem_M001,particle_sem_M101,particle_sem_M201,particle_sem_M301,particle_sem_M002,particle_sem_M102,particle_sem_M202,particle_sem_M003,particle_sem_M103,particle_sem_M004,particle_sem_M011,particle_sem_M111,particle_sem_M211,particle_sem_M021,particle_sem_M121,particle_sem_M031,particle_sem_M012,particle_sem_M112,particle_sem_M013,particle_sem_M022
0,0.0,1.0,0.0,0.0,0.0,3.0000000000000004,2.9994001799460164,0.0002999100269919025,0.0002999100269919025,0.0,0.0,0.0,8.999999460323854,2.6983807287085107e-07,2.6983807287085107e-07,0.0,0.0,0.0,0.0,2.4487551162483037,0.0,0.0,0.0,0.0,6.917967503853064e-08,1.0,0.0,0.0,0.0,3.0000000000000004,2.9994001799460164,0.0002999100269919025,0.0002999100269919025,0.0,0.0,0.0,8.999999460323854,2.6983807287085107e-07,2.6983807287085107e-07,0.0,0.0,0.0,0.0,2.4487551162483037,0.0,0.0,0.0,0.0,6.917967503853064e-08,1.0,0.0,0.0,0.0,2.9999999999999996,2.9994001799460155,0.0002999100269919025,0.0002999100269919025,0.0,0.0,0.0,8.999999460323853,2.6983807287085107e-07,2.6983807287085107e-07,0.0,0.0,0.0,0.0,2.4487551162483028,0.0,0.0,0.0,0.0,6.917967503853066e-08,0.0,0.0,2.293266818639604e-16,0.0,4.586533637279208e-16,0.0,0.0,0.0,0.0,0.0,0.0,5.598795943944346e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598795943944346e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.417233852505094e-24
1,0.025,1.0,0.0,0.0,0.0,3.000000000000002,2.9018882849876557,0.049055857506173105,0.04905585750617312,2.922252016143121e-16,-2.429982445578269e-19,-1.0297021239160812e-17,8.976519203821248,0.007217726181025565,0.0072177261810255616,0.0,0.0,-1.1436751373824499e-18,-7.242698116623362e-17,2.329327922998375,1.4611260080715604e-16,-3.644901640841152e-17,-1.561955486497537e-16,2.169665235232605e-16,0.0018119607544991039,1.0,0.0,0.0,0.0,3.000000000000001,2.901888282516671,0.04905585874166476,0.04905585874166476,2.131296350916061e-19,-6.160198552190141e-20,-6.541253723689028e-20,8.984991268825102,0.0072177272548911596,0.0072177272548911596,-2.552140444882606e-34,8.54248696525684e-35,-3.2227816312162195e-33,5.025471554491192e-20,2.32932791997205,2.2522775697574377e-29,2.689244366907251e-29,2.653944102280871e-29,4.39865988844401e-29,0.0018108062370407632,1.0,2.2971533529536625e-18,-5.873114698024505e-19,1.1533412368051367e-18,2.9999999999999987,2.9018223401611474,0.049085037353772565,0.04909262248507916,-0.00059683713247497,1.2459568021558615e-06,1.2859991700910774e-06,8.977879227068108,0.007231872164602656,0.007221097503228928,-0.00023398257397964055,-0.0001017749047844648,0.00011511404874189513,-0.00012307994927054954,2.329247191057069,-0.00019555597795249934,-6.0977279958829274e-05,-2.038116772620417e-05,0.0002058537373525667,0.0018097210357405297,0.0,4.398889969344416e-17,0.00014885569563539687,0.00032070004411945883,0.00165760638953943,5.17277071770665e-18,0.0003700735513267641,9.781415174119583e-05,0.0011682504337944852,9.662825535122969e-05,8.385027435382424e-05,0.0002725136678387869,1.9923768683350152e-06,5.482709474592036e-05,3.2898882801456905e-05,3.627896344214013e-18,0.0002741702696181499,0.00012632341054518627,0.0009466964024885013,7.193691608712762e-05,0.00011095693999866553,0.0002155824721951518,2.887996310803109e-06,6.462747757218604e-05,2.1972497321389923e-05,6.227627996752891e-05,6.686943274837274e-05,0.00018348094278723503,1.1842791072350349e-06,2.2723345007630994e-05,1.2485444815551022e-05,1.5732294362331705e-06,2.6028180092040756e-05,1.0624415582901119e-05,8.864051798452145e-06
2,0.05,1.0,0.0,0.0,0.0,3.000000000000002,2.8091321064352184,0.09543394678239177,0.09543394678239175,1.1152277642786573e-16,-2.2814322620854113e-17,-3.9009944791777516e-17,8.912877105699799,0.027297359226847187,0.02729735922684718,0.0,2.0833799944601546e-19,-5.833526288028757e-18,-6.135831327918633e-16,2.2157252690263953,5.576138821393286e-17,-3.2412525046497495e-16,-4.1798086386104966e-16,5.318594861037613e-16,0.006734242148019046,1.0,0.0,0.0,0.0,3.0000000000000013,2.809132096442984,0.09543395177850887,0.09543395177850887,4.818723338178682e-19,6.810736940120129e-20,6.118847451207024e-20,8.941260002634582,0.027297683579815966,0.027297683579815966,3.753698851782315e-33,1.2109046207080548e-33,-6.029732086604979e-33,-7.095990492831201e-20,2.2157252567884576,-3.110605564366282e-29,2.4851038425875183e-29,2.380001030697446e-29,4.6385356516502734e-29,0.0067202225060473,1.0,-2.2144829373016428e-17,1.2631378825929754e-19,3.7109572210394966e-18,2.999999999999999,2.8088849843507844,0.09553566894069611,0.09557934670851842,-8.816374859799416e-05,2.426789028946114e-06,1.6674098800548062e-06,8.913690826853749,0.027299343099399034,0.02741662903618935,0.0001753666595944722,-0.00044844479528122964,3.1699270342377115e-05,-0.0002463866913794269,2.2154227128452413,5.7518678921785545e-05,-0.0001213756631319857,-9.808000693968552e-05,0.00016631337224326097,0.006760770148666098,0.0,5.561521007603168e-17,0.00025214822224173613,0.000606431501592551,0.002573625179360924,1.000826054787848e-17,0.000374893947686983,0.0002788853532303011,0.0014191610637914567,0.0001796679820224753,0.000177553708508204,0.0005013517528366498,5.031612186560734e-06,0.00013642086465561495,0.00010542902603109697,4.073552631080583e-18,0.00038307166791462033,0.00020698053884711878,0.0014147103332037422,0.00013050031330642394,0.00023210629620938007,0.00034100452379216297,4.7758474510991075e-06,0.00013382414946174376,9.838485691740772e-05,9.494000245747159e-05,0.00015043349433161793,0.00029049829943951434,2.22378855530977e-06,6.993343430467275e-05,2.4511118432539488e-05,3.0808797046408762e-06,4.7875399816665355e-05,3.0597789797915455e-05,3.067476195950224e-05
3,0.075,1.0,0.0,0.0,0.0,3.000000000000002,2.7208997058541593,0.13955014707292143,0.1395501470729215,1.0346452940822778e-16,-9.008220220004132e-18,-3.4760012476468046e-17,8.819485069252382,0.05830919808930879,0.05830919808930875,0.0,1.9817723531466317e-19,-4.593805148129081e-18,-6.604185051782941e-16,2.1076630889241748,5.173226470411389e-17,-3.440090658460554e-16,-4.511093120049125e-16,5.696648804106127e-16,0.014174743090345592,1.0,0.0,0.0,0.0,3.0000000000000018,2.7208996829452277,0.13955015852738692,0.13955015852738692,-1.4237393192934193e-18,1.4310888520891474e-19,1.5197118626454129e-19,8.871335171887386,0.05831170281287119,0.05831170281287119,1.325070100526681e-32,4.423868141974888e-33,-1.4797687176691831e-33,-1.3930570214309568e-19,2.1076630608665785,2.6456788535539117e-29,2.359932539750377e-29,2.2380232807565417e-29,4.192570380270709e-29,0.014122106609470095,1.0,-1.0184724157785707e-17,1.6857755595373492e-17,6.251844304565584e-18,2.999999999999999,2.720282556231887,0.13992486053584804,0.13979258323226437,0.0010279430526927502,-1.0207990435213446e-07,2.721348077983159e-06,8.817689789132714,0.05862319120920387,0.058458333560775455,-3.783053013243248e-05,-9.380746152982681e-05,-3.480435861868946e-05,-8.421337321568552e-05,2.1069072455964646,0.00043740862440329016,-4.435673323074113e-05,-0.00023011458805909395,0.0004962323529586601,0.014216811283554483,0.0,5.733010746065395e-17,0.00034769784028215847,0.0006441266252012054,0.002269063788873835,1.2012280291271628e-17,0.0004405746033988073,0.0004518421796864481,0.0016948099187933654,0.0002431068707248191,0.00020313422075322115,0.0006335576228961445,9.80097773588235e-06,0.0002453598414203806,0.00024380146655732007,5.745056187556474e-18,0.00046766858887277836,0.00027268040589526686,0.0019027754972313373,0.00018498839149722987,0.000256128991668434,0.0005646207182353713,4.67361104877177e-06,0.0002269452008099969,0.00019266359652170338,0.00013114078825474213,0.0002101740821723059,0.0003759093786194809,3.5192345728479064e-06,0.0001087512651023693,6.976605326416146e-05,6.678858307311451e-06,8.024640681866047e-05,8.391045635968783e-05,6.179508523765717e-05
4,0.1,1.0,0.0,0.0,0.0,3.000000000000003,2.636970456400471,0.18151477179976602,0.18151477179976613,4.096591439127132e-16,-1.510409968767199e-16,-1.417412190546449e-18,8.704282509499789,0.09853280603358403,0.0985328060335841,0.0,1.885120174975094e-19,5.283090110147534e-18,-1.5734791194535563e-15,2.004871171096024,2.048295719563566e-16,-8.981786503518239e-16,-3.7494789617157356e-16,9.94618502914126e-16,0.023653526075866706,1.0,0.0,0.0,0.0,3.000000000000003,2.636970415031447,0.18151479248427801,0.18151479248427801,-7.286103205518754e-19,-4.229220787132712e-19,-4.164343490379752e-19,8.778636449392463,0.09854189993143224,0.09854189993143224,2.1947040334601487e-32,4.5360084579192596e-33,5.6582381834400555e-33,4.5437305716972755e-19,2.004871120429524,1.6867246304694802e-29,1.972821523708204e-29,1.8348984581533427e-29,3.178665930099022e-29,0.023530349905712206,1.0,-8.28059409235804e-18,2.7113842278965374e-17,1.3052671838070361e-17,2.9999999999999987,2.6363933709070766,0.18212381477405662,0.18148281431886557,0.0011301407523255024,-8.478899781385166e-06,1.3700780188912977e-05,8.704811393923794,0.09923838220204945,0.09834059902029596,0.0001393045897667822,-0.0005734014477379859,7.364265539169432e-05,0.00015542528796179639,2.004164616292831,0.0002101628417932467,6.921202134164495e-05,-0.0001373003003489913,0.00026040371818530694,0.023657253928975084,0.0,5.662128322312366e-17,0.0003648916867637919,0.0009547970087989617,0.0037569230250800805,1.0511693549150886e-17,0.0005349308945553544,0.0006368558590478093,0.0020876902084576454,0.0002931046607951686,0.00034382761333646484,0.0007720507454313903,1.2925883427481194e-05,0.00035548645885466934,0.0003556858525501771,7.777616909977613e-18,0.0004740731993642488,0.0005601990182102932,0.001879215379331602,0.00016194463852289308,0.0002889078883888747,0.0004893875528787313,9.675260648493855e-06,0.000342584030352856,0.0002924403184914527,0.0001208283312431773,0.00022805706683222898,0.0003656961499079731,6.099738438027719e-06,0.00014301759905771777,0.00011053029044580257,7.299052688968205e-06,0.00012176177390957559,0.0001387996226777627,0.00010253891199480974
5,0.125,1.0,0.0,0.0,0.0,3.000000000000003,2.557134490620655,0.221432754689674,0.22143275468967433,-5.017311792661084e-17,-1.3941959749275792e-16,4.900758338615583e-17,8.573334599199253,0.14644772660113026,0.14644772660113037,-2.1148662509355204e-19,1.793181779156242e-19,-8.153245316889498e-18,-1.430875845552864e-15,1.9070924814546002,-2.508655896330542e-17,-8.121894852516473e-16,-1.9452877354811852e-16,8.355372757286718e-16,0.034774298715809525,1.0,0.0,0.0,0.0,3.0000000000000044,2.5571344258150543,0.22143278709247505,0.22143278709247505,-1.4743014144390892e-18,-6.702997948576753e-19,-6.728409801625174e-19,8.666898524119214,0.14646988696524707,0.14646988696524707,2.918503716382033e-32,1.6391868226020135e-33,1.371573006022333e-32,7.59090085726006e-19,1.907092402084273,2.6155332350993905e-29,1.5897432244136457e-29,1.451510806361467e-29,3.387503689217577e-29,0.03455148283771271,1.0,-1.0570971181733668e-17,2.1582928891631607e-17,7.783703389674986e-18,2.9999999999999982,2.556690093188517,0.2221416501320485,0.22116825667943277,0.0002759004872710617,1.7328061895165741e-06,1.550098462523156e-05,8.571575023057141,0.14758079526134407,0.14611313563607736,0.0008859973258817601,-0.00040156483559739876,-9.747864003417951e-05,-0.0002570412123353581,1.90654883351821,-0.00014426545443085195,-0.00013604459162801414,-0.00016105167907913993,0.0002554570327620354,0.03469838921544647,0.0,6.039553286611012e-17,0.00047277920873843116,0.001048620308857101,0.004136672649216314,1.0664845557147756e-17,0.0005948034849510989,0.000744573310101334,0.002158110212058729,0.00036582429737502527,0.0003552771242532512,0.0008909841238842536,1.448012496885907e-05,0.000528145980156935,0.0006209814427916262,1.0087377198864991e-17,0.0004635085053465243,0.00044242679162186685,0.0018411497438754075,0.00024434313921536103,0.00037537088812874506,0.0005985457500960141,1.4185634432609679e-05,0.00046045560435943605,0.0004792332860265228,0.0001896154020140268,0.00028763306196705424,0.0005285927780124023,7.145535527146819e-06,0.00019207076047412193,0.00020756572026198083,8.013919962619919e-06,0.00020841613340945894,0.00020035749960857794,0.00015803360148162438
6,0.15,1.0,0.0,0.0,0.0,3.0000000000000036,2.481192175822311,0.2594039120888461,0.25940391208884633,-4.6547783345207506e-17,-1.1246237498706549e-17,7.324710159236966e-17,8.431282928943512,0.2007174978145695,0.2007174978145697,-2.0117230067733757e-19,1.7057272718119563e-19,-1.054064021950993e-17,-9.097566646029395e-16,1.8140825208837228,-2.3273891672603753e-17,-4.646780230816638e-16,-3.07981868540487e-16,5.579607248887337e-16,0.047206587962696674,1.0,0.0,0.0,0.0,3.0000000000000044,2.4811920837383,0.25940395813085243,0.25940395813085243,2.171822164818937e-18,-1.1936738116530173e-18,-1.1682611878291235e-18,8.539802609269582,0.2007610859258818,0.2007610859258818,3.999575744287721e-32,2.522418085216865e-33,2.0383487190398466e-32,1.3011370486921297e-18,1.8140824081043019,-1.2052180702483664e-29,1.179319127321219e-29,1.1042800818630314e-29,2.015633572879332e-29,0.04686295657315849,1.0,-2.0586288750068515e-17,2.5932019559308812e-17,7.153510876917787e-18,2.999999999999999,2.4810315092952075,0.26005005358207,0.25891843712272156,4.120181144017898e-05,2.4625228146273224e-05,5.910156029976678e-06,8.431349101585456,0.20176053391216042,0.2006373667612775,0.0008093738735186727,-0.0007110509912479353,-8.731439270720608e-05,-0.0002698620415198184,1.8138865659606538,-0.00015241977481387505,-0.00013203770963791361,-0.00015310106065623822,0.00025319099370791904,0.04714555705128215,0.0,5.896553059425475e-17,0.0006756399820922916,0.0011522579739696043,0.0058941227544877465,1.1512269469096551e-17,0.0006280575493512814,0.000638927344520629,0.002606046579598423,0.00044699009024687283,0.00040894917725719723,0.0009623947896101182,1.726017686771238e-05,0.0007075924090549198,0.0008253846497913546,1.413491641005739e-17,0.0006973811134678181,0.00037020524106468874,0.00291114389371502,0.00041606754154197305,0.00047520789021232205,0.0009614706866081334,1.6000633318706837e-05,0.0006684305076000141,0.0008579012980423237,0.0003181503710904437,0.0002870294319130917,0.0007175072574652809,8.804801550743848e-06,0.0003285588827420123,0.0003814999421456324,8.167500306728492e-06,0.00022577020352557216,0.0003064206130561343,0.0002238071934112759
7,0.17500000000000002,1.0,0.0,0.0,0.0,3.0000000000000036,2.408953615175895,0.29552319241205416,0.29552319241205444,-4.3184402801548906e-17,1.9907637506841114e-16,1.0630373685127351e-16,8.281685376035751,0.2601730698204141,0.2601730698204144,-1.9136101179878821e-19,1.6225379711208585e-19,-4.321717943151586e-17,-3.089599749946459e-16,1.7256087142153145,-2.1592201400774453e-17,-3.580720131885953e-17,-4.612598743774271e-16,4.631512177877769e-16,0.06067240756788195,1.0,0.0,0.0,0.0,3.000000000000004,2.4089534933893924,0.295523253305306,0.295523253305306,8.555225761966537e-20,-1.5069165099515476e-18,-1.4273540476957426e-18,8.400762281359956,0.2602472690624885,0.2602472690624885,5.514265292508301e-32,8.021057705015012e-33,2.3124992166533055e-32,1.4231877320440523e-18,1.7256085650579198,-3.8054750697701204e-30,1.8169668466648823e-29,1.7498806881707986e-29,2.551130602258311e-29,0.060196875466696935,1.0,-2.168404344971009e-17,2.174301811866267e-17,7.365269113731362e-18,2.999999999999998,2.408548673359609,0.29621594267644513,0.29523538396394383,-0.00030918392624262956,2.8310744897715076e-05,-3.080473794917923e-06,8.278047325327309,0.2617654330088335,0.25990837505047554,0.0009080935386417605,-0.0006917444928991878,0.0001794446112645454,0.00043287567100698114,1.7251136772026774,-0.00026247997951630024,0.00022276945400580492,-0.0004206071446124559,0.0005435368795067776,0.06071036081907078,0.0,5.73051303564294e-17,0.0006091633789350562,0.0013945207000179967,0.004933043012446012,1.2356208213097544e-17,0.0007087413154380391,0.0008186713103505393,0.003329303578432515,0.000390276408292483,0.0004986064643144123,0.0006663706304370122,1.6888565780065127e-05,0.0008293910265742626,0.0008187271546532121,1.666388275688868e-17,0.0007536971044348064,0.0003880530323047995,0.002903630003943249,0.0004017911626874051,0.0005135918795364168,0.0009555987533813126,1.81047871515629e-05,0.0008479986584631724,0.0010493649918183108,0.00036812362489873837,0.00039053812709659183,0.0009533584535482067,1.0176464756434259e-05,0.00035696857830683616,0.0005524400188543653,1.0253259542911846e-05,0.0003132273474044377,0.0003865070275339369,0.00022703443149269334
8,0.2,1.0,0.0,0.0,0.0,3.000000000000003,2.3402381731201096,0.3298809134399464,0.3298809134399468,6.201728484816713e-17,6.732537793850607e-18,1.1669498611664888e-16,8.127272841862759,0.32379663996087055,0.3237966399608711,-4.128143243497471e-19,1.5434058604998486e-19,-4.969067561327106e-17,-7.637340971229634e-16,1.6414498289720858,3.1008642424083566e-17,-3.973134684688404e-16,-2.769169759277436e-16,4.852860390416063e-16,0.07493578165159633,1.0,0.0,0.0,0.0,3.0000000000000018,2.3402380206650575,0.3298809896674723,0.3298809896674723,-7.72206466152004e-19,-1.215638234940466e-18,-1.0980974780763464e-18,8.252816643846158,0.32390898794216627,0.32390898794216627,6.65768356155608e-32,1.3884787640673464e-32,2.0688355559533572e-32,1.0379690523273193e-18,1.6414496422535427,4.9670696230719006e-30,2.2188626852223192e-29,2.153883012604909e-29,3.131977243573848e-29,0.07432813189743738,1.0,-4.015613796343187e-17,2.869969971446224e-17,1.0831433813014366e-19,2.9999999999999987,2.339459292684447,0.3310032959497036,0.32953741136584797,-0.0008743652242538415,4.49273983526937e-05,-1.924815258033272e-05,8.123498544508315,0.32590075583753486,0.3237317035954673,0.0006753832650701017,-0.0009210059980174303,0.00016062203794347719,-2.7367012285552334e-05,1.6404970374660761,-0.0006328860980488531,1.827471739826627e-06,-0.0004014627769765626,0.0007494801625488133,0.07505968884668103,0.0,5.1032333884608284e-17,0.0007199834137460027,0.0014426854776231296,0.005327503085114079,1.0677527099474226e-17,0.0008547783879863093,0.0008343548297726464,0.0037835718268905095,0.00042374741863309264,0.0006777296015360535,0.0007547408691332464,2.1005838898491017e-05,0.001057000541728349,0.0007684524802105398,2.255545573019335e-17,0.0007617592818749612,0.0005136879242426817,0.0029401150801437632,0.00044315444566174803,0.0005630335563511477,0.0008288336510316144,1.916394909407014e-05,0.0008128808554881828,0.001334822352114442,0.0003967198206231042,0.0004130367590716228,0.0009292633051103009,1.4054181351672474e-05,0.00040523582039657104,0.0005342093542880143,1.215041259388236e-05,0.0003769856551058657,0.0005697272426195077,0.00029646318067694173
9,0.225,1.0,0.0,0.0,0.0,3.000000000000002,2.2748740238522007,0.36256298807390064,0.3625629880739009,2.2728655693219376e-15,9.235171850811604e-17,7.338903246663093e-17,7.970143573941492,0.39069933126317913,0.3906993312631795,1.2246650614358579e-17,-1.5055868434307094e-17,-4.012205136592045e-17,-4.384467440798532e-16,1.5613954223833404,1.1529342547224466e-15,-1.7079765504482038e-16,-3.005834844499535e-16,1.203652635026106e-15,0.0897993412654897,1.0,0.0,0.0,0.0,3.000000000000001,2.2748738410911944,0.3625630794544031,0.3625630794544031,3.1260120212167558e-18,-7.834399666622483e-19,-6.811911122924313e-19,8.09859346438797,0.39085880323944383,0.39085880323944383,7.762025630641159e-32,1.651923883629373e-32,1.9175367693181048e-32,6.899800570252606e-19,1.561395198547736,-1.908856575430243e-29,2.0729939549406452e-29,2.0081190047639611e-29,3.460286014201418e-29,0.08906582268622619,1.0,-5.0334085857639543e-17,1.3375179632737436e-17,-1.1837920712589288e-17,2.9999999999999987,2.2745159538408153,0.36329451528921547,0.36218953086996786,-5.6495018543876985e-05,2.6645623255729205e-05,-3.1035021199765335e-05,7.973139417045433,0.39145336990027335,0.3906602117202621,0.001098888353868619,-0.000540765970315588,0.00026357295032500825,0.00012333709110116058,1.560958078968083,-0.0003792962145322917,7.019383278482361e-05,-0.0003972379532819755,0.0005537064060015948,0.08996426639346618,0.0,5.246456487857585e-17,0.000965142731560452,0.0016390640058253285,0.008258529628453826,1.1116807594291824e-17,0.0007372109539194417,0.0010167765369132776,0.0031580099705536993,0.0005299549234337678,0.0007394746518066998,0.0006441991200768266,2.5906323566067818e-05,0.0011715093710654278,0.0011634829492723174,1.9890358246847666e-17,0.0008088228583674292,0.0006972472380740557,0.003367520798466637,0.0005602679500406531,0.0005869192068366621,0.001009757941161043,1.9188538866806286e-05,0.0008930376361484586,0.00165423826480148,0.00038086545969610847,0.00038260444467725903,0.000992917514274946,1.4326514374573898e-05,0.0005184832354605919,0.0005621909193123575,1.4130715245104793e-05,0.0005099990756442419,0.0005583542147730464,0.00036297192135381417
