lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,6.005981026046259e-06,1.9335379572437533e-16,1,0.00125
1.0,2.1441085285741665e-05,7.655186249988674e-11,2,0.0025
1.0,4.627131070830972e-05,6.684096257070982e-09,3,0.00375
1.0,8.039482085219137e-05,3.00956733677247e-08,4,0.005
1.0,0.0001237110973685684,8.023021929661197e-08,5,0.00625
1.0,0.00017612091354105182,1.6666175841141916e-07,6,0.0075
1.0,0.0002375263085522046,2.9862834795646183e-07,7,0.00875
1.0,0.0003078305624533751,4.85040788637588e-07,8,0.01
1.0,0.0003869381718153617,7.344911021372789e-07,9,0.01125
1.0,0.00047475482603802057,1.0552607866533111e-06,10,0.0125
1.0,0.000571187384297792,1.4553288567979725e-06,11,0.01375
1.0,0.0006761438531129139,1.9423796711104487e-06,12,0.015
1.0,0.000789533364506718,2.5238105565035247e-06,13,0.01625
1.0,0.0009112661547501769,3.206739236060311e-06,14,0.0175
1.0,0.0010412535436653992,3.998011061100097e-06,15,0.01875
1.0,0.001179407914472534,4.904206059749922e-06,16,0.02
1.0,0.0013256426941633914,5.931645802537626e-06,17,0.02125
1.0,0.0014798723343847793,7.086400092650378e-06,18,0.0225
1.0,0.001642012292816221,8.374293483820257e-06,19,0.02375
1.0,0.001811979015027061,9.800911634833631e-06,20,0.025
1.0,0.0019896899167971445,1.1371607498627692e-05,21,0.02625
1.0,0.0021750633668881796,1.3091507358467539e-05,22,0.0275
1.0,0.0023680186702511007,1.4965516709022459e-05,23,0.02875
1.0,0.0025684760516563056,1.699832599052778e-05,24,0.03
1.0,0.002776356639734224,1.9194416178727822e-05,25,0.03125
1.0,0.0029915824514137462,2.1558064234427066e-05,26,0.0325
1.0,0.0032140763767462255,2.40933484183243e-05,27,0.03375
1.0,0.0034437621641036443,2.68041534712288e-05,28,0.035
1.0,0.003680564405740032,2.9694175668083908e-05,29,0.03625
1.0,0.003924408523705005,3.276692774593613e-05,30,0.0375
1.0,0.004175220756098772,3.602574370865165e-05,31,0.03875
1.0,0.0044329281436589095,3.947378351580786e-05,32,0.04
1.0,0.004697458516669397,4.311403765497932e-05,33,0.04125
1.0,0.004968740482181161,4.694933160259053e-05,34,0.0425
1.0,0.005246703411536543,5.0982330174499985e-05,35,0.043750000000000004
1.0,0.00553127742818785,5.521554177229256e-05,36,0.045
1.0,0.005822393395801966,5.96513225246855e-05,37,0.04625
1.0,0.006119982906642083,6.429188032978543e-05,38,0.0475
1.0,0.006423978270219178,6.913927879848063e-05,39,0.04875
1.0,0.006734312502205725,7.419544110233168e-05,40,0.05
1.0,0.0070509193136027,7.946215373059754e-05,41,0.051250000000000004
1.0,0.0073737331001546185,8.494107015390734e-05,42,0.0525
1.0,0.007702688932003592,9.0633714403126e-05,43,0.05375
1.0,0.008037722543577257,9.654148456079018e-05,44,0.055
1.0,0.008378770323703369,0.00010266565616840625,45,0.05625
1.0,0.008725769305943733,0.00010900738555426761,46,0.0575
1.0,0.00907865715914307,0.00011556771308081453,47,0.058750000000000004
1.0,0.009437372178185618,0.00012234756631570947,48,0.06
1.0,0.009801853274953693,0.00012934776312672282,49,0.06125
1.0,0.01017203996948344,0.0001365690147038452,50,0.0625
1.0,0.010547872381311258,0.00014401192850968948,51,0.06375
1.0,0.010929291221006674,0.00015167701116152466,52,0.065
1.0,0.011316237781885475,0.0001595646712430789,53,0.06625
1.0,0.011708655612035306,0.00016768260658805246,54,0.0675
1.0,0.012106484049461725,0.00017600987417714514,55,0.06875
1.0,0.012509667428323573,0.0001845665049873371,56,0.07
1.0,0.012918149507207013,0.00019334722902711356,57,0.07125000000000001
1.0,0.013331876171778013,0.00020235978492489555,58,0.0725
1.0,0.013750790268750642,0.00021158721671758832,59,0.07375
1.0,0.014174836960589798,0.000221037619647963,60,0.075
1.0,0.01460396193233872,0.0002307107140362873,61,0.07625
1.0,0.015038111384751519,0.0002406061447441333,62,0.0775
1.0,0.015477232027562208,0.00025072348339405157,63,0.07875
1.0,0.015921271072888803,0.00026106223053846294,64,0.08
1.0,0.016370176228766898,0.0002716218177774962,65,0.08125
1.0,0.01682389569281073,0.00028240160982794394,66,0.0825
1.0,0.017282378145997715,0.00029340090654375627,67,0.08375
1.0,0.017745572746573752,0.0003046189448911208,68,0.085
1.0,0.018213429124074944,0.00031605490087605395,69,0.08625000000000001
1.0,0.018685897373465824,0.0003277078914289164,70,0.08750000000000001
1.0,0.019162928049386043,0.0003395769762442407,71,0.08875
1.0,0.019644472160508703,0.0003516611595796644,72,0.09
1.0,0.020130481164001988,0.00036395939201029886,73,0.09125
1.0,0.0206209069600959,0.00037647057214666555,74,0.0925
1.0,0.02111570188674801,0.0003891935483101205,75,0.09375
1.0,0.021614818714408818,0.0004021271201696898,76,0.095
1.0,0.022118210640881746,0.0004152700403432248,77,0.09625
1.0,0.022625824609032008,0.0004285832451772478,78,0.0975
1.0,0.023137620269041745,0.00044213506510792737,79,0.09875
1.0,0.023653553175777373,0.00045589734086128633,80,0.1
1.0,0.024173585971457877,0.0004699085184826886,81,0.10125
1.0,0.02469765743981424,0.00048402793707149293,82,0.10250000000000001
1.0,0.025225731061189263,0.0004983930934844732,83,0.10375000000000001
1.0,0.025757763369115946,0.0005129600706737273,84,0.105
1.0,0.026293710750287923,0.000527724361095671,85,0.10625
1.0,0.026833529991417852,0.0005426848371149859,86,0.1075
1.0,0.027377178848932582,0.0005578425822582037,87,0.10875
1.0,0.02792461397780566,0.0005731884976391893,88,0.11
1.0,0.028475794054604743,0.0005887291783830644,89,0.11125
1.0,0.029030677671194462,0.0006044599208038621,90,0.1125
1.0,0.02958922230588302,0.0006203736661419415,91,0.11375
1.0,0.030151391812708303,0.0006364967551656069,92,0.115
1.0,0.030717151137809092,0.0006528490655592166,93,0.11625
1.0,0.03128645074267348,0.0006693214819917948,94,0.11750000000000001
1.0,0.031859235667729045,0.0006858780744765792,95,0.11875000000000001
1.0,0.0324354965827809,0.0007028057100337568,96,0.12
1.0,0.033015162757969466,0.000719707498104822,97,0.12125
1.0,0.033598228161350205,0.0007369966289785116,98,0.1225
1.0,0.03418463779496835,0.000754352357260553,99,0.12375
1.0,0.034774335880081234,0.0007717608311758724,100,0.125
1.0,0.035367319789156165,0.0007895742369159094,101,0.12625
1.0,0.035963515184401225,0.0008073061549108841,102,0.1275
1.0,0.03656290232361728,0.0008253213512385975,103,0.12875
1.0,0.03716544656777169,0.0008435124580075945,104,0.13
1.0,0.03777113108529266,0.0008620039231215593,105,0.13125
1.0,0.03837989916830218,0.0008805134366820037,106,0.1325
1.0,0.038991714836621116,0.0008991796057095985,107,0.13375
1.0,0.039606517837716515,0.0009178248096947139,108,0.135
1.0,0.04022429733668994,0.0009367935741111251,109,0.13625
1.0,0.04084501883090958,0.000955916112202448,110,0.1375
1.0,0.04146866050329793,0.0009752716624719375,111,0.13875
1.0,0.042095157803410464,0.0009945817736224957,112,0.14
