lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.0001175073849518301,2.3341636825170435e-17,1,0.0025
1.0,0.00022895938641783977,9.207188966283597e-08,2,0.005
1.0,0.00037605788177176575,3.4265555795013915e-07,3,0.0075
1.0,0.0005580422800327849,8.232669984868935e-07,4,0.01
1.0,0.0007741707752552231,1.6003787870200385e-06,5,0.0125
1.0,0.0010237196333507917,2.7356778626842483e-06,6,0.015
1.0,0.0013059825163605127,4.28631000859515e-06,7,0.0175
1.0,0.001620269841856146,6.30511180771338e-06,8,0.02
1.0,0.001965908175309507,8.8408307855053e-06,9,0.0225
1.0,0.0023422396534161696,1.1938334416576216e-05,10,0.025
1.0,0.002748621436494748,1.5638808620607717e-05,11,0.0275
1.0,0.0031844251882113574,1.9979946336111334e-05,12,0.03
1.0,0.0036490365809942393,2.4996126724785484e-05,13,0.0325
1.0,0.004141854825612349,3.071858552205824e-05,14,0.035
1.0,0.0046622922234929275,3.7175577015326764e-05,15,0.0375
1.0,0.005209773740445762,4.439252810794913e-05,16,0.04
1.0,0.0057837366005487716,5.239218489160339e-05,17,0.0425
1.0,0.00638362989903097,6.119475212912803e-05,18,0.045
1.0,0.0070089142330623504,7.081802602276623e-05,19,0.0475
1.0,0.007659061349430893,8.127752061998701e-05,20,0.05
1.0,0.008333553808151952,9.258658819100705e-05,21,0.0525
1.0,0.00903188466111483,0.00010475653388877058,22,0.055
1.0,0.009753557144927961,0.00011779672498599213,23,0.0575
1.0,0.010498084387177052,0.00013171469496519973,24,0.06
1.0,0.011264989125358095,0.00014651624272446533,25,0.0625
1.0,0.012053803437794242,0.00016220552714311704,26,0.065
1.0,0.012864068485887035,0.0001787851572377338,27,0.0675
1.0,0.013695334267091828,0.00019625627813267196,28,0.07
1.0,0.014547159378045961,0.00021461865304398098,29,0.0725
1.0,0.015419110787310541,0.0002338707414765938,30,0.075
1.0,0.016310764977351577,0.0002540125094998476,31,0.0775
1.0,0.017221704928239993,0.0002750374270150366,32,0.08
1.0,0.018151518146144744,0.00029693314986991296,33,0.0825
1.0,0.019099804377986005,0.0003197038751789891,34,0.085
1.0,0.02006618189510102,0.00034337254815059614,35,0.08750000000000001
1.0,0.021050251263454264,0.0003678654013278864,36,0.09
1.0,0.022051653709566067,0.00039329206054056757,37,0.0925
1.0,0.023069962217672303,0.00041935790746246295,38,0.095
1.0,0.02410485140837074,0.0004463879741162679,39,0.0975
1.0,0.025155983269518525,0.0004743310731385005,40,0.1
1.0,0.02622295298976332,0.0005028782697326673,41,0.10250000000000001
1.0,0.027305514555559945,0.0005327697706202907,42,0.105
1.0,0.028403262499514137,0.000563107429464992,43,0.1075
1.0,0.02951573069402906,0.0005934402018540729,44,0.11
1.0,0.030642816550185806,0.000625766703397442,45,0.1125
1.0,0.03178396708300669,0.0006576274546383437,46,0.115
1.0,0.032938980885732994,0.0006908196028059454,47,0.11750000000000001
1.0,0.03410764810951502,0.0007251998073654375,48,0.12
1.0,0.03528945500547161,0.0007593185371386113,49,0.1225
1.0,0.03648428463903604,0.0007949339971688539,50,0.125
1.0,0.037691864713679024,0.0008316608165422215,51,0.1275
1.0,0.03891185204296508,0.000868798001162839,52,0.13
1.0,0.040143855930063845,0.0009055282452661362,53,0.1325
1.0,0.041387716128710006,0.0009440997068876139,54,0.135
1.0,0.042643092372642834,0.0009826422590327405,55,0.1375
1.0,0.04390960652857873,0.0010207176406786052,56,0.14
1.0,0.04518711001039423,0.0010605084669324243,57,0.14250000000000002
1.0,0.04647534735089674,0.0011009394322148403,58,0.145
1.0,0.04777409922678486,0.0011423615040079208,59,0.1475
1.0,0.04908307039982447,0.0011838907453198947,60,0.15
1.0,0.05040164094876168,0.0012228224232538017,61,0.1525
1.0,0.05173014887605359,0.001266680154736262,62,0.155
1.0,0.05306781753896159,0.0013073931514967965,63,0.1575
1.0,0.05441472953927664,0.0013505468995621743,64,0.16
1.0,0.05577094127592978,0.0013965022977694287,65,0.1625
1.0,0.05713567852567945,0.0014384595670931097,66,0.165
1.0,0.058508773369585945,0.0014819048595315508,67,0.1675
1.0,0.05989029713458539,0.0015271834241208102,68,0.17
1.0,0.061279779950464304,0.001571567017927645,69,0.17250000000000001
1.0,0.06267711263159113,0.0016168380393024463,70,0.17500000000000002
1.0,0.06408227291729109,0.001663508993376137,71,0.1775
1.0,0.06549469734859718,0.0017084367800135195,72,0.18
1.0,0.0669149520508203,0.0017603312450545881,73,0.1825
1.0,0.06834229456240033,0.0018077924927777647,74,0.185
1.0,0.06977574496456898,0.0018476352870757822,75,0.1875
1.0,0.07121582549837085,0.0018945821816895843,76,0.19
1.0,0.07266263483533882,0.0019435902783234657,77,0.1925
1.0,0.07411619543262297,0.00199713799311881,78,0.195
1.0,0.07557505611042926,0.002036852775934603,79,0.1975
1.0,0.07704043750600761,0.002090677873681626,80,0.2
1.0,0.07851093795292907,0.002132838593505003,81,0.2025
1.0,0.07998685011061886,0.002180288617291766,82,0.20500000000000002
1.0,0.08146830459648811,0.002229587962151169,83,0.20750000000000002
1.0,0.0829548628403969,0.0022773734717370015,84,0.21
1.0,0.0844463962733434,0.002325535878961587,85,0.2125
1.0,0.08594267635106426,0.0023734452095163115,86,0.215
1.0,0.08744376448834427,0.0024226964866819363,87,0.2175
1.0,0.08894925867217893,0.0024705552367839173,88,0.22
1.0,0.09045915902435889,0.0025193905667990385,89,0.2225
1.0,0.0919733258436304,0.002568395762414607,90,0.225
1.0,0.09349147527000659,0.0026165702223016345,91,0.2275
1.0,0.09501348514546033,0.002664930577807657,92,0.23
1.0,0.09653920265392775,0.00271325042967802,93,0.2325
1.0,0.09806880513361298,0.002763769677611094,94,0.23500000000000001
1.0,0.09960181115920883,0.002811800789336354,95,0.23750000000000002
1.0,0.10113789936685073,0.002858582580528515,96,0.24
1.0,0.10267733317795698,0.002908013634308779,97,0.2425
1.0,0.10422030272190438,0.002961370830999357,98,0.245
1.0,0.10576598219667586,0.0030072586121554818,99,0.2475
1.0,0.10731434262092872,0.0030543478883026877,100,0.25
1.0,0.10886497107127092,0.003099167531747922,101,0.2525
1.0,0.11041956121723741,0.0031673559410988787,102,0.255
1.0,0.11197634900998389,0.003211263311352,103,0.2575
1.0,0.11353551069010716,0.0032613259830394396,104,0.26
1.0,0.11509683355856022,0.0033093782474055158,105,0.2625
1.0,0.11666012246950583,0.0033555941323493866,106,0.265
1.0,0.11822551227180826,0.003407334341457112,107,0.2675
1.0,0.11979166668956134,0.0034353779288996203,108,0.27
1.0,0.12135918846711485,0.0034783181836552245,109,0.2725
1.0,0.12292853579338392,0.0035274871480505394,110,0.275
1.0,0.12450013639605391,0.00358723204962112,111,0.2775
1.0,0.12607176821668775,0.003614394613302251,112,0.28
1.0,0.1276447276780776,0.0036605885315368087,113,0.28250000000000003
1.0,0.12921926296040354,0.003710582579849789,114,0.28500000000000003
1.0,0.1307957588397609,0.0037725842421316253,115,0.28750000000000003
1.0,0.1323717343369805,0.0037950141511559165,116,0.29
1.0,0.133948590796761,0.0038398293253399285,117,0.2925
1.0,0.13552718287371396,0.003897872130084059,118,0.295
1.0,0.13710561912673672,0.003929908042565697,119,0.2975
1.0,0.13868437198688133,0.003971247056819178,120,0.3
1.0,0.14026405833352765,0.004019842775410216,121,0.3025
1.0,0.14184371674411383,0.00405825743607967,122,0.305
1.0,0.1434238308915886,0.004102854374073959,123,0.3075
1.0,0.14432854906504736,0.004186266515692498,124,0.31
1.0,0.14499989787917494,0.00418560517357262,125,0.3125
1.0,0.14566351838832883,0.004230142260054613,126,0.315
1.0,0.1463195471179039,0.00428292983839982,127,0.3175
1.0,0.14696807782083218,0.004307511881505989,128,0.32
1.0,0.14760927141457988,0.004363439918197914,129,0.3225
1.0,0.14824321589667858,0.004389749521340933,130,0.325
1.0,0.14887005929406524,0.004444862847447091,131,0.3275
1.0,0.14948988135070168,0.004466710974932061,132,0.33
1.0,0.15010281546829612,0.00450580119505579,133,0.3325
1.0,0.15070898160317342,0.004548364249297541,134,0.335
1.0,0.15130850225713324,0.004612979744351867,135,0.3375
1.0,0.1519014627398067,0.004653999717349353,136,0.34
1.0,0.152487959531423,0.004683917378394495,137,0.3425
1.0,0.15306811916299873,0.004749740047835025,138,0.34500000000000003
1.0,0.15364201933103194,0.004771928950896419,139,0.34750000000000003
1.0,0.15420972327659266,0.0047679699612222515,140,0.35000000000000003
1.0,0.15477141609509518,0.004873305142870371,141,0.3525
1.0,0.15532713253230154,0.00488934119125371,142,0.355
1.0,0.15587694835229,0.004886304855036072,143,0.3575
1.0,0.15642097227080584,0.004918368504101108,144,0.36
1.0,0.15695932135751867,0.00498003069795938,145,0.3625
1.0,0.15749202600837706,0.004974490577182785,146,0.365
1.0,0.15801920464768862,0.005008067433822875,147,0.3675
1.0,0.15854094975146593,0.005049618835166142,148,0.37
1.0,0.15905732274848344,0.005073591339505188,149,0.3725
1.0,0.15956841023980792,0.0051036178762143445,150,0.375
1.0,0.16007429097672676,0.005133773443539911,151,0.3775
1.0,0.16057505666820632,0.00517644136521885,152,0.38
1.0,0.16107075418386224,0.005194292239887675,153,0.3825
1.0,0.16156147214046682,0.005224726488106744,154,0.385
1.0,0.16204728090303153,0.005253524968192103,155,0.3875
1.0,0.1625282519838678,0.005282629318211662,156,0.39
1.0,0.16300445322299537,0.00531050244321333,157,0.3925
1.0,0.16347595548424282,0.0053399138594102955,158,0.395
1.0,0.16394284131408526,0.005386288005963218,159,0.3975
1.0,0.16440513744706636,0.00539337105416596,160,0.4
1.0,0.1648629526980456,0.005448081710965739,161,0.4025
1.0,0.1653162985254369,0.00544509622835589,162,0.405
1.0,0.16576526758360532,0.005474164860935985,163,0.40750000000000003
1.0,0.16620991268213084,0.0054982592945192425,164,0.41000000000000003
1.0,0.16665029523391506,0.005522436774869791,165,0.41250000000000003
1.0,0.1670864700748179,0.005544637540042542,166,0.41500000000000004
1.0,0.16751849858332993,0.0055695385003210595,167,0.4175
1.0,0.1679464333614588,0.005591768898747875,168,0.42
1.0,0.16837032912124567,0.005613590006800582,169,0.4225
1.0,0.1687902421049699,0.005636689740801548,170,0.425
1.0,0.1692062232051202,0.005658118733260612,171,0.4275
1.0,0.16961832367801064,0.005678790021887703,172,0.43
1.0,0.17002659492797215,0.005699452181877391,173,0.4325
1.0,0.1704310868597117,0.005719770714416761,174,0.435
1.0,0.1708318482193899,0.005739525542952885,175,0.4375
1.0,0.17122892704327922,0.0057588659598707724,176,0.44
1.0,0.17162237730321103,0.0057839082498244085,177,0.4425
1.0,0.17201223178858868,0.00579638775808681,178,0.445
1.0,0.17239854238950256,0.0058143905503914625,179,0.4475
1.0,0.17278135323583904,0.005831442488634767,180,0.45
1.0,0.17316070857354673,0.005848423603010883,181,0.4525
1.0,0.1735366523224951,0.005865654048476354,182,0.455
1.0,0.17390922584851806,0.005881900404080268,183,0.4575
1.0,0.1742784695064256,0.0058965535253097025,184,0.46
1.0,0.17464442514725437,0.005911716911148944,185,0.4625
1.0,0.17500713276819482,0.005926340482431013,186,0.465
1.0,0.17536663171039069,0.005940528462742663,187,0.4675
