sample,time,stage9_rho,stage9_momentum_x,stage9_momentum_y,stage9_momentum_z,stage9_energy_trace,stage9_M200,stage9_M020,stage9_M002,stage9_M300,stage9_M030,stage9_M003,stage9_M400,stage9_M040,stage9_M004,stage9_M110,stage9_M101,stage9_M011,stage9_M210,stage9_stress_norm,stage9_qx,stage9_qy,stage9_qz,stage9_heat_flux_norm,stage9_realizability_margin,grad_rho,grad_momentum_x,grad_momentum_y,grad_momentum_z,grad_energy_trace,grad_M200,grad_M020,grad_M002,grad_M300,grad_M030,grad_M003,grad_M400,grad_M040,grad_M004,grad_M110,grad_M101,grad_M011,grad_M210,grad_stress_norm,grad_qx,grad_qy,grad_qz,grad_heat_flux_norm,grad_realizability_margin,particle_rho,particle_momentum_x,particle_momentum_y,particle_momentum_z,particle_energy_trace,particle_M200,particle_M020,particle_M002,particle_M300,particle_M030,particle_M003,particle_M400,particle_M040,particle_M004,particle_M110,particle_M101,particle_M011,particle_M210,particle_stress_norm,particle_qx,particle_qy,particle_qz,particle_heat_flux_norm,particle_realizability_margin,particle_sem_M000,particle_sem_M100,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M010,particle_sem_M110,particle_sem_M210,particle_sem_M310,particle_sem_M020,particle_sem_M120,particle_sem_M220,particle_sem_M030,particle_sem_M130,particle_sem_M040,particle_sem_M001,particle_sem_M101,particle_sem_M201,particle_sem_M301,particle_sem_M002,particle_sem_M102,particle_sem_M202,particle_sem_M003,particle_sem_M103,particle_sem_M004,particle_sem_M011,particle_sem_M111,particle_sem_M211,particle_sem_M021,particle_sem_M121,particle_sem_M031,particle_sem_M012,particle_sem_M112,particle_sem_M013,particle_sem_M022
0,0.0,1.0,0.0,0.0,0.0,3.000000000000001,1.4926108374384242,1.4926108374384242,0.01477832512315271,0.0,0.0,0.0,2.315683467203767,2.315683467203767,0.0006551966803368197,-1.4778325123152714,0.0,0.0,0.0,2.413290386978501,0.0,0.0,0.0,0.0,0.0002002919811992695,1.0,0.0,0.0,0.0,3.000000000000001,1.4926108374384242,1.4926108374384242,0.01477832512315271,0.0,0.0,0.0,2.315683467203767,2.315683467203767,0.0006551966803368197,-1.4778325123152714,0.0,0.0,0.0,2.413290386978501,0.0,0.0,0.0,0.0,0.0002002919811992695,1.0,0.0,0.0,0.0,3.0,1.4926108374384237,1.4926108374384237,0.014778325123152714,0.0,0.0,0.0,2.315683467203768,2.315683467203768,0.0006551966803368199,-1.477832512315271,0.0,0.0,0.0,2.4132903869785007,0.0,0.0,0.0,0.0,0.00020029198119925415,0.0,0.0,1.146633409319802e-16,0.0,2.293266818639604e-16,0.0,1.146633409319802e-16,0.0,1.146633409319802e-16,1.146633409319802e-16,0.0,0.0,0.0,1.146633409319802e-16,2.293266818639604e-16,0.0,0.0,0.0,0.0,8.958073510310954e-19,0.0,8.958073510310954e-19,0.0,0.0,5.598795943944346e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.958073510310954e-19
1,0.025,1.0,0.0,0.0,0.0,3.000000000000002,1.4685859243941726,1.468585924394173,0.06282815121165647,3.9716969224166256e-16,2.0592781589394667e-16,5.008331039660657e-18,2.514160492601009,2.514160492601011,0.01183740439248328,-1.4057577731825164,2.6711390487068065e-17,1.1624575147571902e-17,1.3777925214954147e-16,2.295592830832197,2.414488833265889e-16,1.7500434992274795e-16,6.307965960851863e-18,2.9826812800918507e-16,0.0034679748286513532,1.0,0.0,0.0,0.0,3.0000000000000018,1.4685859233993666,1.4685859233993666,0.06282815320126851,-3.722988943583647e-17,-3.7962941550865336e-17,-3.849483219962462e-21,2.5172796881023007,2.5172796881023007,0.011837422609721714,-1.4057577701980983,-3.6172330874774254e-32,-3.62737909218256e-32,3.7757169484519896e-17,2.2955928259586624,6.673970656750646e-28,6.664745452317031e-28,-1.314138135473525e-29,9.432814312904726e-28,0.003256802133264105,1.0,-5.346471963069144e-18,9.679892521222144e-18,7.1006771968328e-18,3.0000000000000004,1.468527833253205,1.4686005524715722,0.06287161427522363,-0.000522264848585055,6.951301986893874e-05,5.769446232337995e-06,2.5146505025280668,2.5141926414153435,0.011850039296887889,-1.4056776008721283,-9.730495647946188e-05,0.00014667367357303963,7.676928307748543e-05,2.295468038721258,-0.00014969986602913666,-2.4427924789876935e-06,-0.00018541917643844164,0.00023831971826801662,0.0034555419897879403,0.0,1.444578771038217e-17,0.00030631083406800944,0.0003374822077476531,0.0012447080915035324,1.6848472086083697e-17,8.931345121003855e-05,0.0001348189969719714,0.0006349499963177361,0.000313137674139554,7.415142574632813e-05,0.0003542660049287601,0.00023683390777349536,0.0006595532926452595,0.0012975996298153617,7.249464589747088e-18,0.00020057141321481745,9.510683807487979e-05,0.00044044978115554106,8.81179193802361e-05,9.386376764463848e-05,0.0001560332928085902,2.3236715351779876e-05,6.02928188220755e-05,4.150871271898703e-05,0.00020191956317217342,7.345543286664939e-05,0.0003720380650679692,0.0001012971028540094,0.0003729513008137384,0.0004316996402884749,9.257487828565866e-05,0.00013609044302552496,5.65687301445553e-05,0.00014000854841511104
2,0.05,1.0,0.0,0.0,0.0,3.0000000000000004,1.4457327215052964,1.4457327215052964,0.10853455698940763,1.5350571619546561e-16,-1.482821522872324e-16,-4.522112829001595e-17,2.682990388957306,2.6829903889573097,0.03529674505702683,-1.3371981645158877,4.008487512530043e-17,9.815442449123241e-20,2.962471759956934e-16,2.183635458700107,5.1423518996833086e-17,7.218539595745399e-17,-2.0754542266077824e-16,2.256772300498948e-16,0.009975268337813245,1.0,0.0,0.0,0.0,3.0,1.4457327182443138,1.4457327182443138,0.10853456351137221,-6.802417814800891e-17,-6.907049120888794e-17,6.6492580077145e-20,2.691068322819563,2.691068322819563,0.03529737078979368,-1.3371981547329412,-3.107791007388206e-32,-3.0304930441784876e-32,6.855632450338845e-17,2.183635442724622,7.898784703071288e-28,7.902886933852833e-28,3.385056599972539e-30,1.117352082092092e-27,0.008972309694504554,1.0,-1.0659062608248115e-17,1.3688052427629493e-17,1.1662796650744461e-17,3.0000000000000004,1.445972861162277,1.4452796119811615,0.1087475268565618,8.296245252046985e-05,-0.00020475999770067514,9.033572295760454e-06,2.684819227385881,2.682672043023308,0.035497544614849046,-1.3368267417242068,-0.0004009622521043583,0.00025280567061466107,-0.00026581269940834367,2.183050301931782,0.00019216768976930808,-0.00024005272700474475,-0.0002555912279510884,0.0003998507328231784,0.00998406932632519,0.0,1.4389799826281e-17,0.00043642546306484504,0.0004969191954908029,0.0018274515873773823,1.7729320509106154e-17,0.00012563330530665362,0.0002218978820492756,0.0007846867829444486,0.000421969694141173,0.00025604834441732185,0.0005554781106586281,0.0003508408650531549,0.0010357985200872676,0.001968831957872323,7.906012910665788e-18,0.00027793546433644607,0.0001259661634559918,0.0006683801049719981,0.00013993168470125935,0.00016629157295235277,0.00020070042811329124,3.629863647466317e-05,0.00011343837785204518,0.00012934028777470823,0.00032015833943366154,0.00011166217908582392,0.0005901496636233302,0.00022289050649728742,0.000616034662323565,0.0007734446635490547,0.00017292016972859,0.0001904731996771286,0.0001100639110986351,0.0002444014044083877
3,0.075,1.0,0.0,0.0,0.0,3.000000000000002,1.4239940839605079,1.4239940839605076,0.15201183207898641,-9.826269734517545e-17,-3.9951014978691943e-16,-2.845664733567679e-17,2.8262827104724244,2.8262827104724266,0.06916507176730606,-1.2719822518815196,2.3999972490524154e-17,-1.3871464104920045e-17,-6.77039924155813e-16,2.077138319324021,-4.513356577561758e-16,-5.543224450915951e-16,-1.610517998598719e-16,7.327447927707359e-16,0.018954686304487055,1.0,0.0,0.0,0.0,3.0,1.423994077056677,1.423994077056677,0.15201184588664618,-5.801601701902249e-17,-5.898733162843598e-17,-4.297378616453874e-19,2.8394455863423205,2.8394455863423205,0.06916868947158647,-1.271982231170029,-2.772440796756716e-32,-2.5218207165551833e-32,5.86197870069151e-17,2.0771382855022993,7.427007459446732e-28,7.4325534154628385e-28,-9.22744332717521e-30,1.0507702158294236e-27,0.01688426152164509,1.0,-6.349358972618235e-18,1.0709884585083373e-17,9.776030760735507e-18,3.0000000000000013,1.4238101888382646,1.4238897278132954,0.15230008334844153,0.0010471490619811577,-0.00039190651925166936,2.2018855869010695e-05,2.82657736569536,2.828515702137807,0.06933788503063268,-1.2715510995892583,-8.96793931894752e-05,9.361878123592985e-05,-0.00044642095567367133,2.0764337594892974,0.0005261661261091119,-0.0003399066556428914,-0.0002319806868770219,0.000667983806614307,0.018968899303244344,0.0,1.5162833128771092e-17,0.0004750968835602269,0.0005024969630709983,0.001943478712679615,1.8138788597193603e-17,0.0002605995695763908,0.00033802364364008693,0.0008589749307564665,0.00045269317543375167,0.00036905614648847487,0.0007770075436587447,0.0004742399701897259,0.001073505255565273,0.0024018132168630185,9.183552364539775e-18,0.0003558655952757651,0.00022185437897269611,0.0008732272350111288,0.00020638629632281974,0.00020748962823599463,0.0003826889633973806,4.252820493517764e-05,0.0001859000039499932,0.00022343801302285733,0.0003239706001879841,0.00019787911534374268,0.0005910757154664045,0.0003180363913966449,0.0005675455636851945,0.0008514957182936296,0.00019626597539323403,0.00029362501529426195,0.00017857787760819244,0.00035296308697922496
4,0.1,1.0,0.0,0.0,0.0,3.000000000000003,1.4033156538201517,1.4033156538201519,0.19336869235969942,5.648978861417454e-16,-6.041765976988148e-16,1.1137402450514286e-16,2.947595761438636,2.9475957614386386,0.11178157685468908,-1.2099469614604519,2.0401896921732533e-17,-3.650586523147216e-17,-6.994343934713653e-16,1.9758351142727004,-1.750903125330282e-16,-6.871184007763258e-16,3.9550770970002544e-16,8.119203548750879e-16,0.029831515552886965,1.0,0.0,0.0,0.0,2.9999999999999982,1.4033156419103328,1.4033156419103328,0.19336871617933285,-6.486520610957043e-17,-6.582814551910295e-17,-4.96994142485227e-19,2.9651185527709014,2.9651185527709014,0.11179301752064139,-1.2099469257309976,-2.8959533783703955e-32,-2.2543564418662897e-32,6.529914415125648e-17,1.9758350559267466,7.468247397345896e-28,7.471141107087338e-28,-1.4511545093217554e-29,1.0564739803898307e-27,0.02670525258746513,1.0,-4.136908914390003e-18,1.4779030863693032e-17,7.535205098774256e-18,3.000000000000001,1.4029344584757761,1.4036625193861192,0.19340302213810556,0.0011576095792861308,0.0001998123714957974,0.00010746914605278861,2.9481956987619116,2.9529181290746056,0.1116249415102688,-1.2094247387849444,-0.000579214291558552,0.00020540471415716926,-0.0003389854163962252,1.975174788470859,0.0003439328335837526,6.194701574077502e-05,-0.00021632628414910434,0.0004110039999682438,0.029739979161850068,0.0,1.5025012124671896e-17,0.0005164879345640422,0.000699011495415815,0.002657184679498504,1.623842205840913e-17,0.0002595293113836163,0.0005167626277149299,0.0008759814221743809,0.0005812688465588158,0.00045465246894222413,0.000889803619646977,0.0007610504104163344,0.0013735355619846775,0.0029283355269562094,9.130129520669055e-18,0.0003660223360713608,0.0003895381625126685,0.0010173150242996799,0.00017120072638344245,0.00024376754689683146,0.0003717023936634558,6.867005745842355e-05,0.00027532119145838964,0.0003380631321439495,0.0003211659406491716,0.00025139186269016486,0.0006577365250108638,0.0003117229107535097,0.0005949858064757758,0.0008116345896577293,0.00021360467945425476,0.0002202555589692962,0.0002718935047691436,0.0002494751758149132
5,0.125,1.0,0.0,0.0,0.0,3.000000000000002,1.383645724035187,1.3836457240351865,0.23270855192962892,2.887857420820094e-16,5.3013339165319e-16,-8.989093320197199e-17,3.050000465112807,3.0500004651128094,0.16168100716157052,-1.1509371721055577,1.8985519179503123e-17,-3.3103244397723803e-17,-7.872475857685512e-16,1.8794725317736274,-9.6993268374721e-17,-1.787038821350481e-16,-1.336302743601006e-16,2.433101350657296e-16,0.0421639122678487,1.0,0.0,0.0,0.0,2.999999999999997,1.3836457059465004,1.3836457059465004,0.23270858810699593,-6.384321960028275e-17,-6.500585207057543e-17,-4.799459777127272e-19,3.070826063734418,3.070826063734418,0.16170722486658867,-1.1509371178395018,-4.264187666077176e-32,-3.16792328026746e-32,6.463622068773756e-17,1.8794724431575303,7.174186302304645e-28,7.178342459124633e-28,-1.1348494049053178e-29,1.0149405322104602e-27,0.03816629717254121,1.0,-5.082197683525802e-20,1.5829351718288365e-17,5.700531735021441e-18,3.0000000000000013,1.3837443312541935,1.3836758037146555,0.2325798650311523,0.0002006765146403664,-0.00014321591916911168,0.0001706112574963201,3.050831231509801,3.0557104207439494,0.16153288991326167,-1.1504338911666165,-0.0004275071374212271,4.249440778538918e-05,-0.0003474490232343765,1.878935108700457,0.00011138654452275045,-0.00012684009551567133,-2.016945944540326e-05,0.0001700064093658326,0.04208789005520139,0.0,1.5322348766904853e-17,0.0004874864105527951,0.0008634961268675138,0.002794294618599442,1.8364678122893304e-17,0.0003227964415115817,0.000578776505133028,0.0008378913389327002,0.0005968670406821176,0.0005463717728146977,0.0009370568859187633,0.0008247094746391987,0.00160187594661723,0.003684623754295347,7.84839920611326e-18,0.00035195738312147657,0.0003404873337930494,0.0010405111725472274,0.0002454247216751304,0.0003010589092562177,0.00045739962453561755,9.996024651778787e-05,0.00039681907577764373,0.0005113575907393137,0.00035362877849944935,0.00028015967112924873,0.0007200852871628906,0.0004357305808458611,0.000693093401910532,0.0010880648866474244,0.00028269753185954766,0.0003198412151258567,0.0003091757147142034,0.0004250919377704367
6,0.15,1.0,0.0,0.0,0.0,3.000000000000002,1.3649351092081106,1.3649351092081106,0.27012978158378126,4.642891767410628e-16,1.1495272944488076e-15,-1.9761418358800525e-16,3.1361412542448948,3.136141254244896,0.21757790427687226,-1.0948053276243277,1.51321904596406e-17,-3.0473461706311843e-17,-8.110356095676224e-16,1.7878096135734456,-2.8311963773379956e-16,1.0524072701922209e-16,-4.541104799329586e-16,5.453885476236133e-16,0.055605076452046084,1.0,0.0,0.0,0.0,2.9999999999999973,1.364935084079659,1.364935084079659,0.27012983184067946,-5.634388280244102e-17,-5.715555549094757e-17,-2.344659000386688e-19,3.159170900368817,3.159170900368817,0.21762701911164942,-1.0948052522389753,-6.127306512278815e-32,-5.060295376761886e-32,5.69469449369302e-17,1.7878094904696817,6.771690777310775e-28,6.765124680277251e-28,-1.0397710583757809e-29,9.572539849055241e-28,0.05092547717893183,1.0,-1.1600963245594897e-17,1.640533412242129e-17,-6.212139635163039e-18,3.0000000000000004,1.3649599794764515,1.365287442696896,0.2697525778266533,0.0001479644470637391,-0.0004179266272242677,9.583217684607674e-05,3.136540089708685,3.141903976050455,0.21781572646031389,-1.0943131711673235,-0.0007004562576694227,0.00018218146043070597,-0.0002677780155026481,1.7874383012683215,0.00014880421291669653,-0.00023893488431939625,-6.430714822780844e-05,0.00028873514167775653,0.055548623907048754,0.0,1.7174181075204185e-17,0.0006660163843693864,0.0007770890720892936,0.003529209881767253,1.836734886410271e-17,0.0003270302553941615,0.0004480184405708153,0.0014047640593878186,0.0006642887221681211,0.0004480226948939967,0.0012214752744797873,0.0009263028225016284,0.0017917498477569654,0.0041321521783584305,2.5626316596885052e-17,0.0005453779294627659,0.00027390430039161815,0.0015462409997576288,0.0003987097229392166,0.0003842899410353795,0.0005605378226406869,0.000116219193264735,0.0005381291105139681,0.0008465784728206308,0.00038068206402752723,0.0002879435191285152,0.0008040846853264478,0.00044748201342389906,0.0007014706972404078,0.0013309752721809528,0.0003619773825733168,0.00043046849258528586,0.0003378062001719995,0.000633293100373308
7,0.17500000000000002,1.0,0.0,0.0,0.0,3.0000000000000027,1.347137022675224,1.3471370226752244,0.30572595464955427,-1.8804776454641847e-16,5.991700617339962e-16,2.0560796387859415e-17,3.20829203178185,3.2082920317818515,0.27834920431162546,-1.0414110680256685,-3.1126453063222205e-18,-1.23752238815325e-17,-5.665360106154514e-16,1.7006171527665002,-3.849287457301233e-16,-5.180793112583227e-17,-1.4000291554321367e-17,3.88651783966716e-16,0.0698783524864224,1.0,0.0,0.0,0.0,2.9999999999999964,1.3471369900092123,1.3471369900092123,0.3057260199815719,-4.684671824986132e-17,-4.7307565655388456e-17,-4.32482885520337e-19,3.232531767194216,3.232531767194216,0.27842934829359567,-1.041410970027634,-8.176573312555236e-32,-7.154608202267982e-32,4.6669738700792175e-17,1.700616992736382,6.520086085669811e-28,6.515683891299428e-28,-6.676573189958621e-30,9.217923670699385e-28,0.06454391890956518,1.0,-1.3491540783866496e-17,1.694743520866404e-17,-1.525336931415544e-17,3.0000000000000013,1.34693991685502,1.3474445438007054,0.3056155393442758,-0.00026855606001692815,-2.969699780427091e-06,5.363360675988825e-05,3.206652984918556,3.213584977253423,0.27864704902699106,-1.0410418800728005,-0.0006589280000591021,0.00046176191316830355,0.00031250978251641027,1.7002330672810007,-0.0002638640070995277,0.00021153248509149912,-0.0001272201478602975,0.0003613241930914686,0.06984750621586062,0.0,2.1325343034379363e-17,0.0006683641447056107,0.0008810094740027316,0.0032786886911179477,1.776576027843401e-17,0.0003407143998597961,0.0005634689193502131,0.0016716724714284756,0.0007000281240680831,0.0005975455828168989,0.0015511759838263263,0.0012025638190643693,0.0018546268094355785,0.003397213252636165,2.910836123666356e-17,0.0005813312093770546,0.0002990411826427153,0.0014921481525287108,0.0004058014665645895,0.0004127531831680231,0.0006275776496001934,0.00012932632823747572,0.0006476023971098559,0.0011151069742760433,0.00043901605808982594,0.0003549203509390078,0.0007445245511155638,0.0005743825447058616,0.0007768443449049587,0.001647993358645694,0.00038997825079791805,0.00048160824681165365,0.0003250479691327336,0.0007183522624954285
8,0.2,1.0,0.0,0.0,0.0,3.000000000000005,1.33020695957223,1.33020695957223,0.3395860808555451,-2.0285947134169887e-16,1.1865700640081777e-16,-3.885076330098785e-16,3.268406442255937,3.2684064422559382,0.3430167125525863,-0.990620878716683,2.0611235688809624e-17,7.807160031639776e-18,-8.27043722175603e-16,1.6176771209355831,-5.430119373027333e-16,-3.8216159367788514e-16,-7.641943864718739e-16,1.0123746875790664e-15,0.08476023588853714,1.0,0.0,0.0,0.0,2.999999999999996,1.330206919229372,1.330206919229372,0.33958616154125226,-3.5470293776076946e-17,-3.5862071318250035e-17,-3.5792962394355253e-19,3.2930278270239888,3.2930278270239888,0.3431349982357908,-0.990620757688111,-9.975131441915121e-32,-8.674156800293617e-32,3.486946737715825e-17,1.6176769232967556,6.168715093273429e-28,6.171291987539019e-28,-4.015178748058509e-30,8.725795256793537e-28,0.07849975183325585,1.0,-1.461301240603119e-17,1.8505975831611954e-17,-2.458343722816156e-17,3.0000000000000018,1.3297008497688638,1.33089551410222,0.3394036361289177,-0.000754263183256268,-0.00017874757023159555,2.1642257208877698e-07,3.265444974310996,3.277621904538769,0.3435389701458422,-0.9900146407437551,-0.0008423159498050961,0.0005410975953715378,3.030002066566897e-05,1.617047318383258,-0.0003785611145920892,7.461243014084399e-05,-0.00023713478254249514,0.0004528889900452468,0.08480723501274742,0.0,2.4231495587573373e-17,0.0007378630410025171,0.0009791915306298358,0.0036335999958097783,1.739689430794109e-17,0.0005833918976724094,0.0005307118970995371,0.001762165860257204,0.0007135999362576102,0.0007959106319373458,0.0016848635998360799,0.0015930449884998426,0.0021012100598118305,0.0032911899023011612,2.883354440268194e-17,0.0005805508334706514,0.0003497679338414138,0.0016172985686363451,0.00045241060156619073,0.0004498622772491864,0.0005657255760655925,0.0001479227984748761,0.0006254538991230139,0.0013982767916001038,0.00041998598817836276,0.00038526741047786585,0.0007063316898926238,0.0006123661893335574,0.0006480748593079646,0.001490743352432799,0.00044531847391726204,0.00044382080569687585,0.0003470285675235418,0.0008048108797291045
9,0.225,1.0,0.0,0.0,0.0,3.0000000000000044,1.3141025855853272,1.3141025855853268,0.3717948288293506,-8.968053555541088e-16,-5.870433074809563e-16,-1.2737034254234366e-16,3.318162355454445,3.318162355454447,0.4107303677285421,-0.9423077567559749,3.643141709218636e-17,3.9948219885614596e-19,-8.356376081897362e-16,1.5387821231458583,-7.547388335283953e-16,-7.14648518785487e-16,-3.11608360986533e-16,1.0851050561465497e-15,0.10006840306215031,1.0,0.0,0.0,0.0,2.999999999999995,1.314102537744708,1.314102537744708,0.3717949245105793,-4.588244384277891e-17,-4.597963836453613e-17,-5.611953588463431e-20,3.342515236770591,3.342515236770591,0.4108921448323566,-0.9423076132341177,-9.724125059088436e-32,-8.138119189424988e-32,4.580961277228997e-17,1.5387818887756508,6.319451370748298e-28,6.321446754541305e-28,-1.72914805231947e-30,8.938481621229192e-28,0.09223532828958132,1.0,-1.1316360175317453e-18,2.484178227707412e-17,-3.6575306178914316e-17,3.0000000000000013,1.3141539787599512,1.3142302149804126,0.3716158062596377,-3.9326784064328555e-05,-0.0003182710252009898,-5.145152819453069e-05,3.319836122046935,3.3238586573128903,0.4113947009818041,-0.9414912027893901,-0.00047285582436714627,0.0005438471072938476,-3.446438573901969e-05,1.5378922114063482,-0.00020335471120265842,0.00011117622982644742,-0.00011080104208345377,0.0002568855067408805,0.10009525077158275,0.0,2.5585313892087407e-17,0.0009231261776889685,0.0011379541709347677,0.005417722035049536,2.5303214241900904e-17,0.000543708876689775,0.0006062965997440111,0.0022023790836450674,0.0006567655445667779,0.0008556601125979246,0.0014856534431294025,0.0017604769034324477,0.0018082202113239138,0.0031140163536937343,3.711422254778949e-17,0.0006428305794046584,0.00048154045982831635,0.001945363352717611,0.0005457383965963215,0.00045318664586690337,0.0005955484949154228,0.00015624248139118848,0.0007067307291805148,0.0016705736453834679,0.00032045162641810524,0.00036248055457185045,0.0010075751743252152,0.0005433485003611159,0.0007980836549986403,0.0010604962971486184,0.0004350398711297507,0.0005011106946963315,0.0004551599852932261,0.000999323294738557
