lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.00027189114162598423,8.014493059073545e-16,1,0.00125
1.0,0.0003539922282592116,4.877529270710432e-07,2,0.0025
1.0,0.00044644473492757593,1.1426384951532514e-06,3,0.00375
1.0,0.0005491007988498338,1.986747409121279e-06,4,0.005
1.0,0.0006618151381709943,3.0412617500984756e-06,5,0.00625
1.0,0.0007844449912731922,4.326446187157447e-06,6,0.0075
1.0,0.0009168500578949934,5.8616912679104655e-06,7,0.00875
1.0,0.001058892441958982,7.665534946597963e-06,8,0.01
1.0,0.0012104365960558293,9.755686984438009e-06,9,0.01125
1.0,0.0013713492678011573,1.2149123507107716e-05,10,0.0125
1.0,0.0015414994463730826,1.4861756237839091e-05,11,0.01375
1.0,0.0017207583132772635,1.7909162922288e-05,12,0.015
1.0,0.0019089991918187328,2.130590143520922e-05,13,0.01625
1.0,0.0021060974993389325,2.5065885125167464e-05,14,0.0175
1.0,0.0023119307005286414,2.92023328883263e-05,15,0.01875
1.0,0.002526378262044094,3.372778947425621e-05,16,0.02
1.0,0.002749321608386793,3.865414527519242e-05,17,0.02125
1.0,0.002980644079001667,4.399265559789583e-05,18,0.0225
1.0,0.003220230908834172,4.975774898759443e-05,19,0.02375
1.0,0.0034679691530163873,5.595706809078576e-05,20,0.025
1.0,0.00372374760558333,6.259130460119657e-05,21,0.02625
1.0,0.003987456829317715,6.967215495084734e-05,22,0.0275
1.0,0.0042589891777167444,7.721932624453523e-05,23,0.02875
1.0,0.004538238642479201,8.523386462611993e-05,24,0.03
1.0,0.0048251008609493705,9.372307880143986e-05,25,0.03125
1.0,0.005119473081664658,0.00010269377952416131,26,0.0325
1.0,0.005421254130811564,0.00011215229477585804,27,0.03375
1.0,0.00573034437956839,0.0001221044845564073,28,0.035
1.0,0.006046645712297334,0.0001325557552807,29,0.03625
1.0,0.006370061495568843,0.0001435110737973415,30,0.0375
1.0,0.0067004965479871,0.00015497498104143821,31,0.03875
1.0,0.007037857110794913,0.00016695160532523997,32,0.04
1.0,0.007382050819229743,0.00017944467527975023,33,0.04125
1.0,0.007732986674615999,0.00019245753245056995,34,0.0425
1.0,0.00809057501716212,0.0002059931435679057,35,0.043750000000000004
1.0,0.008454727499447822,0.0002200541124880212,36,0.045
1.0,0.008825357060576772,0.000234642691819977,37,0.04625
1.0,0.009202377900979577,0.0002497607942442222,38,0.0475
1.0,0.00958570545784107,0.00026541000353122175,39,0.04875
1.0,0.009975256381139589,0.00028159158526970323,40,0.05
1.0,0.010370948510274763,0.00029830649730459505,41,0.051250000000000004
1.0,0.010772700851273225,0.0003155553999051137,42,0.0525
1.0,0.011180433554547925,0.0003333386656580417,43,0.05375
1.0,0.011594067893198957,0.0003516563890975565,44,0.055
1.0,0.01201352624184471,0.0003705083960799927,45,0.05625
1.0,0.012438732131996538,0.0003899017617034338,46,0.0575
1.0,0.01286960992722636,0.0004098132732805488,47,0.058750000000000004
1.0,0.013306085261225243,0.00043026453463696596,48,0.06
1.0,0.013748084712924468,0.00045124687504457015,49,0.06125
1.0,0.014195535864268805,0.0004727589090496413,50,0.0625
1.0,0.014648367281894028,0.0004947990337349577,51,0.06375
1.0,0.015106508499235003,0.0005173654364722859,52,0.065
1.0,0.015569889999044486,0.0005404561024650736,53,0.06625
1.0,0.01603844319632708,0.0005640688220908783,54,0.0675
1.0,0.016512100421653735,0.0005882011980494002,55,0.06875
1.0,0.01699079490487439,0.0006128506523095986,56,0.07
1.0,0.01747446075919259,0.0006380144328736934,57,0.07125000000000001
1.0,0.017963032965606435,0.0006636896203606676,58,0.0725
1.0,0.018456447357700613,0.0006898731344054475,59,0.07375
1.0,0.018954640606784458,0.000716561739892453,60,0.075
1.0,0.01945755020735791,0.0007437520530101751,61,0.07625
1.0,0.01996511446291245,0.0007714405471499138,62,0.0775
1.0,0.020477272472031547,0.0007996235586386262,63,0.07875
1.0,0.020993964114816605,0.0008282972923187889,64,0.08
1.0,0.021515130039598186,0.0008574578269705467,65,0.08125
1.0,0.02204071164994887,0.0008871011205919484,66,0.0825
1.0,0.022570651091968985,0.0009172230155316703,67,0.08375
1.0,0.023104891241860895,0.0009478192434770033,68,0.085
1.0,0.023643375693760536,0.000978885430312766,69,0.08625000000000001
1.0,0.02418604874783927,0.001010417100836897,70,0.08750000000000001
1.0,0.024732855620547733,0.001042427701460578,71,0.08875
1.0,0.025283741986845455,0.0010748943062767018,72,0.09
1.0,0.025838653983060747,0.0011077952238290327,73,0.09125
1.0,0.02639753942062934,0.001141207066092794,74,0.0925
1.0,0.026960344573699543,0.0011749498034663017,75,0.09375
1.0,0.027527018534187247,0.0012091923743789146,76,0.095
1.0,0.028097513765760404,0.001244147222240756,77,0.09625
1.0,0.028671808237115584,0.0012818264476003622,78,0.0975
1.0,0.0292498244635288,0.0013177006306684317,79,0.09875
1.0,0.02983150057193888,0.0013529763939898148,80,0.1
1.0,0.030416779241812512,0.001387962041078652,81,0.10125
