lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.0003539930403522316,8.014493059073545e-16,1,0.0025
1.0,0.0005491024506863477,9.697213267740774e-07,2,0.005
1.0,0.0007844474569091977,2.6502185476749113e-06,3,0.0075
1.0,0.001058895657593223,5.210542907008482e-06,4,0.01
1.0,0.001371353145106087,8.80552849514782e-06,5,0.0125
1.0,0.0017207627518914517,1.3576592282342429e-05,6,0.015
1.0,0.0021061023976379563,1.965268947760561e-05,7,0.0175
1.0,0.0025263835218390846,2.715015497807065e-05,8,0.02
1.0,0.0029806496212800423,3.617548195470339e-05,9,0.0225
1.0,0.0034679748286513532,4.682182301845499e-05,10,0.025
1.0,0.003987463008573058,5.92077872892524e-05,11,0.0275
1.0,0.004538244994285661,7.331468635987486e-05,12,0.03
1.0,0.005119479997370945,8.932890836158297e-05,13,0.0325
1.0,0.005730351733447267,0.00010720963938788846,14,0.035
1.0,0.00637006919207095,0.0001270496745391134,15,0.0375
1.0,0.007037865473269533,0.0001489169804695756,16,0.04
1.0,0.0077329956655009325,0.00017279676130796824,17,0.0425
1.0,0.008454737249753576,0.000198752917128548,18,0.045
1.0,0.009202388623293907,0.00022680335100296286,19,0.0475
1.0,0.009975268337813245,0.0002569641146348027,20,0.05
1.0,0.010772714339448717,0.0002892470489096428,21,0.0525
1.0,0.011594083243810902,0.00032365984649224746,22,0.055
1.0,0.012438749632543515,0.00036020552755370254,23,0.0575
1.0,0.013306105383539758,0.00039888274725804096,24,0.06
1.0,0.014195559032931312,0.0004396860870817366,25,0.0625
1.0,0.01510653516704377,0.00048260633076858137,26,0.065
1.0,0.01603847384264381,0.0005276307257171117,27,0.0675
1.0,0.016990830033909103,0.0005747432305340907,28,0.07
1.0,0.017963073104664454,0.0006239247494457574,29,0.0725
1.0,0.018954686304487055,0.0006751533542599489,30,0.075
1.0,0.019965166287408985,0.0007284044944805943,31,0.0775
1.0,0.020994022651984013,0.0007836511962037449,32,0.08
1.0,0.022040777501622262,0.0008408642503466214,33,0.0825
1.0,0.02310496502406351,0.0009000123907635769,34,0.085
1.0,0.024186131089053563,0.0009610624627475546,35,0.08750000000000001
1.0,0.025283832863231083,0.0010239795824207205,36,0.09
1.0,0.026397638441360012,0.0010887272874671795,37,0.0925
