lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.0006678893030508233,1.4125154374033718e-15,1,0.00125
1.0,0.0007124790931451057,3.641031004977723e-05,2,0.0025
1.0,0.0007584594714364436,7.37329215919107e-05,3,0.00375
1.0,0.000805823966540719,0.00011195184311970213,4,0.005
1.0,0.000854565759337491,0.00015104390943078904,5,0.00625
1.0,0.0009046778897510337,0.0001910020034619253,6,0.0075
1.0,0.0009561528505242014,0.00023178999137050884,7,0.00875
1.0,0.0010091121105565656,0.00027340604278139444,8,0.01
1.0,0.0010634376586489457,0.00031587171330392104,9,0.01125
1.0,0.0011191224019988359,0.00035912566423223526,10,0.0125
1.0,0.0011761590482431952,0.0004031584651333682,11,0.01375
1.0,0.0012345399643189888,0.00044795153546771545,12,0.015
1.0,0.0012942572114648728,0.0004934887340402635,13,0.01625
1.0,0.0013553024473640653,0.0005397471244880546,14,0.0175
1.0,0.0014176671084422802,0.0005867174810264916,15,0.01875
1.0,0.0014813422445274364,0.0006343765986850159,16,0.02
1.0,0.0015463186573669444,0.0006827114261138004,17,0.02125
1.0,0.0016125870103679176,0.0007317147495263001,18,0.0225
1.0,0.0016801372288140447,0.0007813409222339314,19,0.02375
1.0,0.0017489594772828318,0.0008316026662749054,20,0.025
1.0,0.0018190435177095445,0.0008824707555693584,21,0.02625
1.0,0.0018903792223610898,0.0009339476796253549,22,0.0275
1.0,0.001962955282378269,0.0009859638866754768,23,0.02875
1.0,0.0020367613144941024,0.0010385570600090104,24,0.03
1.0,0.0021117865729846897,0.001091697541551936,25,0.03125
1.0,0.002188020415357233,0.0011453747054766727,26,0.0325
1.0,0.0022654515312621006,0.0011995460975353733,27,0.03375
1.0,0.002344069307013955,0.0012542265465977486,28,0.035
1.0,0.0024238634592539427,0.0013094120346109864,29,0.03625
1.0,0.002504822525856203,0.0013650320522081154,30,0.0375
1.0,0.002586935860581619,0.0014211046779256254,31,0.03875
1.0,0.002670194310462155,0.0014776753576956543,32,0.04
1.0,0.002754586501548417,0.0015346220937910136,33,0.04125
1.0,0.002840104175629827,0.0015920739560522329,34,0.0425
1.0,0.002926736154942911,0.00164985325052272,35,0.043750000000000004
1.0,0.00301447276873478,0.00170802440496231,36,0.045
1.0,0.003103304400457939,0.0017665595067334638,37,0.04625
1.0,0.003193221723984684,0.0018254490467839403,38,0.0475
1.0,0.0032842150183907868,0.0018846518834750156,39,0.04875
1.0,0.0033762773341159927,0.0019442827234481372,40,0.05
1.0,0.0034693986480900806,0.0020041646712026014,41,0.051250000000000004
1.0,0.0035635685544068802,0.002064252924285075,42,0.0525
1.0,0.0036587849722359597,0.002124921575111902,43,0.05375
1.0,0.003755038214682035,0.0021858021478393078,44,0.055
1.0,0.0038523141702553666,0.002246668621527218,45,0.05625
1.0,0.003950615682688352,0.002308261332800223,46,0.0575
1.0,0.004049929477513463,0.0023698467086755923,47,0.058750000000000004
1.0,0.004150246081528008,0.002431581293037963,48,0.06
1.0,0.004251567898615371,0.002493954887677231,49,0.06125
1.0,0.004353878184506621,0.002556126081928316,50,0.0625
1.0,0.004457179757276712,0.0026189205476329757,51,0.06375
1.0,0.00456146044406855,0.0026816793669020397,52,0.065
1.0,0.004666714735186177,0.002744674180736021,53,0.06625
1.0,0.0047729433263932405,0.0028081591405048237,54,0.0675
1.0,0.004880128030775987,0.0028713006288112164,55,0.06875
1.0,0.0049882671215517845,0.002934806375688357,56,0.07
1.0,0.005097357189448754,0.0029985785542337717,57,0.07125000000000001
1.0,0.005207398542396844,0.003062745796569304,58,0.0725
1.0,0.005318375847475053,0.0031266743538413953,59,0.07375
1.0,0.0054302904481851625,0.0031910204963839723,60,0.075
1.0,0.005543134107741219,0.0032553907317104244,61,0.07625
1.0,0.005656907293985484,0.0033201210705645135,62,0.0775
1.0,0.005771601159228589,0.0033848271957307194,63,0.07875
1.0,0.0058872072769526685,0.003449514224613869,64,0.08
1.0,0.006003721447028643,0.0035143456286389017,65,0.08125
1.0,0.006121147423592985,0.0035796225681196947,66,0.0825
1.0,0.0062461659947817055,0.0036447807094429816,67,0.08375
1.0,0.0063723137192673,0.0037139542978981274,68,0.085
1.0,0.006499592030703318,0.0037835333224601046,69,0.08625000000000001
1.0,0.006627990945325631,0.0038530676775755117,70,0.08750000000000001
1.0,0.006757506152807553,0.0039227733586727495,71,0.08875
1.0,0.006888136252246992,0.003992747925112436,72,0.09
1.0,0.00701986706537822,0.004062518356427314,73,0.09125
1.0,0.007152696221189315,0.004132512067283398,74,0.0925
1.0,0.007286621094393607,0.004202717411256271,75,0.09375
1.0,0.007421627241182347,0.004272701088644957,76,0.095
1.0,0.0075577114221542065,0.004342878064639738,77,0.09625
1.0,0.007694866335392018,0.004413072137756214,78,0.0975
1.0,0.007833090319109752,0.004483502555110691,79,0.09875
1.0,0.007972365710814345,0.004553588920548771,80,0.1
1.0,0.008112691005339588,0.004623906390049199,81,0.10125
1.0,0.008254060952916883,0.0046943251508041,82,0.10250000000000001
1.0,0.008396464549658427,0.004764632006050433,83,0.10375000000000001
1.0,0.008539888936316166,0.004834761104273087,84,0.105
1.0,0.008684330252426889,0.004905043269795641,85,0.10625
1.0,0.008829779892420727,0.004975287612211224,86,0.1075
1.0,0.008976246907854417,0.005046156175961366,87,0.10875
1.0,0.009123695541542397,0.005115995472738001,88,0.11
1.0,0.009272135806442459,0.005186583255926593,89,0.11125
1.0,0.009421538694405485,0.005256318920965468,90,0.1125
1.0,0.00957191333176205,0.005326736678496952,91,0.11375
1.0,0.009723221416379166,0.005395967838869253,92,0.115
1.0,0.00987547621600892,0.005466091058775155,93,0.11625
1.0,0.010028680333213236,0.005536690763459879,94,0.11750000000000001
1.0,0.010182770396852366,0.005605283510661889,95,0.11875000000000001
1.0,0.010337762795924672,0.005674907351311046,96,0.12
1.0,0.010493642956077794,0.0057444216014654265,97,0.12125
1.0,0.010650415938615609,0.00581459838340443,98,0.1225
1.0,0.010808020306495664,0.0058831074685754565,99,0.12375
1.0,0.010966504240681843,0.005954083043724207,100,0.125
1.0,0.011125764034504194,0.0060219212798936165,101,0.12625
1.0,0.011285783198939876,0.006090206957453479,102,0.1275
1.0,0.011446556187037854,0.0061595841944386085,103,0.12875
1.0,0.011608032868707449,0.006228729072561195,104,0.13
1.0,0.01177012294759578,0.00629666778978125,105,0.13125
1.0,0.011932760982632701,0.006365562675812258,106,0.1325
1.0,0.012098500572059264,0.006432810687668288,107,0.13375
1.0,0.012263705795671265,0.006503033842011826,108,0.135
1.0,0.012426917944608786,0.006574108497375598,109,0.13625
1.0,0.012584220264795347,0.006643424065551082,110,0.1375
1.0,0.012724291478611536,0.006711979419924986,111,0.13875
1.0,0.012824280458215874,0.006783347061376487,112,0.14
1.0,0.01288153962892156,0.006851760314963146,113,0.14125000000000001
1.0,0.01291852899953831,0.006919511997687739,114,0.14250000000000002
1.0,0.012947821831121208,0.006989824616384017,115,0.14375000000000002
1.0,0.012973839076094647,0.007058016828380776,116,0.145
1.0,0.012998328827274582,0.0071266905387247234,117,0.14625
1.0,0.013022127673939145,0.0071946153261287496,118,0.1475
1.0,0.013045712685279926,0.007262604200356331,119,0.14875
1.0,0.013069395663937361,0.007330130396136616,120,0.15
1.0,0.013093404334667174,0.007398263765704487,121,0.15125
1.0,0.01311791719627654,0.0074660921365529665,122,0.1525
1.0,0.013143082191178929,0.007533137282978154,123,0.15375
1.0,0.01316902804417751,0.007601155467362403,124,0.155
1.0,0.013195866408356632,0.007666951021408529,125,0.15625
1.0,0.013223700145318875,0.007734679091938936,126,0.1575
1.0,0.013252621288387579,0.00780182292269516,127,0.15875
1.0,0.013282712826222337,0.007866973265448753,128,0.16
1.0,0.013314053087727517,0.007933254140004096,129,0.16125
1.0,0.013346713366854336,0.007999429295500574,130,0.1625
1.0,0.013380758300359293,0.008063774215811956,131,0.16375
1.0,0.013416248778979414,0.008128744378720685,132,0.165
1.0,0.013453240284910482,0.008193888378314463,133,0.16625
1.0,0.013491783638134762,0.008258765204841612,134,0.1675
1.0,0.013531926161949327,0.008324733305755429,135,0.16875
1.0,0.013573708337837099,0.00838778705441663,136,0.17
1.0,0.013617169515264854,0.008452287129876265,137,0.17125
1.0,0.013662343293930746,0.008515064334591108,138,0.17250000000000001
1.0,0.013709260880564246,0.008578557679280667,139,0.17375000000000002
1.0,0.013757949350133884,0.008641540542296265,140,0.17500000000000002
1.0,0.0138084325560239,0.008704500263869678,141,0.17625
1.0,0.013860731025760423,0.008767267276780802,142,0.1775
1.0,0.013914861996834947,0.008829589362556857,143,0.17875
1.0,0.013970840267542015,0.008892359944958055,144,0.18
1.0,0.014028676570983157,0.008953980115592623,145,0.18125
1.0,0.01408838092090034,0.009016702469622884,146,0.1825
1.0,0.01414995702602756,0.009077227237666168,147,0.18375
1.0,0.014213409521318082,0.00913857098442987,148,0.185
1.0,0.014278740316191925,0.00919980226312808,149,0.18625
1.0,0.01434594427320628,0.009259286756296918,150,0.1875
1.0,0.01441501814799771,0.009318149818486107,151,0.18875
1.0,0.01448595640420905,0.00937677781838069,152,0.19
1.0,0.014558751914275109,0.009436501906704624,153,0.19125
1.0,0.01463339702526661,0.00949728839480624,154,0.1925
1.0,0.014709877771361136,0.009555903529764192,155,0.19375
1.0,0.014788178431579896,0.00961370052391001,156,0.195
1.0,0.014868285438772286,0.009671665909150402,157,0.19625
1.0,0.014950180752246219,0.009728149229891448,158,0.1975
1.0,0.015033846781375537,0.00978412267267907,159,0.19875
1.0,0.015119264615370885,0.009841020739658899,160,0.2
1.0,0.015206413476636703,0.009897591616636253,161,0.20125
1.0,0.015295271432499502,0.009953834291133563,162,0.2025
1.0,0.015385815371381263,0.010009045272059711,163,0.20375000000000001
1.0,0.015478021437125287,0.010064159264704619,164,0.20500000000000002
1.0,0.015571864774953289,0.010119255110379163,165,0.20625000000000002
1.0,0.015667319774296345,0.010173746874481365,166,0.20750000000000002
1.0,0.01576435998690674,0.010228209023997454,167,0.20875
1.0,0.015862958241951077,0.010282950682431617,168,0.21
1.0,0.015963087174731338,0.010336137530569622,169,0.21125
1.0,0.01606471837769193,0.010391212350425191,170,0.2125
1.0,0.01616782343130817,0.010443423959719082,171,0.21375
1.0,0.016272373580174936,0.010498037673169576,172,0.215
1.0,0.01637833924006045,0.010549423787763378,173,0.21625
1.0,0.016485691362113853,0.010602879494517607,174,0.2175
1.0,0.016594400101924957,0.01065479912067169,175,0.21875
1.0,0.016704435512519676,0.01070544240331697,176,0.22
1.0,0.016815767938452925,0.010756608795211006,177,0.22125
1.0,0.016928367523534844,0.01080753030638877,178,0.2225
1.0,0.01704220442848214,0.010857744730524397,179,0.22375
