lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.0007124945230386434,1.4125154374033718e-15,1,0.0025
1.0,0.0008058603722892901,7.261886060032424e-05,2,0.005
1.0,0.0009047417481194432,0.00014884807259630972,3,0.0075
1.0,0.0010090821459966183,0.00022854976605302539,4,0.01
1.0,0.0011191139473995444,0.00031157051603777957,5,0.0125
1.0,0.0012345610040767725,0.00039789726787793167,6,0.015
1.0,0.0013553615551146483,0.0004872770416193091,7,0.0175
1.0,0.0014814497000717863,0.0005795992561939268,8,0.02
1.0,0.0016127538609321827,0.0006747072595000543,9,0.0225
1.0,0.001749198644472852,0.0007724888377369601,10,0.025
1.0,0.0018907046166084128,0.0008728111084239217,11,0.0275
1.0,0.00203719062330756,0.0009755780305875748,12,0.03
1.0,0.002188568796407266,0.001080555462620001,13,0.0325
1.0,0.002344754470273614,0.001187716087830174,14,0.035
1.0,0.002505657443029875,0.0012968158225054687,15,0.0375
1.0,0.002671199351449945,0.0014079879126777139,16,0.04
1.0,0.0028412872974961224,0.001520729681545528,17,0.0425
1.0,0.003015847180399569,0.0016353063747481997,18,0.045
1.0,0.003194801480520999,0.0017514501685049171,19,0.0475
1.0,0.0033780750756395896,0.001869033735475467,20,0.05
1.0,0.003565594268244748,0.0019879066232952472,21,0.0525
1.0,0.0037572972288780404,0.0021081492047428096,22,0.055
1.0,0.003953124810395382,0.0022296780043507404,23,0.0575
1.0,0.004153019087525807,0.002352315377631793,24,0.06
1.0,0.004356922722921438,0.0024759685939297954,25,0.0625
1.0,0.0045647676420713795,0.0026002432389370393,26,0.065
1.0,0.004776530510992837,0.0027259761461416667,27,0.0675
1.0,0.004992149418778215,0.0028522221645313744,28,0.07
1.0,0.005211561183308158,0.0029788588656308804,29,0.0725
1.0,0.005434740796338338,0.0031065606861159323,30,0.075
1.0,0.005661651561056193,0.003234989974171934,31,0.0775
1.0,0.00589226637411908,0.0033642669889313317,32,0.08
1.0,0.006126529687744802,0.0034937114157671104,33,0.0825
1.0,0.006378251661919834,0.0036235189520686935,34,0.085
1.0,0.006634525344646627,0.0037622203020895644,35,0.08750000000000001
1.0,0.006895310535673035,0.0039015195790024415,36,0.09
1.0,0.0071605582975207156,0.004041207252537252,37,0.0925
1.0,0.007430202217049567,0.004180902506176119,38,0.095
1.0,0.007704219775146324,0.0043214756790638485,39,0.0975
1.0,0.00798250430135672,0.004461224615903306,40,0.1
1.0,0.008265058468284741,0.004602291934327162,41,0.10250000000000001
1.0,0.008551767429881351,0.004742384859498161,42,0.105
1.0,0.00884259689570522,0.0048830581772335326,43,0.1075
1.0,0.009137475299677237,0.0050236107865046856,44,0.11
1.0,0.00943635904954092,0.005164608300000289,45,0.1125
1.0,0.009739127880534873,0.005304645116625428,46,0.115
1.0,0.010045674590340073,0.005444089221403224,47,0.11750000000000001
1.0,0.010355951905510736,0.005584237565494156,48,0.12
1.0,0.010669791401459586,0.005723153660350749,49,0.1225
1.0,0.010987129269081469,0.005863400327668499,50,0.125
1.0,0.011307616137547622,0.006000708907044807,51,0.1275
1.0,0.011631003951306012,0.006139413706792669,52,0.13
1.0,0.011956559192926522,0.006275880502287991,53,0.1325
1.0,0.012282937201371646,0.006413663380853204,54,0.135
1.0,0.012605961204897724,0.006550246352873815,55,0.1375
1.0,0.012884175157652035,0.006685465751305637,56,0.14
1.0,0.013009448417150574,0.006823840138560302,57,0.14250000000000002
1.0,0.013070005248619393,0.006962974347042998,58,0.145
1.0,0.01311923481071729,0.0070994517502454306,59,0.1475
1.0,0.013166032725575863,0.007237692646764818,60,0.15
1.0,0.01321321880898591,0.007374734622731025,61,0.1525
1.0,0.013262291356177543,0.0075087030517330695,62,0.155
1.0,0.013314305202584704,0.007644473756089387,63,0.1575
1.0,0.013370085602726848,0.007778064674986591,64,0.16
1.0,0.013430319767369652,0.007910244972205159,65,0.1625
1.0,0.013495592914165645,0.008041912607803674,66,0.165
1.0,0.013566405963762764,0.008173513840880773,67,0.1675
1.0,0.013643184204994408,0.00830347290040257,68,0.17
1.0,0.013726285260067453,0.008431637186319936,69,0.17250000000000001
1.0,0.013816009722030115,0.008558066127681433,70,0.17500000000000002
