lambda,minimum_hankel_margin,negative_mass_fraction,nonlinear_source_norm,realizability_margin,source_norm,step,time
1.0,8.068903668195745,0.0009300197276249417,9.759904644569863,0.10188021031418773,163.77314458573093,1,0.00125
1.0,8.03234682904567,0.0009326215178222616,9.617192941479994,0.10236316589610307,162.81860474090988,2,0.0025
1.0,7.996033421049155,0.0009352190426240864,9.476647265076416,0.10284759064324454,161.870962736674,3,0.00375
1.0,7.959961571907607,0.0009378121918065955,9.338233171986074,0.1033334858124329,160.93015003741587,4,0.005
1.0,7.924129426685351,0.0009404008545091507,9.201916801555011,0.10382085262714513,159.99609902788703,5,0.00625
1.0,7.888535147611103,0.0009429849192364743,9.067664865161424,0.1043096922772569,159.06874299798093,6,0.0075
1.0,7.8531769138821925,0.0009455642738608952,8.935444635745544,0.10480000591882845,158.14801612780823,7,0.00875
1.0,7.818052921471551,0.0009481388056246317,8.805223937550332,0.10529179467383978,157.23385347305586,8,0.01
1.0,7.7831613829373545,0.0009507084011421426,8.676971136068692,0.1057850596299684,156.32619095062492,9,0.01125
1.0,7.7485005272353025,0.0009532729464025511,8.550655128192265,0.10616977160011422,155.42496532454112,10,0.0125
1.0,7.714068599533526,0.0009558323267720859,8.426245332557952,0.10653845568253603,154.53011419213203,11,0.01375
1.0,7.679863861030002,0.0009583864269966465,8.303711680086803,0.10690749190119732,153.6415759704648,12,0.015
1.0,7.645884588772516,0.0009609351312043512,8.18302460471206,0.10727687665415647,152.75928988304014,13,0.01625
1.0,7.612129075481079,0.0009634783229082104,8.064155034291273,0.10764660631302943,151.8831959467356,14,0.0175
1.0,7.578595629372764,0.0009660158850088098,7.9470743816990135,0.10801667722312369,151.0132349589939,15,0.01875
1.0,7.545282573988949,0.0009685476997971028,7.831754536095769,0.10838708570357386,150.14934848525033,16,0.02
1.0,7.512188248024904,0.0009710736489572048,7.718167854369859,0.1087578280474791,149.29147884659545,17,0.02125
1.0,7.479311005161717,0.0009735936135692963,7.606287152747119,0.10912890052204169,148.43956910766607,18,0.0225
1.0,7.446649213900418,0.0009761074741125538,7.496085698567097,0.10950029936870734,147.5935630647624,19,0.02375
1.0,7.414201257398446,0.0009786151104681806,7.3875372022192245,0.10987202080330707,146.75340523418365,20,0.025
1.0,7.381965533308248,0.0009811164019224278,7.28061580923776,0.11024406101620046,145.9190408407801,21,0.02625
1.0,7.349940453618064,0.000983611227169766,7.1752960925512586,0.11061641617242049,145.09041580671564,22,0.0275
1.0,7.318124444494856,0.0009860994643160498,7.071553044882848,0.11098908241181982,144.2674767404368,23,0.02875
1.0,7.286515946129326,0.0009885809908817557,6.969362071298646,0.11136205584921849,143.45017092584428,24,0.03
1.0,7.255113412582999,0.0009910556838053008,6.868698981900844,0.11173533257455319,142.63844631166202,25,0.03125
1.0,7.223915311637352,0.000993523419446425,6.769539984662361,0.1121089086530278,141.83225150100074,26,0.0325
