sample,time,stage9_rho,stage9_momentum_x,stage9_momentum_y,stage9_momentum_z,stage9_energy_trace,stage9_M200,stage9_M020,stage9_M002,stage9_M300,stage9_M030,stage9_M003,stage9_M400,stage9_M040,stage9_M004,stage9_M110,stage9_M101,stage9_M011,stage9_M210,stage9_stress_norm,stage9_qx,stage9_qy,stage9_qz,stage9_heat_flux_norm,stage9_realizability_margin,grad_rho,grad_momentum_x,grad_momentum_y,grad_momentum_z,grad_energy_trace,grad_M200,grad_M020,grad_M002,grad_M300,grad_M030,grad_M003,grad_M400,grad_M040,grad_M004,grad_M110,grad_M101,grad_M011,grad_M210,grad_stress_norm,grad_qx,grad_qy,grad_qz,grad_heat_flux_norm,grad_realizability_margin,particle_rho,particle_momentum_x,particle_momentum_y,particle_momentum_z,particle_energy_trace,particle_M200,particle_M020,particle_M002,particle_M300,particle_M030,particle_M003,particle_M400,particle_M040,particle_M004,particle_M110,particle_M101,particle_M011,particle_M210,particle_stress_norm,particle_qx,particle_qy,particle_qz,particle_heat_flux_norm,particle_realizability_margin,particle_sem_M000,particle_sem_M100,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M010,particle_sem_M110,particle_sem_M210,particle_sem_M310,particle_sem_M020,particle_sem_M120,particle_sem_M220,particle_sem_M030,particle_sem_M130,particle_sem_M040,particle_sem_M001,particle_sem_M101,particle_sem_M201,particle_sem_M301,particle_sem_M002,particle_sem_M102,particle_sem_M202,particle_sem_M003,particle_sem_M103,particle_sem_M004,particle_sem_M011,particle_sem_M111,particle_sem_M211,particle_sem_M021,particle_sem_M121,particle_sem_M031,particle_sem_M012,particle_sem_M112,particle_sem_M013,particle_sem_M022
0,0.0,1.0,0.0,0.0,0.0,3.0000000000000004,1.0000000000000002,0.8479729729729731,1.1520270270270272,0.0,0.0,0.0,18.462381300219146,6.521069211102999,37.33735847333821,0.0,0.0,0.0,0.0,0.21499868346888268,0.0,0.0,0.0,0.0,0.10139872260756397,1.0,0.0,0.0,0.0,3.0000000000000004,1.0000000000000002,0.8479729729729731,1.1520270270270272,0.0,0.0,0.0,18.462381300219146,6.521069211102999,37.33735847333821,0.0,0.0,0.0,0.0,0.21499868346888268,0.0,0.0,0.0,0.0,0.10139872260756397,1.0,0.0,0.0,0.0,3.000000000000001,1.0000000000000002,0.8479729729729732,1.1520270270270276,0.0,0.0,0.0,18.462381300219143,6.521069211102998,37.33735847333821,0.0,0.0,0.0,0.0,0.21499868346888293,0.0,0.0,0.0,0.0,0.10139872260756508,0.0,0.0,0.0,0.0,9.173067274558416e-16,0.0,0.0,0.0,0.0,2.866583523299505e-17,0.0,2.293266818639604e-16,0.0,0.0,2.293266818639604e-16,0.0,0.0,0.0,0.0,1.146633409319802e-16,0.0,9.173067274558416e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.293266818639604e-16
1,0.025,1.0,0.0,0.0,0.0,3.000000000000001,0.9999999711585957,0.8553873715625309,1.1446126572788742,-2.7415268107806697e-16,1.0061752485968639e-16,2.299739243049165e-16,16.941938397783318,6.139553571046731,33.87548636104773,2.999836002065764e-19,0.0,0.0,1.854441950116386e-16,0.2045131608206461,-2.6096628120717664e-16,2.934970551445745e-16,1.1498696215245826e-16,4.0922600451424334e-16,0.10983740167401672,1.0,0.0,0.0,0.0,3.0,1.0000000000000002,0.855387418572578,1.1446125814274215,-5.097244990105083e-19,8.738778433031329e-20,-6.016974533098577e-19,16.93052398636184,6.13288144904905,33.92700532001381,2.670668171757005e-34,7.361240681313545e-35,-1.5786418829140413e-35,-2.897458753224515e-20,0.20451307394444335,-3.8248968695530504e-31,8.351313721349151e-32,3.64987798585686e-30,3.6708149117541925e-30,0.10987630662597267,1.0,-9.825582188149884e-19,-2.8917704819261814e-17,1.163484456348507e-17,3.0000000000000018,1.000293372599443,0.8550578010284455,1.144648826372113,-0.001482905125265835,-0.0007619408868885566,0.0008971886257673131,16.845349700410193,6.113365258274537,33.75188870468359,-8.353864660509366e-05,-1.9243603937987462e-05,-9.216651483515216e-05,-0.0022564798026772142,0.20477217039529066,-0.0014563876294928961,-0.0018628464174550684,-6.348408214591539e-05,0.002365436942945432,0.11029590711163105,0.0,3.02210788374699e-17,0.0003536180910580727,0.002032785297272087,0.045344829612072035,2.624125685611959e-17,0.0002621063067546089,0.0010645036846161434,0.010242724356014693,0.00030441143093437774,0.000751042550639891,0.00725020764570829,0.0013810830925941907,0.005901180158088791,0.012495973269413563,1.667717911143762e-17,0.0003097926739591033,0.0014373643974559282,0.019247976405674765,0.00031652139997779183,0.0015433237076104389,0.01671796561138141,0.004353115811720586,0.027031167242360817,0.09524344353967731,0.00022759575992575641,0.0009681013060876545,0.006346425671535027,0.001217182565284888,0.005732055757268577,0.007300518262401451,0.0010831185928767213,0.008408557370623343,0.024731164279395486,0.008571832085005832
2,0.05,1.0,0.0,0.0,0.0,3.000000000000001,0.999999954246129,0.8624401824056905,1.1375598633481816,-6.002159384642915e-16,-2.1028490031104245e-16,-2.3073239955076094e-16,15.580161059641307,5.797459500068858,30.81031235716288,8.6832661030629e-18,0.0,0.0,-1.3725992799652969e-16,0.19453899203232286,-3.435854238450791e-16,-2.293368788546614e-16,-1.1536619977538047e-16,4.2890058000918266e-16,0.11729057848656334,1.0,0.0,0.0,0.0,3.0,1.0000000000000007,0.8624402573932696,1.1375597426067297,-7.246990827396207e-19,-1.0494003785120428e-19,2.3828442349004963e-20,15.559550798647287,5.786233746880782,30.886026375508955,1.6897670217474044e-33,1.0314435220246358e-33,-3.3803038655870623e-33,-3.202689005725244e-20,0.19453885363098972,-1.9300225455190587e-30,-1.7383925160525288e-31,1.7044088803307084e-30,2.5807395728668012e-30,0.11737619248971816,1.0,2.5139937874507634e-18,-2.2341341016779426e-17,-3.6591823321385775e-17,3.0000000000000018,1.0001391763048337,0.8623921885881285,1.1374686351070393,-0.0017691444612247444,-0.0005036615447180609,-0.0009515597133536984,15.393071528182045,5.763458342969111,30.555757188290038,0.00017435624033483084,-0.00020811059698461749,-0.0005077595523183241,-0.0017725474483202255,0.19451019980855894,-0.0008553629933035972,-0.001976040900732053,-0.0010062567497553846,0.0023767490692345925,0.11826584526370226,0.0,3.8618777147936707e-17,0.00034625281046697995,0.0031102094265279628,0.06663070387107897,2.890931364536068e-17,0.0002921181865369316,0.0021594967106728542,0.018585294327413834,0.0003943702862154243,0.0010711071298239179,0.01455437603371483,0.0018011897687291876,0.009939200628235457,0.024289911913227595,3.046954373778444e-17,0.00036233352238789726,0.0023431615512600483,0.03144870715133147,0.0004488350745546822,0.003024651804965115,0.03287975017275804,0.0068789072745768865,0.04213371683037168,0.16354256943827253,0.0002825756039752353,0.0012682983463942628,0.01191109902993617,0.0016203509681821523,0.009426780589350309,0.009074831313655982,0.0016101889082562324,0.015429176865582468,0.03816841546504513,0.0135262761262447
3,0.075,1.0,0.0,0.0,0.0,3.000000000000001,0.9999999447855671,0.869149034304681,1.1308510209097526,-1.250120550496017e-15,4.376678766227528e-16,-2.1406048076817523e-16,14.357836608378916,5.490649100878068,28.083286795832255,1.5810296644869639e-19,0.0,0.0,-9.537096716744308e-18,0.18505124937844952,-6.913839911987458e-16,2.3374128224135686e-16,-1.0703024038408762e-16,7.376328915296665e-16,0.12483549798319912,1.0,0.0,0.0,0.0,3.0,1.0000000000000009,0.8691491252057622,1.1308508747942367,-6.829136826811659e-19,2.0626693541881995e-19,-3.1839222107993446e-19,14.330257278571084,5.476442446091903,28.167192786306767,2.1625494151776862e-33,1.1748720055513598e-33,-3.423050491441591e-33,-8.89272454342865e-20,0.18505108178239416,-1.2133358649639586e-30,-1.2488331612514458e-30,5.083780977701767e-30,5.373694931338348e-30,0.12497027539618889,1.0,-1.1526424346236519e-17,-3.02153592944554e-17,-3.337987438539747e-17,3.0000000000000018,0.9999084054581862,0.8695732290510759,1.1305183654907396,0.001272865209092612,-0.0018298230554712675,-0.0017594376418181646,14.096546430949962,5.427845939212397,27.690979271889294,-9.799034055986845e-05,0.0001004418775289474,-0.000727926119770531,-0.0012438241152290135,0.18451908799450634,0.0013661596493291894,-0.003282778805691941,0.0002709083324740867,0.0035660090015533262,0.12639299971096443,0.0,4.268451275490986e-17,0.0005831861651876762,0.0034424818727924783,0.09155807439255192,3.173227457292265e-17,0.000466984966607945,0.0025395752048451934,0.022552519449178954,0.0005126622346287203,0.001758871321384934,0.021324874562556207,0.0023808478847727288,0.015400385888091169,0.032314375686597514,3.1893384383722755e-17,0.0004377828695539743,0.003058265625300803,0.048809763468524614,0.0007615139238176747,0.0040840974135161,0.04309891745143598,0.009638251571936849,0.05729326363090535,0.23427146162939413,0.00047755800592733756,0.0014140107024992533,0.01726962471938909,0.0020168356508198705,0.013061991804178138,0.013462107152602298,0.002122602324528804,0.020755060425315233,0.052862096390102135,0.01878397493896759
4,0.1,1.0,0.0,0.0,0.0,3.0000000000000013,0.9999999399876813,0.8755306985086919,1.124469361503628,-1.0050428287161905e-15,-8.981719912854532e-16,-4.1897871652235816e-16,13.258826647970183,5.215465710646125,25.647941539811022,2.8528000387885106e-18,0.0,0.0,-6.686766492570246e-16,0.17602621670324736,-6.064339062074386e-16,-1.0993192702255113e-15,-2.0948935826117908e-16,1.27285141776715e-15,0.13244026988689386,1.0,0.0,0.0,0.0,3.0,1.000000000000001,0.8755307976740838,1.1244692023259153,-6.9978930222716945e-19,2.6321259437567127e-19,1.7737595600397862e-19,13.226300441241978,5.199438353987998,25.731016478888275,2.3353570543258208e-33,1.6457581770332022e-33,-2.6318835222632238e-33,-1.2797323641857297e-19,0.17602603402707082,1.0881504185787883e-32,-1.0727670531479952e-30,5.320261100748215e-31,1.1974971145078074e-30,0.13262256716491677,1.0,-4.231098978124681e-17,-3.718135825267477e-17,-3.3881317890172014e-18,3.0000000000000013,0.9996589194139338,0.8764933403523186,1.123847740233749,0.0005576750776575459,-0.0025375648458914623,0.0016476759406562737,12.943164580769874,5.147896495788243,25.14743889259594,3.0287991118396708e-05,-0.000686058540239395,-0.0009117760025331269,-0.0006728829364761239,0.17491392149461474,0.001536895110105141,-0.003764372140327617,0.0028064401374806244,0.00494051115124762,0.1345763234806497,0.0,6.673776177356904e-17,0.0007278354717336638,0.003845496283711788,0.11543218094663779,4.424712891839038e-17,0.0005754807974059841,0.0028807957366933272,0.02874552243977343,0.0006565034033433419,0.002223965866988853,0.024958337332623377,0.0035102909505957147,0.02036062157154331,0.040180647330174755,3.676520947518272e-17,0.00047564979065557245,0.0034539434446287792,0.0607968533711508,0.0009096082597414112,0.005545504190849581,0.049562240678681695,0.011831399450000052,0.06840538162368348,0.30290096826507756,0.0005490867427287604,0.0017035284787805692,0.019684177063709472,0.0024839156300098223,0.01542471614945142,0.014865111811513617,0.0026205650991002055,0.025291318975984113,0.06590862256905941,0.022950023847807005
5,0.125,1.0,0.0,0.0,0.0,3.000000000000001,0.9999999381008724,0.8816011297099847,1.1183989321891439,-1.383333560400711e-15,-1.1721005018931727e-15,-6.041869702619542e-16,12.269386039918523,4.968663023846354,23.46662404486596,6.358609496398326e-18,0.0,0.0,-1.031370571790127e-15,0.16744133190310326,-9.473143402543416e-16,-1.6550935524931621e-15,-3.020934851309771e-16,1.9308028383329393e-15,0.14006904080737625,1.0,0.0,0.0,0.0,3.0,1.0000000000000013,0.881601232303472,1.1183987676965268,-9.914759912201028e-19,8.246530030826966e-20,2.223399598393399e-19,12.233642908970234,4.951663623759437,23.54411577253283,3.1087382263225884e-33,3.758767932205781e-33,-1.4344545834741263e-33,-1.0495629658304356e-19,0.16744114304469054,6.037790375653984e-31,6.119642398290442e-32,8.867703687687979e-31,1.0745491219288414e-30,0.14029412622048043,1.0,-2.6034404666808175e-17,-4.4279494350665805e-17,-2.0721814021629203e-17,3.0000000000000004,1.0000791989303943,0.8828663208703205,1.1170544801992857,0.0013727560183520548,-0.002371444050362077,0.000627765498314949,11.937442477759525,4.893891943204593,22.887549299230248,0.00014505551234841554,-0.0004864069204653183,-0.0013497634492573274,-0.0006960619219178758,0.16560862109798521,0.00171929587626209,-0.0038339234426314674,0.0018118135666210411,0.004575763944335744,0.14269051706122865,0.0,6.363712842911134e-17,0.000762107941189186,0.003998177239920272,0.13735046896735412,5.409804286686328e-17,0.0007529497061329259,0.0029482933263253294,0.0328750462640534,0.0008021030686650477,0.002126246583889995,0.02992050733229813,0.004000790468179033,0.024106788990702017,0.05077937691085169,3.1850280177114707e-17,0.0005684755067643066,0.004055616350930552,0.07371428307775507,0.0010644395522020958,0.0064552330572037854,0.05346492178599769,0.013160343344535023,0.08117693038888181,0.34647953066601905,0.0004998317611137642,0.002093810644044388,0.02360151641711149,0.002990977734647062,0.016890873363858572,0.016257112224605717,0.0029967109081895974,0.029394329665792022,0.07527287613860373,0.027474934289522624
6,0.15,1.0,0.0,0.0,0.0,3.0,0.999999938018835,0.8873755053573128,1.1126245566238522,-5.647612690755077e-16,-2.1939525424385561e-16,-5.605305261851103e-16,11.377671782769841,4.747348764834965,21.508265796581547,-8.942025735132748e-19,0.0,0.0,-4.2577879783966734e-16,0.15927513160642437,-5.21198945302151e-16,-5.508054819464199e-16,-2.8026526309255517e-16,8.084451974145444e-16,0.14768280461496633,1.0,0.0,0.0,0.0,3.0,1.000000000000001,0.88737560834245,1.1126243916575487,-7.410127937330848e-19,1.1973602358219391e-19,3.6202836271750927e-19,11.340130725256612,4.729990991758496,21.577995319844337,3.98722063233363e-33,5.156946829446215e-33,-7.934415599577759e-34,-1.1082088927267322e-19,0.15927494213612553,-1.2032247327559256e-31,-3.4937648129038153e-31,4.0362676809495495e-31,5.472257223274346e-31,0.147943690973533,1.0,-1.854663341308016e-17,-7.345469718589293e-18,3.279711571768651e-17,3.0,1.0000546381661308,0.8889632019250783,1.110982159908791,0.0022686884866368094,-0.0029106045391453714,-0.0012016747177256669,11.015098356143218,4.682774166271894,20.909296834290494,0.00017077006140584665,-0.00042212647116135797,-0.0019332465054938816,-7.043317995321895e-05,0.15701625049823875,0.0014796664041631968,-0.003950758431354003,0.0013231047091880762,0.0044213698015433695,0.15074701351233022,0.0,5.70303340884909e-17,0.0008530397247952235,0.005486648265261199,0.1507197828583581,6.162371344599152e-17,0.0007348931165626557,0.0036370020160115236,0.03682112524173008,0.0008722605613324696,0.0025443772009347675,0.033234092345877986,0.003986409302203208,0.0257564994236067,0.0570747337233062,3.1825279989040753e-17,0.0007783848572201335,0.004859605691981828,0.08523584358923474,0.0011251620621645251,0.007396380544115994,0.057234145467628214,0.013519731494942304,0.09609913706559384,0.37860253461552035,0.0006137090487816642,0.0022924833378456045,0.024857765533708547,0.0031681355540553965,0.018336615626147926,0.02142502917315945,0.00304439429275442,0.03216519687442906,0.0872525188563445,0.029936854447138603
7,0.17500000000000002,1.0,0.0,0.0,0.0,3.000000000000001,0.9999999390357747,0.8928682632530088,1.1071317977112174,-5.869234246797619e-16,-1.9676565119332846e-17,-5.200285445565518e-16,10.573381877596123,4.548898392228319,19.7468240009136,7.094852827021621e-18,0.0,0.0,-3.7397723367841696e-16,0.15150719817641517,-5.3879691879779665e-16,-3.462974747349591e-16,-2.600142722782759e-16,6.912535587627817e-16,0.155240033929515,1.0,0.0,0.0,0.0,3.0,1.0000000000000013,0.8928683647388549,1.107131635261144,-6.921657034323396e-19,2.1122421761298874e-19,5.252407974584073e-19,10.535168047723825,4.531659553419424,19.808122396325494,4.523724596533017e-33,5.955538574081555e-33,3.6710186168239454e-35,-1.5920541542530065e-19,0.15150701154551832,8.600721649147299e-31,4.167712399653978e-31,-8.143794769841427e-31,1.2556417991833384e-30,0.15552834766510581,1.0,1.0523537336687427e-17,-2.55465136891897e-18,1.6154612370034016e-17,3.000000000000001,0.9995123468160911,0.8944137776756822,1.1060738755082273,0.0010948453327323717,-0.003658981936236837,0.0034449703363675505,10.197775493125512,4.49602202020112,19.12581412135712,0.00028014568331801945,-0.00026814495544507516,-0.001758941619645337,5.7313360227298537e-05,0.1496891570340605,0.00032027266749419135,-0.00441589377092213,0.004085455070203584,0.006024419931268478,0.15879440546982346,0.0,6.824563624015604e-17,0.001035806240502088,0.0059285720466080265,0.1676252358135717,5.005835319394944e-17,0.0008994532183362364,0.003996639223181492,0.04220726682701576,0.0008971096663035547,0.0029974401212010835,0.03672352907871185,0.0040773346546263975,0.028525094411019376,0.06067174087931309,3.817721513848944e-17,0.0007714202732741107,0.005438956645772107,0.09209899371738724,0.0012958000782408437,0.007823274668442097,0.06089128712113354,0.014530447342322447,0.10253098962009781,0.41367244422988175,0.0006321347435292284,0.002434811842466239,0.028615194703859134,0.003545586883927622,0.018552661853953347,0.023154270983953146,0.003326149131689247,0.03428877390944289,0.09636094620425932,0.03422298873113992
8,0.2,1.0,0.0,0.0,0.0,3.000000000000001,0.9999999407028751,0.8980931374137592,1.1019069218833664,-7.330908700716461e-16,-7.4029311494998e-16,-4.824530949172582e-16,9.847484608381722,4.370961936448882,18.160171592090833,-6.213910620786535e-18,0.0,0.0,-6.580482540567571e-16,0.14411810909777098,-5.746774833398213e-16,-9.98203422984969e-16,-2.412265474586291e-16,1.1767984239943175e-15,0.16269753439356674,1.0,0.0,0.0,0.0,3.0,1.000000000000001,0.8980932362447275,1.1019067637552713,-4.914086199215732e-19,2.4344728566079685e-19,4.775793993060409e-19,9.809462986707455,4.3542229509753465,18.21321808628849,4.8309667702855005e-33,6.524082399488114e-33,7.021052500563158e-34,-1.8556784410927968e-19,0.1441179274002565,-4.952528851991777e-31,8.091854846653734e-31,-1.3023138283946489e-30,1.6112348917892675e-30,0.16300422012882432,1.0,-2.7911429677923705e-17,-3.0645652031660586e-17,-2.5925984449559625e-17,3.000000000000001,0.9995532031099973,0.8998461762877699,1.1006006206022334,0.0023929224844332075,-0.005262750046620534,0.00021307012184406185,9.45468921403824,4.318219889573308,17.4955947037133,0.0004013485615806014,-0.0002778604986117357,-0.0015806915129873396,-0.0006637182800853466,0.1419751620628182,0.0006291116379663806,-0.005891398954929416,0.002337867209284966,0.006369457291435279,0.1667776528832575,0.0,8.233981231115594e-17,0.001159831933482379,0.007344494061166371,0.18633766940684665,4.9177586953951987e-17,0.0011126493270272268,0.004362618465641588,0.04685404226050103,0.0010904122210906501,0.0029334011330522923,0.041222793154996044,0.004238128375924437,0.03198322232246003,0.06926863906097482,4.515395940182228e-17,0.0009246829319508601,0.005954445257733968,0.09997634060659719,0.0014763828710808186,0.007988549800056576,0.0682922497102412,0.01609137670129076,0.1083798050129644,0.4467131486109009,0.0007620300882850862,0.002793822490088314,0.03004553898552581,0.0038716137541803777,0.020414157052176966,0.024709722952755617,0.0034622033657553584,0.037807240459240964,0.10628496512912766,0.0374049308755632
9,0.225,1.0,0.0,0.0,0.0,3.000000000000001,0.999999942741628,0.9030631922530442,1.0969368650053288,-1.1139917306720599e-15,-8.578000069612071e-16,-4.475927162685367e-16,9.192011677993237,4.211502866459216,16.729291698113528,-2.090013591999375e-17,0.0,0.0,-7.918742684548755e-16,0.13708938869669998,-7.980839989393472e-16,-1.2332237125663758e-15,-2.2379635813426835e-16,1.4858881534332174e-15,0.17001165235066723,1.0,0.0,0.0,0.0,3.0,1.000000000000001,0.903063287760347,1.0969367122396516,-4.3013088930498807e-19,2.2125517926132284e-19,5.160436355690582e-19,9.154826351388447,4.195507007940129,16.774706282776318,4.940425756478687e-33,6.812199971369166e-33,1.152221659162367e-33,-1.6480467087320726e-19,0.13708921314117425,-5.670419238762119e-31,5.708456355163767e-31,-1.5379032088418175e-30,1.7356691973954285e-30,0.17032717503841324,1.0,-3.8441743278189167e-17,-4.756259405422347e-17,-1.0394788328704774e-17,3.0,1.0000044248909923,0.9042332854971074,1.0957622896119006,0.0017567124931458784,-0.005477022041093217,0.00043756200726588826,8.8008115420155,4.149731730886911,16.08119449880089,0.0006270647981365936,0.000149704249235891,-0.0016360197333942525,-0.0011040193226602932,0.1354542878699469,-0.0004458986025505753,-0.0068205148487220455,0.00315634985895938,0.0075286647420075336,0.1743571501791168,0.0,8.866122677588687e-17,0.0013131692159912209,0.007125285471621695,0.20179512991542417,4.692538782266002e-17,0.0010907229486775694,0.004501020297903084,0.04967270339688044,0.0011435067278033715,0.0033804009272678692,0.0445590266501406,0.004745024711436107,0.03446316747445923,0.07249993281884705,4.590575340620187e-17,0.0009559879041718114,0.006294839601845074,0.10849702552061571,0.0015157632476076478,0.008377566948322642,0.07263724415565143,0.01708555359129891,0.11461902459419189,0.4734689134170193,0.0008283230917830285,0.002986645470923617,0.03136493173213132,0.004335992964432895,0.02146439679036464,0.02709028646594033,0.0037236780189436854,0.04052377522679295,0.1114589380295977,0.03941603391724086
