lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.10187697914375626,0.2066943952364795,1,0.00125
1.0,0.10235665004158705,0.20663448811552443,2,0.0025
1.0,0.10283773737181742,0.20657318810102943,3,0.00375
1.0,0.10332024316402844,0.2065105056732658,4,0.005
1.0,0.10380416940650802,0.2064464511542434,5,0.00625
1.0,0.10428951804614683,0.20638103471012595,6,0.0075
1.0,0.10477629098829676,0.20631426635360797,7,0.00875
1.0,0.10526449009668726,0.2062461559462529,8,0.01
1.0,0.10575411719326985,0.20617671320079548,9,0.01125
1.0,0.10615252358624794,0.20610594768340731,10,0.0125
1.0,0.10651931747097566,0.20603386881592697,11,0.01375
1.0,0.10688643691284276,0.20596048587805385,12,0.015
1.0,0.10725387914676698,0.20588580800951034,13,0.01625
1.0,0.10762164137045134,0.20580984421216914,14,0.0175
1.0,0.10798972074466172,0.20573260335214705,15,0.01875
1.0,0.10835811439350275,0.2056540941618678,16,0.02
1.0,0.10872681940469255,0.20557432524209304,17,0.02125
1.0,0.10909583282983663,0.20549330506392138,18,0.0225
1.0,0.10946515168470035,0.20541104197075896,19,0.02375
1.0,0.1098347729494802,0.20532754418025836,20,0.025
1.0,0.11020469356907481,0.205242819786229,21,0.02625
1.0,0.1105749104533542,0.2051568767605197,22,0.0275
1.0,0.11094542047742868,0.20506972295487175,23,0.02875
1.0,0.11131622048191644,0.20498136610274548,24,0.03
1.0,0.11168730727321077,0.20489181382111965,25,0.03125
1.0,0.11205867762374608,0.20480107361226352,26,0.0325
1.0,0.11243032827226344,0.2047091528654841,27,0.03375
1.0,0.11280225592407521,0.20461605885884687,28,0.035
1.0,0.11317445725132912,0.204521798760872,29,0.03625
1.0,0.11354692889327167,0.20442637963220583,30,0.0375
1.0,0.11391966745651085,0.20432980842726828,31,0.03875
1.0,0.11429266951527835,0.2042320919958763,32,0.04
1.0,0.11466593161169103,0.20413323708484482,33,0.04125
1.0,0.11503945025601206,0.2040332503395637,34,0.0425
1.0,0.1154132219269115,0.2039321383055534,35,0.043750000000000004
1.0,0.11578724307172635,0.20382990742999818,36,0.045
1.0,0.11616151010672003,0.2037265640632581,37,0.04625
1.0,0.11653601941734164,0.20362211446035838,38,0.0475
1.0,0.1169107673584846,0.20351656478246086,39,0.04875
1.0,0.11728575025474508,0.2034099210983114,40,0.05
1.0,0.11766096440067983,0.2033021893856705,41,0.051250000000000004
1.0,0.11803640606106378,0.20319337553272196,42,0.0525
1.0,0.11841207147114746,0.2030834853394635,43,0.05375
1.0,0.11878795683691364,0.2029725245190776,44,0.055
1.0,0.11916405833533418,0.20286049869928416,45,0.05625
1.0,0.1195403721146262,0.20274741342367497,46,0.0575
1.0,0.11991689429450807,0.20263327415302954,47,0.058750000000000004
1.0,0.12029362096645542,0.20251808626661286,48,0.06
1.0,0.12067054819395624,0.20240185506345837,49,0.06125
1.0,0.12104767201276666,0.20228458576362982,50,0.0625
1.0,0.12142498843116549,0.2021662835094705,51,0.06375
1.0,0.12180249343020941,0.20204695336683245,52,0.065
1.0,0.12218018296398735,0.20192660032629192,53,0.06625
1.0,0.12255805295987494,0.20180522930434786,54,0.0675
1.0,0.12293609931878889,0.2016828451446047,55,0.06875
1.0,0.12331431791544095,0.20155945261894015,56,0.07
1.0,0.12369270459859161,0.2014350564286583,57,0.07125000000000001
1.0,0.12407125519130405,0.20130966120562616,58,0.0725
1.0,0.12444996549119751,0.20118327151339757,59,0.07375
1.0,0.12482883127070078,0.20105589184832195,60,0.075
1.0,0.12520784827730555,0.20092752664063881,61,0.07625
1.0,0.1255870122338193,0.20079818025555826,62,0.0775
1.0,0.12596631883861828,0.20066785699432874,63,0.07875
1.0,0.12634576376590062,0.2005365610952903,64,0.08
1.0,0.126725342665939,0.20040429673491514,65,0.08125
1.0,0.12710505116533283,0.20027106802883574,66,0.0825
1.0,0.12748488486726137,0.20013687903285918,67,0.08375
1.0,0.12786483935173584,0.20000173374396968,68,0.085
1.0,0.1282449101758514,0.19986563610131886,69,0.08625000000000001
1.0,0.12862509287403973,0.19972858998720291,70,0.08750000000000001
1.0,0.12900538295832098,0.19959059922802924,71,0.08875
1.0,0.12938577591855577,0.19945166759527047,72,0.09
1.0,0.1297662672226968,0.19931179880640718,73,0.09125
1.0,0.1301468523170407,0.19917099652585893,74,0.0925
1.0,0.13052752662648043,0.1990292643659045,75,0.09375
1.0,0.1309082855547556,0.1988866058875919,76,0.095
1.0,0.13128912448470484,0.1987430246016354,77,0.09625
1.0,0.1316700387785171,0.19859852396930402,78,0.0975
1.0,0.13205102377798275,0.19845310740329886,79,0.09875
1.0,0.13243207480474498,0.19830677826861962,80,0.1
1.0,0.1328131871605508,0.1981595398834219,81,0.10125
1.0,0.13319435612750236,0.19801139551986333,82,0.10250000000000001
1.0,0.13357557696830763,0.1978623484049415,83,0.10375000000000001
1.0,0.1339568449265316,0.19771240172132046,84,0.105
