lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.10235694235566932,0.2066943952364795,1,0.0025
1.0,0.10332082415985722,0.20657404400856985,2,0.005
1.0,0.10429038416692124,0.20644813585930827,3,0.0075
1.0,0.10526563785856527,0.2063167535295863,4,0.01
1.0,0.10615389672816196,0.2061799772786631,5,0.0125
1.0,0.10688807021091172,0.20603788495942577,6,0.015
1.0,0.10762353021867432,0.20589055209127882,7,0.0175
1.0,0.10836025427342856,0.20573805193075945,8,0.02
1.0,0.10909821930781476,0.20558045553996773,9,0.0225
1.0,0.10983740167401672,0.20541783185289578,10,0.025
1.0,0.1105777771525698,0.20525024773973835,11,0.0275
1.0,0.11131932096110045,0.2050777680692643,12,0.03
1.0,0.11206200776300249,0.2049004557693206,13,0.0325
1.0,0.11280581167605708,0.20471837188554068,14,0.035
1.0,0.1135507062809999,0.20453157563832666,15,0.0375
1.0,0.11429666463004078,0.20434012447816796,16,0.04
1.0,0.11504365925533991,0.2041440741393594,17,0.0425
1.0,0.11579166217744437,0.20394347869217894,18,0.045
1.0,0.11654064491368887,0.20373839059357943,19,0.0475
1.0,0.11729057848656334,0.20352886073645068,20,0.05
1.0,0.11804143343205138,0.20331493849750382,21,0.0525
1.0,0.11879317980794028,0.20309667178382595,22,0.055
1.0,0.11954578720210923,0.2028741070781548,23,0.0575
1.0,0.12029922474079147,0.20264728948291752,24,0.06
1.0,0.12105346109681922,0.20241626276307823,25,0.0625
1.0,0.12180846449784861,0.20218106938783567,26,0.065
1.0,0.1225642027345683,0.20194175057121277,27,0.0675
1.0,0.12332064316889235,0.20169834631157346,28,0.07
1.0,0.12407775274213939,0.20145089543010725,29,0.0725
1.0,0.12483549798319912,0.2011994356083151,30,0.075
1.0,0.12559384501668605,0.2009440034245309,31,0.0775
1.0,0.12635275957108322,0.2006846343895113,32,0.08
1.0,0.12711220698687575,0.20042136298112598,33,0.0825
1.0,0.12787215222467407,0.20015422267817728,34,0.085
1.0,0.12863255987332953,0.1998832459933794,35,0.08750000000000001
1.0,0.12939339415804066,0.19960846450552383,36,0.09
1.0,0.130154618948452,0.19932990889085825,37,0.0925
1.0,0.13091619776674582,0.1990476089537046,38,0.095
1.0,0.13167809379572562,0.19876159365634116,39,0.0975
1.0,0.13244026988689386,0.19847189114817107,40,0.1
1.0,0.13320268856852235,0.19817852879420286,41,0.10250000000000001
1.0,0.13396531205371626,0.1978815332028602,42,0.105
1.0,0.1347281022484719,0.19758093025314774,43,0.1075
1.0,0.13549102075972816,0.19727674512118748,44,0.11
1.0,0.13625402890341248,0.19696900230614986,45,0.1125
1.0,0.13701708771247972,0.1966577256555949,46,0.115
1.0,0.13778015794494639,0.1963429383902428,47,0.11750000000000001
1.0,0.1385432000919182,0.19602466312819194,48,0.12
1.0,0.1393061743856128,0.19570292190859823,49,0.1225
1.0,0.14006904080737625,0.19537773621483506,50,0.125
1.0,0.1408317590956941,0.19504912699714705,51,0.1275
1.0,0.14159428875419788,0.1947171146948117,52,0.13
1.0,0.14235658905966556,0.1943817192578263,53,0.1325
1.0,0.14311861907001736,0.19404296016812908,54,0.135
1.0,0.1438803376323073,0.19370085646037233,55,0.1375
1.0,0.14464170339070873,0.1933554267422567,56,0.14
1.0,0.1454026747944968,0.1930066892144392,57,0.14250000000000002
1.0,0.1461632101060265,0.19265466169002832,58,0.145
1.0,0.14692326740870565,0.19229936161367558,59,0.1475
1.0,0.14768280461496633,0.19194080608027375,60,0.15
1.0,0.1484417794742316,0.19157901185327422,61,0.1525
1.0,0.1492001488848238,0.19121399538263126,62,0.155
1.0,0.14995786643581374,0.19084577309211692,63,0.1575
1.0,0.15071488941064176,0.19047436232834025,64,0.16
1.0,0.15147117496499624,0.19009977866102568,65,0.1625
1.0,0.15222668013470028,0.18972203741563395,66,0.165
1.0,0.15298136184359412,0.1893411536895625,67,0.1675
1.0,0.15373517691141425,0.18895714236802452,68,0.17
1.0,0.15448808206166986,0.1885700181396142,69,0.17250000000000001
1.0,0.155240033929515,0.18817979551156386,70,0.17500000000000002
1.0,0.15599098906962203,0.18778648882470184,71,0.1775
1.0,0.15674090396405121,0.18739011226811403,72,0.18
1.0,0.1574897350301208,0.18699067989351936,73,0.1825
1.0,0.15823743862827616,0.18658820562936074,74,0.185
1.0,0.1589839710699605,0.1861827032946199,75,0.1875
1.0,0.1597292886254857,0.1857741866123597,76,0.19
1.0,0.16047334753190431,0.18536266922299996,77,0.1925
1.0,0.16121610400088607,0.18494816469732933,78,0.195
1.0,0.16195751422659393,0.18453068654926177,79,0.1975
1.0,0.16269753439356674,0.1841102482483361,80,0.2
1.0,0.16343612068460325,0.18368686323196876,81,0.2025
1.0,0.1641732292886522,0.18326054491745783,82,0.20500000000000002
1.0,0.16490881640870653,0.18283130671374642,83,0.20750000000000002
1.0,0.16564283826970388,0.18239916203294554,84,0.21
1.0,0.16637525112643198,0.18196412430162234,85,0.2125
1.0,0.1671060112714414,0.18152620697185345,86,0.215
1.0,0.16783507504296427,0.18108542353204884,87,0.2175
1.0,0.16856239883284113,0.18064178751754859,88,0.22
1.0,0.1692879390944539,0.18019531252099283,89,0.2225
1.0,0.17001165235066723,0.17974601220246908,90,0.225
1.0,0.1707334952017786,0.179293900299439,91,0.2275
1.0,0.17145342433347505,0.17883899063644546,92,0.23
1.0,0.17217139652479815,0.17838129713460196,93,0.2325
1.0,0.1728873686561189,0.1779208338208667,94,0.23500000000000001
1.0,0.173601297717119,0.17745761483710257,95,0.23750000000000002
1.0,0.17431314081478075,0.17699165444892304,96,0.24
1.0,0.17502285518138555,0.17652296705432813,97,0.2425
1.0,0.1757303981825191,0.17605156719212808,98,0.245
1.0,0.17643572732508497,0.1755774695501586,99,0.2475
1.0,0.17713880026532458,0.17510068897328626,100,0.25
1.0,0.17783957481684412,0.17462124047120697,101,0.2525
1.0,0.17853800895864674,0.17413913922603733,102,0.255
1.0,0.17923406084317162,0.17365440059969728,103,0.2575
1.0,0.17992768880433588,0.1731670401410891,104,0.26
1.0,0.18061885136558184,0.1726770735930687,105,0.2625
1.0,0.18130750724792635,0.17218451689921266,106,0.265
1.0,0.18199361537801265,0.171689386210379,107,0.2675
1.0,0.18267713489616239,0.17119169789106342,108,0.27
1.0,0.18335802516442842,0.17069146852555056,109,0.2725
1.0,0.18403624577464484,0.17018871492386012,110,0.275
1.0,0.1847117565564746,0.16968345412748861,111,0.2775
1.0,0.18538451758545313,0.16917570341494462,112,0.28
1.0,0.18605448919102546,0.16866548030708142,113,0.28250000000000003
1.0,0.18672163196457522,0.16815280257222193,114,0.28500000000000003
1.0,0.1873859067674458,0.16763768823107994,115,0.28750000000000003
1.0,0.18804727473894808,0.16712015556147491,116,0.29
1.0,0.18870569730435718,0.16660022310284114,117,0.2925
1.0,0.1893611361828922,0.16607790966053135,118,0.295
1.0,0.19001355339567932,0.1655532343099129,119,0.2975
1.0,0.19066291127369533,0.16502621640025827,120,0.3
1.0,0.1913091724656892,0.16449687555842796,121,0.3025
1.0,0.19195229994607838,0.16396523169234684,122,0.305
1.0,0.19259225702281965,0.16343130499427255,123,0.3075
1.0,0.19322900734524961,0.1628951159438562,124,0.31
1.0,0.19386251491189277,0.1623566853109948,125,0.3125
1.0,0.1944927440782356,0.1618160341584761,126,0.315
1.0,0.1951196595644626,0.16127318384441386,127,0.3175
1.0,0.19574322646315037,0.1607281560244753,128,0.32
1.0,0.1963634102469206,0.1601809726538987,129,0.3225
1.0,0.19698017677604368,0.15963165598930304,130,0.325
1.0,0.19759349230599477,0.15908022859028684,131,0.3275
1.0,0.19820332349495498,0.15852671332081977,132,0.33
1.0,0.19880963741125746,0.15797113335042282,133,0.3325
1.0,0.19941240154077378,0.15741351215514043,134,0.335
1.0,0.20001158379423692,0.15685387351830385,135,0.3375
1.0,0.20060715251449845,0.15629224153108345,136,0.34
1.0,0.201199076483715,0.15572864059283434,137,0.3425
1.0,0.2017873249304633,0.1551630954112318,138,0.34500000000000003
1.0,0.202371867536776,0.15459563100219903,139,0.34750000000000003
1.0,0.20295267444509954,0.15402627268962701,140,0.35000000000000003
1.0,0.20352971626516575,0.1534550461048866,141,0.3525
1.0,0.20410296408077774,0.15288197718613378,142,0.355
1.0,0.2046723894565034,0.1523070921774085,143,0.3575
1.0,0.20523796444427478,0.15173041762752812,144,0.36
1.0,0.20579966158988858,0.15115198038877573,145,0.3625
1.0,0.20635745393940383,0.1505718076153849,146,0.365
1.0,0.20691131504543564,0.14998992676182107,147,0.3675
1.0,0.20746121897333694,0.1494063655808612,148,0.37
1.0,0.20800714030726883,0.14882115212147234,149,0.3725
1.0,0.20854905415615385,0.1482343147264911,150,0.375
