sample,time,stage9_rho,stage9_momentum_x,stage9_momentum_y,stage9_momentum_z,stage9_energy_trace,stage9_M200,stage9_M020,stage9_M002,stage9_M300,stage9_M030,stage9_M003,stage9_M400,stage9_M040,stage9_M004,stage9_M110,stage9_M101,stage9_M011,stage9_M210,stage9_stress_norm,stage9_qx,stage9_qy,stage9_qz,stage9_heat_flux_norm,stage9_realizability_margin,grad_rho,grad_momentum_x,grad_momentum_y,grad_momentum_z,grad_energy_trace,grad_M200,grad_M020,grad_M002,grad_M300,grad_M030,grad_M003,grad_M400,grad_M040,grad_M004,grad_M110,grad_M101,grad_M011,grad_M210,grad_stress_norm,grad_qx,grad_qy,grad_qz,grad_heat_flux_norm,grad_realizability_margin,particle_rho,particle_momentum_x,particle_momentum_y,particle_momentum_z,particle_energy_trace,particle_M200,particle_M020,particle_M002,particle_M300,particle_M030,particle_M003,particle_M400,particle_M040,particle_M004,particle_M110,particle_M101,particle_M011,particle_M210,particle_stress_norm,particle_qx,particle_qy,particle_qz,particle_heat_flux_norm,particle_realizability_margin,particle_sem_M000,particle_sem_M100,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M010,particle_sem_M110,particle_sem_M210,particle_sem_M310,particle_sem_M020,particle_sem_M120,particle_sem_M220,particle_sem_M030,particle_sem_M130,particle_sem_M040,particle_sem_M001,particle_sem_M101,particle_sem_M201,particle_sem_M301,particle_sem_M002,particle_sem_M102,particle_sem_M202,particle_sem_M003,particle_sem_M103,particle_sem_M004,particle_sem_M011,particle_sem_M111,particle_sem_M211,particle_sem_M021,particle_sem_M121,particle_sem_M031,particle_sem_M012,particle_sem_M112,particle_sem_M013,particle_sem_M022
0,0.0,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5314789831520966,0.3904929943840322,0.32265302246387134,-0.19329480463713347,-0.0725320450382852,0.04193092705430047,0.8192605163652736,0.4543266457410361,0.3114366908929038,0.12209744785081128,-0.10148797215896659,-0.05859410804548859,-0.07626636494865494,0.2715892061570962,-0.03214822545725943,-0.018560786621717472,0.01351114770974301,0.039503953125000074,0.2105961711326594,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5314789831520966,0.3904929943840322,0.32265302246387134,-0.19329480463713347,-0.0725320450382852,0.04193092705430047,0.8192605163652736,0.4543266457410361,0.3114366908929038,0.12209744785081128,-0.10148797215896659,-0.05859410804548859,-0.07626636494865494,0.2715892061570962,-0.03214822545725943,-0.018560786621717472,0.01351114770974301,0.039503953125000074,0.2105961711326594,1.0,-0.09562122755855143,-0.05520694147117211,0.04018736684076607,1.244625,0.5314789831520966,0.3904929943840321,0.3226530224638714,-0.19329480463713353,-0.07253204503828517,0.04193092705430047,0.8192605163652739,0.454326645741036,0.31143669089290393,0.12209744785081124,-0.10148797215896656,-0.05859410804548859,-0.07626636494865494,0.2715892061570961,-0.03214822545725943,-0.01856078662171747,0.013511147709743,0.039503953125000074,0.21059617113265935,0.0,7.166458808248763e-18,0.0,1.4332917616497526e-17,5.73316704659901e-17,0.0,1.0749688212373146e-17,0.0,0.0,1.4332917616497526e-17,0.0,2.1499376424746292e-17,7.166458808248763e-18,7.166458808248763e-18,2.866583523299505e-17,0.0,7.166458808248763e-18,5.374844106186573e-18,7.166458808248763e-18,1.4332917616497526e-17,3.5832294041243814e-18,7.166458808248763e-18,0.0,7.166458808248763e-18,2.866583523299505e-17,0.0,8.958073510310954e-19,3.5832294041243814e-18,1.7916147020621907e-18,1.7916147020621907e-18,3.5832294041243814e-18,8.958073510310954e-19,3.5832294041243814e-18,3.5832294041243814e-18,1.4332917616497526e-17
1,0.025,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.2446249999999996,0.5260136796714224,0.3916062944931612,0.327005025835416,-0.1902777151933087,-0.07268911624879935,0.04251600903540677,0.8036762819127609,0.45631091037735166,0.31939006728077896,0.11640021002061453,-0.09672580650811304,-0.05584467042504272,-0.0737867372013924,0.2583437839957655,-0.031089214432764332,-0.017949366321650458,0.013066070130042299,0.03820263333905642,0.21822053286418877,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5260136233500521,0.3916063158485724,0.3270050608013756,-0.1903080986043093,-0.0727127259363405,0.04252637950129298,0.8034582783747085,0.4562711600180419,0.3193741155682626,0.116400142750548,-0.0967257592281295,-0.05584464312793152,-0.07377110023872824,0.25834364427341955,-0.031101303245038996,-0.01795634580067132,0.013071150775270601,0.0382174881519314,0.21820678766295945,1.0,-0.09562122755855174,-0.05520694147117166,0.0401873668407658,1.2446250000000003,0.5260326627314547,0.3917211476423644,0.3268711896261813,-0.19027073527762187,-0.07288554710077283,0.04243873452308003,0.8038352791004479,0.4562368351209116,0.31935562725411565,0.11628078037531568,-0.09657140930244203,-0.0556276921976799,-0.07390436163201997,0.2580823542236081,-0.031089904406772693,-0.018130172667862675,0.01306655305707555,0.03828864225566309,0.21831830737559785,0.0,7.787029218639873e-16,0.0001377891006582483,0.000293929668827976,0.000540765252723811,3.5688058703066675e-16,8.9678192709528e-05,0.00016009622604175916,0.00022192890227944686,0.00015844638707675256,0.00011871070366568787,0.00014921713024223084,0.0001950770450017222,0.00022799891688145453,0.00042902013324691763,3.1401146406328953e-16,0.00013970847766618728,0.00013014573822469122,0.00030648649218375,0.00010882670146620357,0.0001454202909833645,0.00015426794809662422,0.00020631465166256736,0.0001898518096434999,0.00032369350834402443,8.19782874554029e-05,5.1966913922480646e-05,0.00012022645309219317,0.00012023459890834004,8.750887243336095e-05,0.0001792897153927798,8.144362020035686e-05,8.859470889935212e-05,0.00014029185602367882,8.0372609100114e-05
2,0.05,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5208149188612533,0.3926652996360221,0.33114478150272453,-0.18737474696108006,-0.07282797707953162,0.043071206335419415,0.7891413474950075,0.45833396410464167,0.32713180858255014,0.11098082573435288,-0.09219589163586887,-0.05322932285414652,-0.07141317038355843,0.24574434042647406,-0.03005740844130555,-0.017353652854730194,0.012632426189821421,0.03693474327853434,0.22560387552450248,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5208148122908641,0.3926653399845713,0.3311448477245647,-0.18744240596991638,-0.07287416353430733,0.0430919152480949,0.7887663444801396,0.45826922572512613,0.32710625154663386,0.11098069849881968,-0.09219580216257973,-0.05322927119671885,-0.07139100485450244,0.24574407606562165,-0.03008847455128986,-0.017371588881692192,0.012645482549691375,0.036972917520973356,0.22558629353925136,1.0,-0.09562122755855122,-0.05520694147117179,0.040187366840766015,1.244625,0.5207866141959216,0.39268941200314167,0.3311489738009368,-0.18679150419603555,-0.07314726478878468,0.042899719387982184,0.7889754998353021,0.4581963667015198,0.32718137499526095,0.11079434523799718,-0.09193108096900732,-0.05296038555400679,-0.07141962983701614,0.245267030045776,-0.029690323122249763,-0.017495974907811195,0.012494079185678767,0.03665687438634627,0.22595724420002952,0.0,9.128694472031107e-16,0.00016152016649755593,0.0003750618151121931,0.0007906985365237622,4.345499042812231e-16,9.389330820570944e-05,0.00021702485903961623,0.0003409224252595302,0.00018952085930992233,0.00015812950734112518,0.00021199036927365848,0.00027556541809054663,0.0002241696109512188,0.0005949007958611294,3.1591024406580434e-16,0.00013098872547028127,0.00019080129286919102,0.00027087622882327074,0.0001536192903441168,0.0001365951650249401,0.0002032687104478773,0.00022998660189261166,0.0001973408777994673,0.00040482456980669545,8.621211794158489e-05,9.286554281102826e-05,0.00014527958024566765,0.00013098947647660958,8.471743546289923e-05,0.00019212529698986805,0.00016599474783097185,0.00012311355927400734,0.00013303751820252694,0.0001365858102131201
3,0.075,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5158697015240568,0.3936726577143069,0.3350826407616365,-0.1845817297348076,-0.07294925113846104,0.04359731362312648,0.7755552391519938,0.46037549028044417,0.334654796197253,0.10582574420660318,-0.08788690074056503,-0.05074152580080718,-0.06914183066137523,0.23375937130273228,-0.02905234663623916,-0.016773380151022428,0.01221002220600802,0.03569971665201446,0.2327438980062515,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5158695502389447,0.3936727149039899,0.3350827348570655,-0.18469280243648942,-0.07301757185508376,0.04362860948143802,0.7750714388142202,0.4602967502032705,0.33462429849636427,0.10582556366213444,-0.08788677371010388,-0.05074145245973613,-0.069120699099872,0.2337589960503605,-0.029108629104409915,-0.01680587484917173,0.012233676411803122,0.03576887692300153,0.23272869890259903,1.0,-0.09562122755855074,-0.05520694147117218,0.040187366840766126,1.2446250000000003,0.5158529308862276,0.3936506037708308,0.3351214653429419,-0.18421604387116683,-0.07309462671655435,0.043462432901504686,0.7753635382165682,0.46005965856031383,0.3347135035055036,0.1056601043228621,-0.0875897469316022,-0.05058952113049862,-0.06923803294191591,0.23332246789466674,-0.028760796632558313,-0.01689805227943971,0.01201644786896518,0.03545592493738688,0.23277560452450638,0.0,9.637471684160271e-16,0.00019431924907615432,0.00044329661457507196,0.0008625004770826559,5.439369233540258e-16,0.00017001750641299613,0.0002505300544359955,0.0004204533415878068,0.00021945472196983432,0.00019880785183356604,0.00025492491045615444,0.0003279658818937094,0.00029739437838828997,0.0008239498058423982,4.791208679777794e-16,0.00015451936905064368,0.00020506676166753878,0.0003164054805295084,0.00020516162975099268,0.00011355994592496064,0.00024607748759112094,0.00025611654543825606,0.00026752649252000885,0.00047953243815971133,0.00010885909245443638,0.00010658566014937746,0.00015293647790639556,0.0001483814932642173,0.0001067462871858034,0.00025628167101260206,0.0001746542901483595,0.0001547476782800729,0.00015335381039594553,0.00020243266430224996
4,0.1,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5111656623973662,0.3946308875053829,0.33882845009725104,-0.1818946715945712,-0.07305359598389606,0.04409514772110777,0.7628304478108641,0.46241865298570517,0.34195398707612373,0.10092207548075834,-0.08378805939864767,-0.048375058648685645,-0.06696898749514847,0.22235890884637996,-0.028073585947584016,-0.016208292403954973,0.011798671966645639,0.03449700901215931,0.23963987018280944,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5111654714632923,0.3946309595688449,0.33882856896786295,-0.18205457412087525,-0.07314406751787512,0.044137501885443055,0.7622760015557293,0.4623340415717699,0.34192194083641464,0.10092184771821078,-0.08378789905509805,-0.04837496607429397,-0.06695511168740768,0.22235843528484867,-0.02816069278931855,-0.01625858356247899,0.011835280936144353,0.0346040464782654,0.23963061369622196,1.0,-0.09562122755855014,-0.05520694147117215,0.04018736684076647,1.244625,0.5114235232490562,0.39449088807910226,0.3387105886718418,-0.1812346803358807,-0.07286286959009851,0.04424523893411155,0.7626704170420395,0.46182811672998697,0.3415137669944429,0.10089503290741027,-0.08368027711828316,-0.04810994113356527,-0.06704209988099635,0.22230555915820274,-0.027523352903543984,-0.01609318228506469,0.011737041113080507,0.03397474952377847,0.23925079488777748,0.0,1.2026739983747317e-15,0.00016910967458122847,0.0005511261978112817,0.0008253701663872473,6.663244263857023e-16,0.00021577886476240764,0.00027483572993293297,0.0005027096430839644,0.00015820581655565775,0.00020673940126184369,0.0002668867225073504,0.00038238364877163567,0.00031274130646087817,0.0007862477785649306,6.299586462031591e-16,0.00016816320657577546,0.00025031332918875633,0.0004974070261733953,0.00017821372625661215,0.0001403669606535597,0.0002904286903983093,0.0002702971036478327,0.00026327886697369475,0.00039459407392801216,0.00015203656427557782,0.0001169555552163811,0.00020525050541391577,0.00012435027574879732,0.00014034011221759936,0.00029571013819519647,0.00016175799630084678,0.00016037828243249574,0.00019856153526225874,0.00017730795909762806
5,0.125,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5066910392481967,0.39554238495565036,0.34239157579615315,-0.17930974647166176,-0.07314169836912267,0.04456554744583686,0.7508904218304091,0.46444954321175186,0.349026109579693,0.09625755821379894,-0.07988911863484437,-0.04612400414914947,-0.06489100882252624,0.2115144467471573,-0.0271206978245049,-0.015658142189587748,0.011398195361835744,0.03332609375285418,0.2462924022055935,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5066908133167223,0.39554247008992577,0.342391716593352,-0.179523207302679,-0.07325468417008534,0.04461960236630036,0.750295549054128,0.46436504496926967,0.34899495779545375,0.09625728882295741,-0.07988892887591631,-0.046123894591781046,-0.06488944951182077,0.21151388642888552,-0.027243626470002325,-0.015729115076156926,0.011449859398137948,0.033477149289524735,0.24629076270607994,1.0,-0.09562122755854945,-0.055206941471172256,0.04018736684076612,1.244625,0.50692435990011,0.39540525361992884,0.34229538647996127,-0.17861199292526284,-0.07290737509443578,0.045221767854698,0.7511994549441544,0.46405751949876756,0.34875554015409377,0.09621236248038954,-0.07975859032521948,-0.04582565344364567,-0.06504163639693888,0.21139792431159077,-0.026613985229965186,-0.015651067297827583,0.011575511865788927,0.0329735134970017,0.24598502002330308,0.0,1.2017862430614004e-15,0.00015364370827744537,0.0005041420575872443,0.0008672770902663471,6.439074517800032e-16,0.00021811158508115456,0.00023804773305153087,0.0004909434790898999,0.00021110712599906883,0.00022120953567660308,0.0003062368755608215,0.00043951895162518026,0.00026994978734689917,0.0008042578941411218,7.717376429796364e-16,0.00021435071138834047,0.00029268288379902447,0.0005175032350089727,0.000262672956407231,0.00016829557965287618,0.0003114673571775025,0.0003362110250010126,0.00028033462405362586,0.00046249365587349415,0.00017444389790092344,0.00010134050676559195,0.00019449734710787854,0.00018725052689179189,0.00015084031016627435,0.0003602314720153926,0.00019228042765347141,0.0001786794224831509,0.00022481115536175035,0.00023468918035304367
6,0.15,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5024346434717658,0.39640942916798894,0.34578092736024524,-0.1768232829948071,-0.07321426893070922,0.045009372011594655,0.7396679154405957,0.4664567338723349,0.35586941453888415,0.09182052902875874,-0.07618032930319713,-0.04398273363015528,-0.06290435778401632,0.2011988689078647,-0.02619326527526065,-0.015122688757626181,0.011008417139696466,0.03218645847187559,0.2527032411438647,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.5024343868231232,0.3964095257183199,0.34578108745855696,-0.17709437818688034,-0.07335038419943453,0.04507589523906534,0.7390565430350944,0.4663767249724844,0.35584089794170337,0.09182022314947588,-0.07618011371622782,-0.04398260916096037,-0.06291917197744312,0.20119823246165794,-0.02635642485040495,-0.015216888982256822,0.01107698929534976,0.03238695004230355,0.25270958773738367,1.0,-0.09562122755854924,-0.055206941471172145,0.04018736684076582,1.2446249999999999,0.5027823623872353,0.39625098476361154,0.3455916528491531,-0.1761651238443661,-0.07330904684961959,0.04548641184690605,0.740068828851365,0.4662909431995177,0.35552961137968186,0.09190773115397488,-0.07606036291567313,-0.0436059284991855,-0.0631716125333711,0.20125143196015272,-0.02569437683510771,-0.015331425784913777,0.011205518468924548,0.031950231011688285,0.2523101741897758,0.0,1.1459669589241244e-15,0.0002134872852449084,0.0004488697198218453,0.0009326661942537207,8.623494012830767e-16,0.0002661264882014725,0.0002677571918934741,0.0005844362800652403,0.0002910015262824086,0.00020555014039425702,0.0002696734628261166,0.00044948776366035136,0.0002336147501343353,0.0010117974930894463,8.496712655021568e-16,0.00023947689650846593,0.00030442905319734176,0.0005559668761137638,0.00029985084899966663,0.0002101220652102251,0.00035854704796550995,0.00029066711226656707,0.00034290662280305606,0.0006332251426353489,0.0002096013193296035,0.00010495864063310312,0.00018334185875568538,0.0002088541586234506,0.00015138086829011586,0.0004044625006537945,0.00021752840711770476,0.00020758563199323738,0.0003299774773791198,0.0002393806178174188
7,0.17500000000000002,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.4983858321217652,0.3972341880980577,0.3490049797801772,-0.17443175447618586,-0.07327203667331608,0.045427498441062385,0.7291036204995657,0.4684309095680384,0.3624834623016706,0.08759989335909017,-0.07265241771555309,-0.0419458929253518,-0.06100559052940866,0.19138638165880067,-0.02529088022001247,-0.01460169650306592,0.010629165793810007,0.0310776017180053,0.25887509287149046,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.49838554869918744,0.39723429454472725,0.34900515675608534,-0.17476394303495843,-0.07343206822267184,0.045507342180441064,0.7284946580655262,0.46835856237959667,0.36245880553642784,0.08759955572241819,-0.0726521796062978,-0.04194575545290907,-0.06103996913090688,0.19138567887506355,-0.025498115372413102,-0.014721343774090088,0.010716261884337892,0.03133225365072777,0.2588889208141091,1.0,-0.09562122755854813,-0.055206941471172125,0.04018736684076612,1.2446249999999996,0.4986623692001316,0.39701587320095655,0.3489467575989114,-0.17408647930352383,-0.07354809305828426,0.04587728751885452,0.7298396056558064,0.4683131307071153,0.36232170925281115,0.08757223955411608,-0.07247211913070711,-0.041421462645400184,-0.061367759900289705,0.1911686313314839,-0.025039396063974987,-0.014949752731979253,0.010760650854794038,0.031084691872603577,0.25830903570021024,0.0,1.0235186045939727e-15,0.00029312984505244045,0.000433484472523272,0.000986043815921624,9.49293774547685e-16,0.00029811691137176307,0.00029671821352741023,0.0005448844453816011,0.0002781384383281379,0.0002215647698526293,0.0002822971340354717,0.0004467584329764045,0.00023442188813016502,0.0008765168139143552,9.78139487695138e-16,0.00023559591298529648,0.0002613755773656331,0.000505168750662804,0.0002810869780707347,0.00022219333767341652,0.0003263466291160581,0.0003505909684826443,0.0003913124782503108,0.0006648452593624919,0.0002518454655238759,0.00010365393939080746,0.0002197316105689767,0.00020948914090904765,0.00018746246683138662,0.00046296720794333524,0.00025849307889291194,0.00023102166006478097,0.00036421781947709215,0.00026501405756680895
8,0.2,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.2446249999999996,0.4945344813029304,0.39801872397343113,0.35207179472363814,-0.17213176991125317,-0.07331574349203508,0.045820818326214104,0.7191450265174735,0.47036455475260824,0.368868938096491,0.08358509771283962,-0.06929656245714634,-0.040008388988549165,-0.05919135476709485,0.1820524492736753,-0.024413141159944293,-0.014094933620457134,0.010260272583608945,0.029999030126829373,0.26481146641831743,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.4945341747406594,0.398018838920817,0.35207198633852377,-0.17252792885328797,-0.07350058276706006,0.045914884212096455,0.7185533633407297,0.470302141299865,0.3688489889515615,0.0835847326747692,-0.06929630487323268,-0.04000824027240729,-0.0592477429629424,0.18205168917400497,-0.02466775714972968,-0.014241936230699893,0.010367281732584506,0.03031190394746167,0.2648317151660897,1.0,-0.09562122755854831,-0.05520694147117179,0.04018736684076562,1.2446249999999999,0.49486225978138293,0.39776033604757,0.352002404171047,-0.17203414302691977,-0.07383221342539956,0.046124942874347485,0.7206342156921818,0.4697154719725697,0.3689357855972796,0.0835526396173324,-0.06912948612972117,-0.039585684702908575,-0.05951151672716329,0.18191024296690642,-0.024346812050675914,-0.014650389482827183,0.010387278776233223,0.030253871312687513,0.26459285718350367,0.0,1.2964003775032655e-15,0.0003620616205437187,0.0004664103241784179,0.001019949699636605,7.833898026883029e-16,0.0002899915085227142,0.0002863990613996288,0.0006129269404571772,0.00031362049117273597,0.00024128818821356982,0.000335163995028277,0.00037516288426862275,0.00020147392543629484,0.0008859780185937513,9.39559715607568e-16,0.00032666935075061017,0.00028626244908630766,0.0006731318639632697,0.00026790755465365315,0.00024431703332713226,0.0003253074967237238,0.00036686852511030204,0.00038222820141951114,0.0006378638977470228,0.00031090501485891926,0.00012770369676945006,0.00027192066575624287,0.00024162117545523654,0.00025375003401249677,0.00043530940491080203,0.00025086711114688493,0.0002385074316681208,0.00042417086060042347,0.00027818531058415406
9,0.225,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.2446249999999996,0.4908709608599187,0.39876499844892327,0.3549890406911576,-0.16992006587896372,-0.07334613889830317,0.04619023420615337,0.7097454660722122,0.47225168914979965,0.37502749080309294,0.0797661032879358,-0.06610437233176111,-0.03816537716035352,-0.05745838880294681,0.1731737326271172,-0.02355965115696863,-0.013602170937488523,0.009901570685293393,0.0289502559381877,0.2705165381368419,1.0,-0.0956212275585514,-0.05520694147117211,0.04018736684076607,1.244625,0.49087063450655166,0.39876512061618,0.3549892448772685,-0.1703825247213713,-0.07355672649031114,0.046299442938666495,0.7091827545798589,0.4722008081709322,0.3750128235388325,0.07976571485768182,-0.0661040980822026,-0.03816521882229719,-0.0575385913432077,0.1731729235223713,-0.023864439936466336,-0.013778140821377538,0.010029666285019223,0.029324782416307385,0.2705418232487405,1.0,-0.09562122755854888,-0.055206941471171785,0.04018736684076574,1.244625,0.49133259913390226,0.39838497046406635,0.3549074304020313,-0.17016773569875113,-0.07357568977645922,0.046290611128886425,0.7120843326239594,0.47113588135034246,0.37478242390018485,0.0798133045912319,-0.06576776763415607,-0.037689368349028654,-0.05788508559355885,0.1730268828380026,-0.02375118049553257,-0.014025024528516703,0.009884391032023425,0.029300530268764884,0.2700996467849467,0.0,1.3817212054644029e-15,0.00039681622657865555,0.0005539941195331326,0.0011224121095089956,8.647392661983991e-16,0.0002943022731936437,0.0003140407102280103,0.0005808960230675685,0.00032995574424207497,0.00022180186021425767,0.0003034712838659734,0.00035285823418972973,0.00027506785813311355,0.0008351676984288341,1.0410352940610249e-15,0.0003526497525679032,0.0003114492513742057,0.0008039348666823902,0.0002683907172494252,0.00026323914615017515,0.00032124073503509185,0.0003788426311847118,0.0003908774476990152,0.0006833237123141926,0.00026515624213729693,0.00014294805699063172,0.00020542272229229314,0.00026080466752470403,0.00021705085684971487,0.0003292320321008597,0.00026124368184650567,0.0002384688801981282,0.0004366303930473764,0.00030063310376360754
