lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.21098303006469438,1.1496992205766217e-15,1,0.00125
1.0,0.21136929602699356,3.882735192362601e-05,2,0.0025
1.0,0.2117549684062474,7.730239966927744e-05,3,0.00375
1.0,0.21214004659612742,0.00011542761493132093,4,0.005
1.0,0.21252453000200924,0.0001532054571732337,5,0.00625
1.0,0.21290841804149319,0.00019063837363682566,6,0.0075
1.0,0.21329171014455686,0.00022772879936961465,7,0.00875
1.0,0.21367440575359292,0.0002644791572375821,8,0.01
1.0,0.2140565043233923,0.00030089185794818674,9,0.01125
1.0,0.21443800532110321,0.00033696930006584517,10,0.0125
1.0,0.21481890822617314,0.00037271387003641465,11,0.01375
1.0,0.21519921253028412,0.000408127942202421,12,0.015
1.0,0.2155789177372789,0.0004432138788267402,13,0.01625
1.0,0.21595802336308575,0.0004779740301132988,14,0.0175
1.0,0.2163365289356399,0.0005124107342292816,15,0.01875
1.0,0.21671443399480064,0.0005465263173241801,16,0.02
1.0,0.2170917380922721,0.0005803230935568017,17,0.02125
1.0,0.21746844079151875,0.0006138033651102323,18,0.0225
1.0,0.2178445416676812,0.0006469694222266328,19,0.02375
1.0,0.2182200403074951,0.0006798235432174064,20,0.025
1.0,0.21859493630920335,0.0007123679944988058,21,0.02625
1.0,0.2189692292824759,0.000744605030609462,22,0.0275
1.0,0.21934291884832194,0.0007765368942355337,23,0.02875
1.0,0.21971600463900948,0.0008081658162395154,24,0.03
1.0,0.22008848629797975,0.0008394940156806478,25,0.03125
1.0,0.2204603634797636,0.0008705236998425905,26,0.0325
1.0,0.22083163584989962,0.0009012570642612176,27,0.03375
1.0,0.22120230308484906,0.0009316962927519924,28,0.035
1.0,0.22157236487191548,0.0009618435574312153,29,0.03625
1.0,0.22194182090916195,0.00099170101874432,30,0.0375
1.0,0.2223106709053281,0.0010212708255004867,31,0.03875
1.0,0.22267891457975048,0.0010505551148900123,32,0.04
1.0,0.22304655166228024,0.0010795560125205369,33,0.04125
1.0,0.22341358189320293,0.0011082756324398133,34,0.0425
1.0,0.22378000502315817,0.0011367160771673433,35,0.043750000000000004
1.0,0.22414582081306123,0.0011648794377206663,36,0.045
1.0,0.22451102903402115,0.0011927677936489159,37,0.04625
1.0,0.22487562946726472,0.0012203832130547097,38,0.0475
1.0,0.2252396219040556,0.0012477277526331699,39,0.04875
1.0,0.2256030061456187,0.0012748034576936763,40,0.05
1.0,0.2259657820030604,0.001301612362194205,41,0.051250000000000004
1.0,0.22632794929729402,0.001328156488769189,42,0.0525
1.0,0.22668950785895944,0.0013544378487669033,43,0.05375
1.0,0.2270504575283521,0.001380458442267418,44,0.055
1.0,0.22741079815534387,0.0014062202581250204,45,0.05625
1.0,0.22777052959930807,0.0014317252739973689,46,0.0575
1.0,0.22812965172904576,0.0014569754563712575,47,0.058750000000000004
1.0,0.22848816442271136,0.001481972760601524,48,0.06
1.0,0.2288460675677376,0.00150671913093949,49,0.06125
1.0,0.22920336106076383,0.0015312165005649382,50,0.0625
1.0,0.2295600448075622,0.0015554667916172673,51,0.06375
1.0,0.22991611872296525,0.0015794719152330504,52,0.065
1.0,0.23027158273079523,0.001603233771571927,53,0.06625
1.0,0.2306264367637896,0.0016267542498529385,54,0.0675
1.0,0.2309806807635326,0.0016500352283919445,55,0.06875
1.0,0.23133431468038418,0.0016730785746232309,56,0.07
1.0,0.23168733847340886,0.0016958861451458313,57,0.07125000000000001
1.0,0.23203975211030725,0.0017184597857464224,58,0.0725
1.0,0.23239155556734556,0.0017408013314443075,59,0.07375
1.0,0.2327427488292878,0.001762912606510787,60,0.075
1.0,0.23309333188932582,0.0017847954245165042,61,0.07625
1.0,0.2334433047490143,0.001806451588355706,62,0.0775
1.0,0.23379266741819954,0.0018278828902904855,63,0.07875
1.0,0.23414141991495566,0.0018490911119735832,64,0.08
1.0,0.23448956226551546,0.0018700780244923162,65,0.08125
1.0,0.23483709450420612,0.0018908453883982178,66,0.0825
1.0,0.23518401667338212,0.0019113949537457962,67,0.08375
1.0,0.23553032882336117,0.0019317284601198727,68,0.085
1.0,0.23587603101235702,0.0019518476366811503,69,0.08625000000000001
1.0,0.23622112330641842,0.0019717542021902524,70,0.08750000000000001
1.0,0.23656560577936042,0.001991449865055127,71,0.08875
1.0,0.23690947851270552,0.0020109363233536577,72,0.09
1.0,0.23725274159561843,0.002030215264877049,73,0.09125
1.0,0.23759539512484096,0.002049288367164244,74,0.0925
1.0,0.2379374392046343,0.00206815729753388,75,0.09375
1.0,0.23827887394671307,0.0020868237131265125,76,0.095
1.0,0.23861969947018477,0.0021052892609320817,77,0.09625
1.0,0.2389599159014904,0.002123555577834055,78,0.0975
1.0,0.23929952337434113,0.002141624290638623,79,0.09875
1.0,0.23963852202966007,0.0021594970161154152,80,0.1
1.0,0.23997691201551957,0.0021771753610297343,81,0.10125
1.0,0.2403146934870848,0.002194660922182913,82,0.10250000000000001
1.0,0.2406518666065526,0.00221195528644439,83,0.10375000000000001
1.0,0.24098843154309357,0.0022290600307888703,84,0.105
1.0,0.24132438847279356,0.0022459767223363433,85,0.10625
1.0,0.24165973757859394,0.0022627069183818248,86,0.1075
