lambda,realizability_margin,reconstruction_relative_residual,step,time
1.0,0.21136935110985114,1.1496992205766217e-15,1,0.0025
1.0,0.2121401553887096,7.732847493340471e-05,2,0.005
1.0,0.2129085792136731,0.0001532567967024358,3,0.0075
1.0,0.21367461800078888,0.00022780459967105662,4,0.01
1.0,0.2144382673621413,0.0003009913230756214,5,0.0125
1.0,0.21519952310639148,0.0003728362116323412,6,0.015
1.0,0.21595838123723948,0.00044335831616001156,7,0.0175
1.0,0.21671483795123228,0.0005125764942293873,8,0.02
1.0,0.2174688896353038,0.0005805094108452317,9,0.0225
1.0,0.21822053286418877,0.0006471755391495596,10,0.025
1.0,0.21896976439777996,0.0007125931611533907,11,0.0275
1.0,0.21971658117846188,0.0007767803684921225,12,0.03
1.0,0.22046098032844044,0.0008397550632109144,13,0.0325
1.0,0.22120295914708044,0.00090153495856187,14,0.035
1.0,0.2219425151082576,0.000962137579836781,15,0.0375
1.0,0.22267964585773048,0.0010215802652105866,16,0.04
1.0,0.22341434921053624,0.0010798801666090675,17,0.0425
1.0,0.22414662314841077,0.0011370542505959311,18,0.045
1.0,0.22487646581723317,0.0011931192992869547,19,0.0475
1.0,0.22560387552450248,0.0012480919112641436,20,0.05
1.0,0.2263288507368389,0.001301988502526916,21,0.0525
1.0,0.2270513900775159,0.0013548253074400108,22,0.055
1.0,0.22777149232401947,0.0014066183797190868,23,0.0575
1.0,0.22848915640563966,0.0014573835934080022,24,0.06
1.0,0.22920438140108657,0.0015071366438918403,25,0.0625
1.0,0.22991716653614208,0.0015558930489065603,26,0.065
1.0,0.23062751118133287,0.0016036681495707342,27,0.0675
1.0,0.23133541484964198,0.0016504771114252638,28,0.07
1.0,0.23204087719424019,0.0016963349254867297,29,0.0725
1.0,0.2327438980062515,0.0017412564093144901,30,0.075
1.0,0.233444477212546,0.001785256208078926,31,0.0775
1.0,0.23414261487355936,0.0018283487956485159,32,0.08
1.0,0.23483831118114423,0.0018705484756797877,33,0.0825
1.0,0.23553156645644588,0.0019118693827216888,34,0.085
1.0,0.2362223811478041,0.0019523254833203343,35,0.08750000000000001
1.0,0.23691075582869,0.001991930577141528,36,0.09
1.0,0.2375966911956591,0.002030698298089591,37,0.0925
1.0,0.23828018806634005,0.0020686421154388394,38,0.095
1.0,0.23896124737744523,0.002105775334968929,39,0.0975
1.0,0.23963987018280944,0.0021421111001084605,40,0.1
1.0,0.24031605765145184,0.002177662393080505,41,0.10250000000000001
1.0,0.2409898110656666,0.0022124420360549917,42,0.105
1.0,0.24166113181913795,0.0022464626923040195,43,0.1075
1.0,0.24233002141507765,0.0022797368673598325,44,0.11
1.0,0.24299648146439212,0.002312276910182597,45,0.1125
1.0,0.2436605136838693,0.0023440950143225,46,0.115
1.0,0.24432211989439012,0.0023752032190929822,47,0.11750000000000001
1.0,0.24498130201916846,0.0024056134107380387,48,0.12
1.0,0.24563806208200986,0.0024353373236092445,49,0.1225
1.0,0.2462924022055935,0.002464386541342123,50,0.125
1.0,0.24694432460977944,0.0024927724980306804,51,0.1275
1.0,0.24759383160994006,0.0025205064794093252,52,0.13
1.0,0.24824092561530667,0.0025475996240300757,53,0.1325
1.0,0.24888560912734883,0.002574062924440674,54,0.135
1.0,0.2495278847381659,0.0025999072283698177,55,0.1375
1.0,0.2501677551289048,0.00262514323990524,56,0.14
1.0,0.25080522306820147,0.0026497815206748443,57,0.14250000000000002
1.0,0.25144029141063423,0.0026738324910278635,58,0.145
1.0,0.25207296309521054,0.002697306431209754,59,0.1475
1.0,0.2527032411438647,0.0027202134825510937,60,0.15
1.0,0.2533311286599781,0.0027425636486345132,61,0.1525
1.0,0.25395662882692255,0.0027643667964782448,62,0.155
1.0,0.2545797449066204,0.002785632657711804,63,0.1575
1.0,0.25520048023812364,0.0028063708297469177,64,0.16
1.0,0.25581883823621454,0.002826590776951358,65,0.1625
1.0,0.25643482239002374,0.0028463018318205524,66,0.165
1.0,0.2570484362616699,0.002865513196143288,67,0.1675
1.0,0.25765968348491153,0.0028842339421703543,68,0.17
1.0,0.2582685677638233,0.002902473013779513,69,0.17250000000000001
1.0,0.25887509287149046,0.0029202392276309903,70,0.17500000000000002
1.0,0.2594792626487134,0.002937541274336544,71,0.1775
1.0,0.2600810810027404,0.002954387719605222,72,0.18
1.0,0.26068055190600914,0.002970787005405103,73,0.1825
1.0,0.26127767939491137,0.002986747451106745,74,0.185
1.0,0.26187246756857,0.003002277254636452,75,0.1875
1.0,0.2624649205876335,0.0030173844936204237,76,0.19
1.0,0.2630550426730921,0.0030320771265196387,77,0.1925
1.0,0.26364283810510125,0.00304636299377389,78,0.195
