time,particle_m400,particle_m400_source_mean,particle_m400_source_sem,stage9,grad,two_population_base,two_population_residual
0.0,63.891110376683145,-100.45328672413595,0.061143375174418015,-100.48361060604572,-38.44989407507803,-100.48361060603514,-100.48361060603833
0.025,61.62672799549918,-73.0790575274864,0.14587636542039656,-75.18436064857748,-34.47257471094794,-91.13834005497121,-96.22416323341965
0.05,60.091824513933766,-48.379851806352576,0.17229911785851657,-46.09519818793509,-35.645467354588355,-86.02499597949074,-94.47932195807934
0.075,59.01975685729649,-37.46052531616817,0.17352625584739503,-86.42311056599027,-40.595138570725624,-83.94987540473784,-94.12819243906262
0.1,58.1011859184671,-34.828378753891286,0.16693769229098696,-77.48668144397212,-47.06892971584219,-83.33480766316168,-94.10173980210394
0.125,57.20975826427731,-35.61275871956087,0.1348666665281923,-65.83818418600656,-53.77368727200637,-82.83941503795658,-93.99201745609405
0.15,56.33334605593817,-37.68586034010669,0.14821449776749948,-77.7011851091695,-60.17490323767419,-82.50023571711193,-93.68812527148845
0.17500000000000002,55.32229674276419,-39.80570649854337,0.14327081220295096,-75.71074438514736,-65.78503973772618,-81.62109593428605,-92.87167558975372
0.2,54.27230275568371,-41.9226084688928,0.1329191560196811,-70.02686675202482,-70.64683914225019,-80.70409490598585,-91.80730503417037
0.225,53.23417519934037,-43.69711269654461,0.13369490150698032,-78.83023570057532,-74.858337471487,-79.71445159092008,-90.59602336927827
0.25,52.107838837596084,-44.878504687403804,0.12890214953022577,-62.8487691953558,-78.07026984863367,-78.59815295292051,-89.0646778433414
0.275,51.02476889438254,-45.89047633289908,0.10980570446269113,-44.89249159227192,-80.8171596249397,-77.65366966848958,-87.52597384686752
0.3,49.77901435852239,-46.39199756533387,0.11287512809552452,-45.96187971779423,-82.52618065391127,-76.32017036730534,-85.5724403080512
0.325,48.630488036406696,-46.71369352305617,0.11509104702919636,-47.294100279148346,-83.93007373658949,-75.12785800431993,-83.73969434240774
0.35000000000000003,47.49971108350765,-46.811637077791524,0.13315941057435002,-48.439349031385234,-84.8660422381354,-73.86341810490222,-81.88298802115267
0.375,46.33598609928983,-46.631431387324646,0.13125938997407877,-49.5047491292914,-85.33953626571686,-72.41987596099953,-79.87469592475365
0.4,45.168517383162275,-46.20451786248668,0.13835823929138524,-50.519732452075814,-85.32715626217485,-70.96988991839281,-77.82892888447002
0.425,44.006499854171345,-45.72750901133576,0.14372218416788712,-51.635300591561766,-85.06074526149408,-69.54456478269165,-75.80820975256455
0.45,42.94337102380539,-45.227434888103396,0.1276698987842529,-52.73173349208081,-84.75489417266213,-68.25696770205279,-73.93687638569016
0.47500000000000003,41.81123782840504,-44.52044594852189,0.1207909860252251,-53.69614895060313,-84.03473087985866,-66.80808982400988,-71.93656624611668
0.5,40.699190133998556,-43.722222610747544,0.10245867080873486,-54.720544452081924,-83.1851589890162,-65.32718845453208,-69.95587608867766
0.525,39.58405383099177,-42.824602918366864,0.09719541509724451,-55.69909198409714,-82.07239229501897,-63.77117635558072,-67.96776430856977
0.55,38.532675199583075,-41.98765527304825,0.1020497951619347,-56.45852449050922,-81.00659950584554,-62.348510975413205,-66.0794921265399
0.5750000000000001,37.542266309170564,-41.133154217640474,0.08658614670678101,-52.30750337631209,-80.01053623584187,-60.97069186860285,-64.3188376466494
0.6,36.52629332125677,-40.196903799317695,0.09710057318923195,-52.52950111035864,-78.82423068132631,-59.5184323116394,-62.510007895134606
0.625,35.51241163433005,-39.22567376134663,0.10279311006540928,-52.50496081888649,-77.51345195743784,-57.97160880558913,-60.66428628045142
0.65,34.622909961567785,-38.35213866058832,0.12241357557804303,-52.897351274327534,-76.44780225452254,-56.68708590405211,-59.080459933932545
0.675,33.65378518769613,-37.37174949357206,0.12120542634697828,-52.890222029520544,-75.01779060697773,-55.16907331188105,-57.33175123939013
0.7000000000000001,32.72139594449404,-36.3555663109863,0.12146124498623238,-52.82742626246203,-73.61042669457069,-53.71127776007109,-55.6517474089709
0.725,31.867298160631933,-35.36390709046922,0.12350806737004111,-52.97498818389451,-72.35387411851724,-52.36651318680744,-54.12496642966251
0.75,30.95323982276839,-34.38187147379914,0.155156422359246,-51.449781517172596,-70.88372149829374,-50.93503359670247,-52.47761380169527
0.775,30.09667691206694,-33.43111924214359,0.16178745847370754,-51.3047685624679,-69.48213035013296,-49.52190695447169,-50.9258295687892
0.8,29.272017844010932,-32.479572672386,0.15251430273668234,-51.10657986849492,-68.09752347869727,-48.22126697549035,-49.43429218117873
0.8250000000000001,28.54968139404988,-31.619953424778544,0.15440585266663998,-50.89799655529524,-66.98379654098724,-47.052111571269464,-48.14640078472246
0.85,27.770947887298533,-30.702354339368956,0.16296103573857657,-50.65475309398228,-65.68031318198668,-45.79203960623238,-46.747014167242554
0.875,26.996324678600267,-29.803334578019108,0.16675610411322486,-50.15629387983637,-64.27236086599412,-44.50943942161638,-45.35171857430667
0.9,26.31133786991778,-28.954066242079424,0.17285901483323188,-49.8388137019424,-63.09617323166182,-43.37537183593308,-44.125958947075276
0.925,25.599459199025517,-28.063364710097755,0.18636719886188158,-49.263279856037016,-61.83059514830707,-42.21803647770115,-42.86517949206187
0.9500000000000001,24.912068642158616,-27.244249721698267,0.1864683520134678,-49.618988883955396,-60.547460659224626,-41.080101383090366,-41.6318121810894
0.975,24.228325304131065,-26.4090478895807,0.1987365790837249,-48.901158592690834,-59.23953356779021,-39.93742552009145,-40.41515129494815
1.0,23.610298697034892,-25.627521411816915,0.201509043283921,-48.29949926757686,-58.11401683297004,-38.90645184640648,-39.31798863218583
