maximum_order,dt_over_tau,step,time_over_tau,margin
6,0.0025,1,0.0025,0.0007167682704596855
6,0.0025,2,0.005,0.0008297401483529392
6,0.0025,3,0.0075,0.0009572975367479559
6,0.0025,4,0.01,0.0010968379377782039
6,0.0025,5,0.0125,0.0012469735887721844
6,0.0025,6,0.015,0.0014070640596159218
6,0.0025,7,0.0175,0.0015769265248223928
6,0.0025,8,0.02,0.001704906248127166
6,0.0025,9,0.0225,0.0006833174208379459
6,0.0025,10,0.025,0.0006909841587816972
6,0.0025,11,0.0275,0.0017499429942993113
6,0.0025,12,0.03,0.0012196319158164362
6,0.0025,13,0.0325,1.2646864492409195e-06
6,0.0025,14,0.035,0.0009065284990218908
6,0.0025,15,0.0375,-0.0003777895608062797
8,0.0025,1,0.0025,0.0007124872000671502
8,0.0025,2,0.005,0.000804153435024244
8,0.0025,3,0.0075,0.0008986309133350164
8,0.0025,4,0.01,0.0009958441873057244
8,0.0025,5,0.0125,0.0010964191025726125
8,0.0025,6,0.015,0.0012012843989473952
8,0.0025,7,0.0175,0.0013114218593691415
8,0.0025,8,0.02,0.0014277959081511298
8,0.0025,9,0.0225,0.0015513927755216861
8,0.0025,10,0.025,0.0016833414683131436
8,0.0025,11,0.0275,0.0018251880882277991
8,0.0025,12,0.03,0.0019797273617377974
8,0.0025,13,0.0325,0.0017342558615853652
8,0.0025,14,0.035,8.037798191582901e-05
8,0.0025,15,0.0375,-0.11442764714187996
8,0.00125,1,0.00125,0.0006678860439725014
8,0.00125,2,0.0025,0.0007122657208021087
8,0.00125,3,0.00375,0.0007576396309309137
8,0.00125,4,0.005,0.000803857426400395
8,0.00125,5,0.00625,0.0008508207550715749
8,0.00125,6,0.0075,0.0008984852301627222
8,0.00125,7,0.00875,0.0009468571072738013
8,0.00125,8,0.01,0.000995985358921026
8,0.00125,9,0.01125,0.0010459511664767589
8,0.00125,10,0.0125,0.0010968572385152548
8,0.00125,11,0.01375,0.0011488187792783203
8,0.00125,12,0.015,0.0012019569592429068
8,0.00125,13,0.01625,0.0012563949410087747
8,0.00125,14,0.0175,0.0013122561002601241
8,0.00125,15,0.01875,0.0013696639985483275
8,0.00125,16,0.02,0.001428743779123578
8,0.00125,17,0.02125,0.0014896248732538795
8,0.00125,18,0.0225,0.001552445198931978
8,0.00125,19,0.02375,0.0016173574669964544
8,0.00125,20,0.025,0.0016845389740454937
8,0.00125,21,0.02625,0.0017542078643050438
8,0.00125,22,0.0275,0.0018266527401071203
8,0.00125,23,0.02875,0.0019022935372816235
8,0.00125,24,0.03,0.0019818288745558276
8,0.00125,25,0.03125,0.002066644295067377
8,0.00125,26,0.0325,0.001177551133271131
8,0.00125,27,0.03375,-0.0007667106170234933
