moment,total_degree,stage9_finite_mixture,grad_hyqmom,fine_qmc_mean,fine_qmc_sem,particle_mean,particle_sem,stage9_minus_qmc_scaled,grad_minus_qmc_scaled,particle_minus_qmc_scaled
M000,0,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0,-2.220446049250313e-16,0.0
M001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M002,2,0.8656720945373133,0.8656721754475489,0.8671316195006769,0.00028851044977838057,0.8610694180691858,0.004288754802003661,-0.0014595249633635459,-0.0014594440531279233,-0.006062201431491056
M011,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M020,2,0.8656720945373124,0.8656721754475493,0.8639423515982886,0.0004611423831095723,0.8589961595745922,0.006352591400542857,0.001729742939023838,0.0017298238492606817,-0.004946192023696396
M101,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M110,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M200,2,1.2686558109253736,1.2686556491049035,1.2689260289010469,0.0006619172179515881,1.2799344223562292,0.006821359500146893,-0.00027021797567328154,-0.00027037979614341634,0.011008393455182345
M003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M012,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M030,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M102,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M111,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M120,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M201,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M210,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M300,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M004,4,2.2334714160947042,2.2336267674368564,2.231519529704082,0.001985852530616259,2.198388582359611,0.02613331240616012,0.0019518863906222718,0.0021072377327744376,-0.03313094734447077
M013,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M022,4,0.7444306347823342,0.7446191487679988,0.7522017818806759,0.0009671261354096713,0.728833944411138,0.01229560651814989,-0.007771147098341707,-0.007582633112677045,-0.02336783746953787
M031,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M040,4,2.233471416094706,2.233626767436857,2.2032900998870586,0.0015654035404468324,2.1910915887430216,0.03992134468634662,0.030181316207647434,0.030336667549798267,-0.012198511144037036
M103,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M112,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M121,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M130,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M202,4,1.0847279418434126,1.0854694705920784,1.0766546747331023,0.00041627864550589376,1.0894015735434275,0.005107055814174961,0.008073267110310317,0.00881479585897616,0.012746898810325211
M211,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M220,4,1.0847279418434144,1.0854694705920782,1.090749548094581,0.0008316247004880227,1.0950176020999571,0.0104994834280426,-0.00602160625116666,-0.005280077502502815,0.004268054005376112
M301,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M310,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M400,4,4.423407043873049,4.43082960465677,4.445844283931193,0.005448430273984245,4.491762357160029,0.05880522097207833,-0.022437240058144084,-0.015014679274423248,0.045918073228835815
M005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M023,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M032,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M041,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M050,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M104,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M113,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M122,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M131,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M140,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M203,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M212,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M221,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M230,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M302,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M311,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M320,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M401,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M410,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M500,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M006,6,9.560524301708089,9.580456026473051,9.44023439299383,0.0351543965350944,9.311229409596356,0.18440581153395555,0.12028990871425917,0.1402216334792216,-0.12900498339747393
M015,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M024,6,1.9300313712059491,1.9090175686366018,1.9532963155948586,0.0047604054090654106,1.8230377585675892,0.05230354224156791,-0.023264944388909494,-0.044278746958256884,-0.13025855702726954
M033,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M042,6,1.9300313712059505,1.9090175686366018,1.9077357886990112,0.003595583482664149,1.8272265757535402,0.06796044165810504,0.022295582506939325,0.0012817799375906005,-0.08050921294547106
M051,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M060,6,9.560524301708098,9.580456026473053,9.286656640333494,0.008405304895043791,9.152741522048812,0.36982481161905034,0.27386766137460433,0.29379938613955964,-0.13391511828468175
M105,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M114,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M123,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M132,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M141,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M150,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M204,6,2.834607211688337,2.767909375879456,2.6900990364421147,0.002703780630546065,2.7336079929048718,0.01973916462470623,0.14450817524622264,0.07781033943734136,0.04350895646275714
M213,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M222,6,0.9496242277413235,0.9225552862259153,0.903993829831456,0.0013592906456726115,0.9243432492962775,0.020375077201327,0.0456303979098675,0.018561456394459292,0.020349419464821515
M231,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M240,6,2.8346072116883345,2.767909375879455,2.726061379932495,0.004201199822846001,2.7867510138290483,0.04618125684039845,0.10854583175583976,0.041847995946960245,0.060689633896553526
M303,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M312,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M321,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M330,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M402,6,3.8292200406606867,3.7484447849437887,3.7450024221288465,0.0032959420265357073,3.780081703223458,0.02245359933623675,0.08421761853184026,0.0034423628149422604,0.035079281094611704
M411,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M420,6,3.8292200406606796,3.7484447849437883,3.8076811167784212,0.004669583381835146,3.8182845612601546,0.07524558117434488,0.02153892388225833,-0.05923633183463301,0.010603444481733348
M501,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M510,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M600,6,24.37844368753576,24.886351806038487,24.546609365305464,0.059054746363192384,24.648945693318026,0.5793765498179143,-0.16816567776970376,0.33974244073302307,0.1023363280125623
M007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M025,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M034,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M043,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M052,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M061,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M070,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M106,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M115,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M124,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M133,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M142,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M151,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M160,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M205,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M214,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M223,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M232,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M241,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M250,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M304,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M313,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
