moment,total_degree,stage9_finite_mixture,grad_hyqmom,fine_qmc_mean,fine_qmc_sem,particle_mean,particle_sem,stage9_minus_qmc_scaled,grad_minus_qmc_scaled,particle_minus_qmc_scaled
M000,0,1.0,0.9999999999999998,1.0,0.0,1.0,0.0,0.0,-2.220446049250313e-16,0.0
M001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M002,2,0.8656720945373133,0.8656721754475489,0.8563675156276386,0.0001551754047345175,0.8651972042977204,0.001083187334489388,0.009304578909674736,0.009304659819910358,0.008829688670081829
M011,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M020,2,0.8656720945373124,0.8656721754475493,0.8715688502008718,0.0003107477913112796,0.8655321325537773,0.0022085404028958696,-0.005896755663559407,-0.005896674753322563,-0.006036717647094571
M101,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M110,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M200,2,1.2686558109253736,1.2686556491049035,1.2720636341714817,0.00037279697098095954,1.269270663148496,0.001773530142142191,-0.0034078232461081117,-0.0034079850665782465,-0.0027929710229857027
M003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M012,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M021,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M030,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M102,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M111,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M120,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M201,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M210,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M300,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M004,4,2.2334714160947042,2.2336267674368564,2.202309155937969,0.0009455448121676766,2.22175041111383,0.007527324083757698,0.03116226015673542,0.031317611498887586,0.019441255175861386
M013,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M022,4,0.7444306347823342,0.7446191487679988,0.7376891367724593,0.00048355931322149724,0.7425160302506634,0.00282062227923176,0.0067414980098748955,0.006930011995539558,0.00482689347820409
M031,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M040,4,2.233471416094706,2.233626767436857,2.236046705941763,0.0015821920601006294,2.2304502945085036,0.011568265859601275,-0.002575289847056796,-0.0024199385049059625,-0.005596411433259178
M103,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M112,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M121,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M130,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M202,4,1.0847279418434126,1.0854694705920784,1.083281710643579,0.0007456041868607382,1.0814881890942352,0.004043854264709122,0.0014462311998335595,0.0021877599484994028,-0.0017935215493438696
M211,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M220,4,1.0847279418434144,1.0854694705920782,1.084834911806014,0.0004518184573157126,1.0901408880207766,0.003131903480438672,-0.00010696996259973453,0.0006345587860641104,0.005305976214762479
M301,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M310,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M400,4,4.423407043873049,4.43082960465677,4.462593844288534,0.002267038363563104,4.423438270308939,0.011023824548045166,-0.039186800415484974,-0.031764239631764134,-0.03915557397959549
M005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M023,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M032,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M041,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M050,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M104,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M113,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M122,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M131,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M140,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M203,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M212,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M221,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M230,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M302,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M311,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M320,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M401,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M410,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M500,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M006,6,9.560524301708089,9.580456026473051,9.464349338366816,0.010507359204715957,9.393135520180314,0.059929440495940754,0.09617496334127305,0.11610668810623548,-0.07121381818650192
M015,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M024,6,1.9300313712059491,1.9090175686366018,1.8809243155947846,0.004755495522456453,1.8874072724500888,0.013568368403669541,0.04910705561116462,0.02809325304181723,0.006482956855304207
M033,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M042,6,1.9300313712059505,1.9090175686366018,1.8484936446259816,0.003327219128954228,1.900925372054516,0.01793772628857158,0.08153772657996891,0.060523924010620185,0.05243172742853447
M051,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M060,6,9.560524301708098,9.580456026473053,9.373386285984783,0.009134341003706596,9.468172021427524,0.08774239990652558,0.18713801572331532,0.20706974048827062,0.09478573544274137
M105,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M114,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M123,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M132,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M141,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M150,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M204,6,2.834607211688337,2.767909375879456,2.762297169383733,0.006082441424641445,2.7572180694518402,0.021187297653437055,0.07231004230460421,0.005612206495722921,-0.005079099931892822
M213,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M222,6,0.9496242277413235,0.9225552862259153,0.9137170773053327,0.001094822198980573,0.9230813318698189,0.007663588052978859,0.03590715043599083,0.008838208920582633,0.009364254564486205
M231,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M240,6,2.8346072116883345,2.767909375879455,2.7214796687152645,0.004233372355660299,2.7777360295085343,0.013509123335525255,0.11312754297307015,0.04642970716419064,0.056256360793269844
M303,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M312,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M321,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M330,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M402,6,3.8292200406606867,3.7484447849437887,3.7940524738552566,0.004270901105344275,3.7151228477877267,0.02666414409269189,0.03516756680543013,-0.045607688911467874,-0.07892962606752993
M411,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M420,6,3.8292200406606796,3.7484447849437883,3.7507612294066917,0.007238389081186056,3.781950753952026,0.02871321503496647,0.07845881125398799,-0.0023164444629033575,0.031189524545334222
M501,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M510,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M600,6,24.37844368753576,24.886351806038487,24.36340464635674,0.026414328005997932,24.226745996107795,0.10402549506314655,0.015039041179019124,0.522947159681746,-0.136658650248947
M007,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M025,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M034,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M043,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M052,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M061,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M070,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M106,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M115,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M124,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M133,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M142,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M151,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M160,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M205,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M214,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M223,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M232,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M241,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M250,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M304,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M313,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
