step,time,mixture_rho,mixture_energy_trace,mixture_M200,mixture_M300,mixture_M400,mixture_M110,mixture_M210,mixture_stress_norm,mixture_qx,mixture_heat_flux_norm,mixture_realizability_margin,gaussian_rho,gaussian_energy_trace,gaussian_M200,gaussian_M300,gaussian_M400,gaussian_M110,gaussian_M210,gaussian_stress_norm,gaussian_qx,gaussian_heat_flux_norm,gaussian_realizability_margin,particle_mean_rho,particle_mean_energy_trace,particle_mean_M200,particle_mean_M300,particle_mean_M400,particle_mean_M110,particle_mean_M210,particle_mean_stress_norm,particle_mean_qx,particle_mean_heat_flux_norm,particle_mean_realizability_margin,particle_sem_rho,particle_sem_energy_trace,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M110,particle_sem_M210,particle_sem_stress_norm,particle_sem_qx,particle_sem_heat_flux_norm,particle_sem_realizability_margin
0,0.0,1.0,1.4046249999999998,0.644625,-0.30299374999999995,1.1824440625000001,0.0,0.0,0.20479265180756606,-0.03950395312500002,0.03950395312500002,0.28381707679835316,1.0,1.4046249999999998,0.644625,-0.30299374999999995,1.1824440625000001,0.0,0.0,0.20479265180756606,-0.03950395312500002,0.03950395312500002,0.28381707679835316,0.9999999999999646,1.4041354820878853,0.6443888342889814,-0.3041348270780651,1.1825727956351448,0.0001360491373116452,-4.22053086964138e-05,0.20472953673785613,-0.03986410151382062,0.039910231670558495,0.28364993084180445,2.866583523299505e-17,0.0009893569416098424,0.0010018687617584343,0.0012873633603731176,0.0037376566056607783,0.0004072917552735555,0.0004934403134427692,0.0009161460267965991,0.0006419317417987031,0.0006415468088139782,0.0006258217588241378
1,0.0025,1.0,1.4046249999999993,0.6430037373922939,-0.3019990295534666,1.1797707940487268,-6.873299688489334e-17,1.788358649481688e-16,0.20280701874359933,-0.03933206429710241,0.03933206429710241,0.28529096989714187,1.0,1.404625,0.6433934171538386,-0.30214171059968153,1.1867217291522896,0.0,0.0,0.203284277033036,-0.039404223180629194,0.039404223180629194,0.2858328562684698,0.9999999999999646,1.404135482087885,0.6427338663175323,-0.303098720583573,1.179867817324218,0.00016000885255627954,-6.168579471375809e-05,0.20270241140564288,-0.039687711540775605,0.0397362254713106,0.2852146356667582,2.866583523299505e-17,0.0009893569416097572,0.0009751833747578533,0.001258684055609449,0.003640046959488865,0.0004039124842236888,0.0005085412534759253,0.0008784681238050282,0.0006472919745762925,0.0006468800281702098,0.0006139460217559867
2,0.005,1.0,1.404624999999999,0.6414001669104734,-0.30101647845171386,1.177140412533607,-6.997982938325167e-17,2.3564805878640923e-16,0.20084305402007488,-0.03916302899633054,0.03916302899633054,0.2867540582103619,1.0,1.404625,0.6421762264218426,-0.30129405794207337,1.1908988775105809,0.0,0.0,0.20179352892651853,-0.03930285174008047,0.03930285174008047,0.2878297592044058,0.9999999999999646,1.4041354820878853,0.6411992118339056,-0.30213102369851436,1.1776357294172737,9.317812349798289e-05,1.9114402425573124e-05,0.20082162213651555,-0.03954741935224161,0.03959761673946825,0.2866170276021079,2.866583523299505e-17,0.000989356941609737,0.0009724929718215755,0.0012325775331419701,0.0036165266691092425,0.0003974012236913773,0.0005180089218686519,0.0008754325199975941,0.0006114642129312111,0.0006113359634555406,0.0006219991997482088
3,0.0075,1.0,1.404624999999999,0.6398141055068628,-0.3000459913624022,1.1745525716801528,-3.615272160170393e-17,1.9271365275598326e-16,0.19890053345029068,-0.03899682785362164,0.03899682785362164,0.2882063700412201,1.0,1.404625,0.6409731757169962,-0.3004508067552037,1.1949777608097225,0.0,0.0,0.20032009874573387,-0.03919989833793655,0.03919989833793655,0.2898080221977018,0.9999999999999646,1.4041354820878846,0.6396556876373578,-0.30125515327636787,1.175056955583633,6.897507168288716e-05,4.802691749643555e-06,0.19893248867585966,-0.03930784678542975,0.0393576648928387,0.2880078913030484,2.866583523299505e-17,0.0009893569416096631,0.0009676597794355725,0.0012442766432559124,0.0035595097834937033,0.00041660184345026184,0.0005346654702607856,0.0008686762506358928,0.0006240953627339162,0.0006244015599439761,0.0006548900490893124
4,0.01,1.0,1.404624999999999,0.6382453718239707,-0.2990874654048842,1.1720069331041763,-1.1226371411018634e-16,4.122645926842979e-16,0.1969792349175893,-0.03883344245281055,0.03883344245281055,0.2896480299689958,1.0,1.4046250000000002,0.6397840183954973,-0.29961197025254266,1.1989605752449355,0.0,0.0,0.1988636844149503,-0.03909542090108528,0.03909542090108528,0.29176787689100125,0.9999999999999646,1.4041354820878849,0.6380844054918486,-0.30030650102563594,1.172587310597367,-8.872446226480861e-07,7.482277391834282e-06,0.1970082201599911,-0.03913621834114778,0.039189413954961234,0.28931188693392573,2.866583523299505e-17,0.0009893569416096557,0.0009653712250322083,0.0012704028297803789,0.003532918973671693,0.0004142086149249595,0.0005285108796231339,0.0008624698176147051,0.0006291747331463019,0.0006290376736703293,0.0006527743761194679
5,0.0125,1.0,1.404624999999999,0.6366937861969113,-0.29814080019922934,1.1695031664775484,-1.5265024503527138e-16,5.840022168060018e-16,0.19507893837832346,-0.03867285535479831,0.03867285535479831,0.2910790881154852,1.0,1.4046250000000002,0.6386085131234444,-0.29877756019227675,1.2028494616523877,0.0,0.0,0.19742399036170968,-0.038989475795408526,0.038989475795408526,0.29370955016048594,0.9999999999999646,1.404135482087885,0.6365952707335035,-0.29945711687740645,1.1703511438643117,5.392037095028068e-05,-2.0093109039747472e-05,0.19518503530629439,-0.03902652448952894,0.03908310847369531,0.2907212394757823,2.866583523299505e-17,0.0009893569416095608,0.0009776220516070865,0.0012902106313880596,0.0035896620769818,0.0004106014534942618,0.0005308231478885349,0.0008759260478337135,0.0006198763255960771,0.000619352662019763,0.0006668079540464477
6,0.015,1.0,1.4046249999999987,0.635159170655128,-0.2972058979192622,1.1670409497046068,-2.0797166088634425e-16,7.216416826030366e-16,0.19319942586396657,-0.03851505012390337,0.03851505012390337,0.292499559002221,1.0,1.4046250000000002,0.637446423747217,-0.2979475869342798,1.2066465071325725,0.0,0.0,0.19600072735807664,-0.03888211787090304,0.03888211787090304,0.2956332642887827,0.9999999999999646,1.4041354820878846,0.6350318032548184,-0.2985139203770235,1.1675703784727482,5.2791755529810674e-05,-8.464733251384814e-06,0.1932684213780704,-0.03886877932334426,0.03892643802371999,0.29214384421368667,2.866583523299505e-17,0.0009893569416095736,0.0009740034042759535,0.0013066666752277328,0.0035863659557555452,0.00039585725957583403,0.0005317865065506375,0.0008723776563797454,0.0006353924623007279,0.0006353482294419699,0.000683782143287408
7,0.0175,1.0,1.4046249999999996,0.6336413489234541,-0.2962826633499743,1.1646199691104286,-2.357814466105974e-16,9.549619901219171e-16,0.191340481482412,-0.03836001135656447,0.03836001135656447,0.29390947360811454,1.0,1.404625,0.6362975191674327,-0.29712205949487847,1.210353746618703,0.0,0.0,0.19459361236626746,-0.038773400505294014,0.038773400505294014,0.297539237128932,0.9999999999999646,1.4041354820878844,0.6335376918627578,-0.2977865425428881,1.1657285696058426,0.00010523722819226498,-2.012300372421981e-05,0.19143838355437456,-0.03883125892488091,0.0388847120418746,0.2935838725952594,2.866583523299505e-17,0.0009893569416095417,0.0009861822324927394,0.0013500323814667249,0.0036836200538940753,0.0003804048713699958,0.0005060425612611385,0.0008895602377505134,0.0006622363338363666,0.000662146738861053,0.0006910586169674677
8,0.02,1.0,1.4046249999999998,0.6321401464225609,-0.2953710039497497,1.1622399196424094,-2.678738309161683e-16,9.879217361654765e-16,0.18950189141852267,-0.03820772471261421,0.03820772471261421,0.29530894892431686,1.0,1.404625,0.6351615732163645,-0.2963009855995048,1.2139731643922296,0.0,0.0,0.1932023683885186,-0.03866337564619984,0.03866337564619984,0.29942768225997013,0.9999999999999646,1.404135482087884,0.6320448685990332,-0.296672664584109,1.1632055292429857,9.005799497730933e-05,-3.601430846859527e-05,0.1896096684841003,-0.03860324753980593,0.03865205752986924,0.29498025766415636,2.866583523299505e-17,0.0009893569416095298,0.0009856767434319477,0.0013245838866494937,0.003586331558800354,0.0003527692253726759,0.0005210469535670556,0.0008979242859017262,0.0006562130081796165,0.0006546055839435062,0.0007023580618590293
9,0.0225,1.0,1.4046250000000002,0.6306553902688313,-0.29447082991785056,1.1599005050866231,-3.2511970562340295e-16,1.1440468490033891e-15,0.1876834439339751,-0.03805817694933858,0.03805817694933858,0.29669801105769855,1.0,1.404625,0.6340383645387137,-0.29548437173332426,1.2175066955475153,0.0,0.0,0.19182672432106324,-0.03855209385190295,0.03855209385190295,0.30129880913463414,0.9999999999999646,1.4041354820878844,0.630632953689024,-0.29581521310349157,1.161260951346935,4.8106273259619986e-05,3.911109764655817e-05,0.18788003191655436,-0.03843017599668169,0.0384816356210054,0.2963030025848404,2.866583523299505e-17,0.0009893569416095588,0.0009775649809425167,0.0013240406589776605,0.0036457179415306223,0.00035330797408442464,0.0005151302691123595,0.0008878617317757576,0.0006341035980165794,0.0006328050206777843,0.0007009338774763223
