step,time,mixture_rho,mixture_energy_trace,mixture_M200,mixture_M300,mixture_M400,mixture_M110,mixture_M210,mixture_stress_norm,mixture_qx,mixture_heat_flux_norm,mixture_realizability_margin,gaussian_rho,gaussian_energy_trace,gaussian_M200,gaussian_M300,gaussian_M400,gaussian_M110,gaussian_M210,gaussian_stress_norm,gaussian_qx,gaussian_heat_flux_norm,gaussian_realizability_margin,particle_mean_rho,particle_mean_energy_trace,particle_mean_M200,particle_mean_M300,particle_mean_M400,particle_mean_M110,particle_mean_M210,particle_mean_stress_norm,particle_mean_qx,particle_mean_heat_flux_norm,particle_mean_realizability_margin,particle_sem_rho,particle_sem_energy_trace,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M110,particle_sem_M210,particle_sem_stress_norm,particle_sem_qx,particle_sem_heat_flux_norm,particle_sem_realizability_margin
0,0.0,1.0,1.244625,0.5314789831520966,-0.19329480463713347,0.8192605163652736,0.12209744785081128,-0.07626636494865494,0.2715892061570962,-0.03214822545725943,0.039503953125000074,0.2105961711326594,1.0,1.244625,0.5314789831520966,-0.19329480463713347,0.8192605163652736,0.12209744785081128,-0.07626636494865494,0.2715892061570962,-0.03214822545725943,0.039503953125000074,0.2105961711326594,0.9999999999999646,1.245423336144244,0.5316729082499999,-0.19448373384918266,0.8217824826106984,0.12273717623191596,-0.07746689232234948,0.27251821729546827,-0.03267921673909007,0.04038492983870897,0.21005946121168081,2.866583523299505e-17,0.0008264952159598638,0.0006509138051673491,0.0011938342465446562,0.0022036790241260033,0.000287943958341807,0.00044009995500208485,0.0005511315154438548,0.00040419845604072426,0.00044632477363249585,0.00044138262496411435
1,0.0025,1.0,1.2446250000000003,0.530424707102827,-0.1928251830149266,0.8185679218756164,0.12095360064279571,-0.07585323179603297,0.26901724362567564,-0.03202865947175161,0.039357029647275665,0.21225074659530546,1.0,1.244625,0.5306886227351145,-0.1928449248519414,0.8233171520387556,0.12122836798896865,-0.0758395280308409,0.26965672469251684,-0.03199820801619271,0.03931961069627998,0.21268855562504851,0.9999999999999646,1.245423336144244,0.53065545558855,-0.19382446320234453,0.820825301382206,0.12157603309562409,-0.07701682179718038,0.2699416154518009,-0.03245852525933779,0.04013390189280533,0.21172913549852412,2.866583523299505e-17,0.0008264952159598658,0.0006438192507903417,0.001215581336909442,0.0022085713939543595,0.0002849984298206969,0.0004412890755650613,0.0005541757780900664,0.0004114364376656481,0.00045878398132853985,0.00044480892285738593
2,0.005,1.0,1.2446250000000005,0.5293813639551911,-0.19236219253823922,0.8178956139262251,0.11982243077812677,-0.07544519961534543,0.26647229333206385,-0.03191173483932707,0.03921335188177642,0.21389462188519429,1.0,1.2446249999999999,0.5299084113875719,-0.19239715496951665,0.8272961155436097,0.12037081804305524,-0.07541589243689377,0.2677492321448622,-0.03184745460040522,0.03913436389693115,0.21476637906825768,0.9999999999999646,1.2454233361442442,0.5296066119916222,-0.1934407624098341,0.8201447900988262,0.12045360872040471,-0.0766124262423695,0.267445918721304,-0.03242264384413699,0.04005823611305488,0.21333748392769122,2.866583523299505e-17,0.0008264952159599489,0.0006510304324201961,0.0012416306909413593,0.002268211581585057,0.0002713590686823938,0.0004648948454370089,0.0005414808995246071,0.000429378276953027,0.0004750531880731868,0.00045127708486389015
3,0.0075,1.0,1.244625,0.528348860929957,-0.1919058044080994,0.8172436245774723,0.11870381863743493,-0.07504223839608212,0.2639541198517005,-0.03179744989456747,0.03907291778202577,0.21552776965253936,1.0,1.244625,0.529138147147282,-0.19195151287867196,0.8311991156986267,0.11952456489983511,-0.07499544909776942,0.26586622911312846,-0.03169602036261396,0.03894828049897876,0.2168297405573432,0.9999999999999646,1.2454233361442437,0.5286356710261381,-0.19291949270894435,0.8194830740725141,0.1193028528131309,-0.07628834580368922,0.26492511640133337,-0.032261995110804825,0.03989570703899254,0.21506017656753335,2.866583523299505e-17,0.0008264952159599415,0.000656969166587361,0.0012180384605617852,0.002243329450622597,0.0002614364805126814,0.0004801085059075824,0.0005457646431989149,0.00042725430987331544,0.0004756906223803984,0.0004726598718626608
4,0.01,1.0,1.244625,0.5273271054696641,-0.19145599161859878,0.8166119870937067,0.1175976451471585,-0.07464431918128929,0.2614624884749427,-0.031685804290606454,0.03893572692179136,0.21715016530628078,1.0,1.244625,0.5283776329421956,-0.1915080151221082,0.835027814662829,0.11868938117763014,-0.07457818829049458,0.264007228340872,-0.031543958494804444,0.03876142586508822,0.2188787351180465,0.9999999999999646,1.2454233361442435,0.5276042943132192,-0.19261321304036427,0.8189285721532906,0.11823772384156207,-0.07591229130336984,0.26248625600046893,-0.032260025422739744,0.0398410939583377,0.2166647632872956,2.866583523299505e-17,0.0008264952159599856,0.0006473068182394246,0.0012238075677510477,0.002208650846793216,0.00025439521476811354,0.0004659139447770073,0.0005226578640381901,0.0004360962343095555,0.0004777315667939761,0.00046056174262728834
5,0.0125,1.0,1.2446250000000003,0.5263160052712282,-0.1910127290666142,0.8160007363197981,0.11650379181357047,-0.07425141413319174,0.2589971652849354,-0.031576799075039935,0.03880178058836616,0.21876178687652684,1.0,1.244625,0.5276266764548933,-0.191066676955909,0.8387838294862764,0.11786504506564449,-0.07416409967413738,0.2621717543783593,-0.03139132029861143,0.03857386303504929,0.2209134545543103,0.9999999999999646,1.2454233361442442,0.5265245466312735,-0.1921640150791046,0.818234913901488,0.11708060214769445,-0.07550764117982617,0.25991660793750354,-0.03216112659727794,0.03972339257064433,0.21840824125669386,2.866583523299505e-17,0.0008264952159600236,0.0006493186500328783,0.001193005830271382,0.0021965935185647013,0.00025635740955846985,0.0004717519123192208,0.0005159894009260929,0.00043621988764347116,0.0004804877924034881,0.00047600913479934557
6,0.015,1.0,1.2446250000000005,0.5253154683173653,-0.19057599366944525,0.8154099090753739,0.11542214075540927,-0.07386349660311564,0.25655791723255716,-0.03147043677209149,0.0386710818835332,0.22036261487651504,1.0,1.244625,0.5268850899914075,-0.19062751240633663,0.8424687336003527,0.11705134016844293,-0.07375317232407871,0.2603593432555363,-0.031238155252858984,0.03838565280876987,0.22293398809623025,0.9999999999999646,1.2454233361442442,0.5255464582896407,-0.1917470068416092,0.8174157398661918,0.11602977367296508,-0.07512131567444931,0.2575059349743734,-0.03205829683913783,0.03958236726935914,0.22004991657309572,2.866583523299505e-17,0.0008264952159600631,0.0006464504193093187,0.0012243863639907118,0.0023056107048607757,0.00024073409314398234,0.00047180328063278613,0.0005001392578355462,0.00044650215974334056,0.0004908028713142642,0.0004972800699233977
7,0.0175,1.0,1.2446250000000005,0.5243254029068848,-0.19014576449122222,0.8148395445690134,0.11435257473517735,-0.07348054120620301,0.2541445122085749,-0.031366721471667816,0.03854363583299687,0.2219526321638073,1.0,1.244625,0.5261526903542144,-0.19019053432406324,0.8460840582502258,0.11624805535539294,-0.0733453947646693,0.2585695421654152,-0.03108451107839135,0.038196853825940555,0.22494042290126864,0.9999999999999646,1.245423336144244,0.5246177378207936,-0.19141275327864402,0.817266912716941,0.11488268804722523,-0.07478321321405455,0.2550363084966646,-0.031986936449176266,0.03953203684097795,0.22179008682263565,2.866583523299505e-17,0.0008264952159600044,0.0006329723712654192,0.001247451110379131,0.002262045657213778,0.00024337121356467916,0.00047022981670381223,0.0004919100247694434,0.00045561894562704393,0.0004971846269399245,0.0005494276595121057
8,0.02,1.0,1.244625,0.5233457176839155,-0.18972202287902173,0.8142896848351489,0.11329497718918832,-0.07310252390146155,0.25175671911316705,-0.03126565892600173,0.038419449505138994,0.22353182380044329,1.0,1.2446249999999999,0.5254292987192412,-0.1897557544359642,0.8496312938720426,0.11545498461488794,-0.07294075500035267,0.2568019091574975,-0.03093043380031763,0.0380075226425213,0.2269328444460182,0.9999999999999646,1.2454233361442437,0.5235570940739775,-0.19115271779127158,0.8165962030764403,0.11376993794500259,-0.07435671411541198,0.25255365668445146,-0.03193819882702475,0.03942389158482769,0.22356919233411693,2.866583523299505e-17,0.000826495215959962,0.0006328991290350063,0.0012690471845870658,0.0022112002502612444,0.00025343623229984397,0.0004866941951891464,0.0005097698578065864,0.0004594762145247462,0.0005014862046328666,0.0005493041362684946
9,0.0225,1.0,1.2446249999999999,0.5223763216661272,-0.1893047526097218,0.8137603751965616,0.11224923225643284,-0.07272942207773686,0.24939430792296258,-0.031167256654649634,0.03829853214004036,0.2251001769116976,1.0,1.244625,0.5247147405167424,-0.18932318339459414,0.8531118914172877,0.11467192691317733,-0.0725392405453307,0.25505601284086254,-0.030775967807788476,0.037817713804195505,0.22891133683525317,0.9999999999999646,1.2454233361442437,0.5225572857081214,-0.19079283652789836,0.8159043386713196,0.11271764088247918,-0.07407705519601113,0.25018045230399405,-0.03187960968542909,0.03937634323401734,0.22511544032031142,2.866583523299505e-17,0.0008264952159599613,0.0006154367815879082,0.001254227383937802,0.002148394323780978,0.0002532832102895405,0.00048713514826533374,0.0004985199235502148,0.00047271002851008225,0.0005173149239578955,0.0005470400162906002
