step,time,mixture_rho,mixture_energy_trace,mixture_M200,mixture_M300,mixture_M400,mixture_M110,mixture_M210,mixture_stress_norm,mixture_qx,mixture_heat_flux_norm,mixture_realizability_margin,gaussian_rho,gaussian_energy_trace,gaussian_M200,gaussian_M300,gaussian_M400,gaussian_M110,gaussian_M210,gaussian_stress_norm,gaussian_qx,gaussian_heat_flux_norm,gaussian_realizability_margin,particle_mean_rho,particle_mean_energy_trace,particle_mean_M200,particle_mean_M300,particle_mean_M400,particle_mean_M110,particle_mean_M210,particle_mean_stress_norm,particle_mean_qx,particle_mean_heat_flux_norm,particle_mean_realizability_margin,particle_sem_rho,particle_sem_energy_trace,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M110,particle_sem_M210,particle_sem_stress_norm,particle_sem_qx,particle_sem_heat_flux_norm,particle_sem_realizability_margin
0,0.0,1.0,1.6525,0.7525000000000001,0.0,1.5157562500000001,0.0,0.0,0.24699021573063715,0.0,0.0,0.3233271561879729,1.0,1.6525,0.7525000000000001,0.0,1.5157562500000001,0.0,0.0,0.24699021573063715,0.0,0.0,0.3233271561879729,0.9999999999999646,1.6522607982480615,0.7525608205914649,-0.002321613905134095,1.5156997196432231,-7.500251005154223e-05,0.00016143203980320807,0.2472091311150487,-0.0008421098916629508,0.0035513140471065416,0.3231140353091254,2.866583523299505e-17,0.0009755311987046488,0.0009393133766310745,0.0012779653771636354,0.003986497775237931,0.00040054737660213697,0.0005921627856301623,0.0008714225263116857,0.0007290705272031951,0.0003862825941949262,0.0006784575808211935
1,0.0025,1.0,1.6525000000000003,0.7504991870396358,-2.7755575615628914e-17,1.5118451705996239,-1.474514954580286e-17,9.032176191824713e-17,0.24453973031881712,6.938893903907228e-18,1.1935096783864788e-16,0.3249661841708821,1.0,1.6525000000000003,0.7508807489597555,0.0,1.5204819659007323,0.0,0.0,0.2450070463236022,0.0,0.0,0.32531941209086707,0.9999999999999646,1.652260798248061,0.7505121389253048,-0.0023561029010106447,1.5114822771260532,-4.288564238619993e-05,0.00011714052189171193,0.24469955633786122,-0.0008987527296233191,0.003618234369771407,0.32487352960027943,2.866583523299505e-17,0.0009755311987046916,0.0008965379258292877,0.0012783443360015647,0.0038183769222690884,0.0004028013654528533,0.000614416962648219,0.0008121794518185002,0.0007390197495048389,0.0003964366038517336,0.0006582301821362119
2,0.005,1.0,1.6525000000000007,0.7485199244376808,-5.551115123125783e-17,1.507988799877767,-1.474514954580286e-17,6.863771846853703e-17,0.24211563859793536,-2.0816681711721685e-17,1.3680506868750967e-16,0.3265926176296283,1.0,1.6525,0.7492797981940674,0.0,1.5250881666484624,0.0,0.0,0.24304629008397524,0.0,0.0,0.327294514651076,0.9999999999999646,1.6522607982480613,0.7485980677584616,-0.002301229915705404,1.5083756296782223,-0.0001296386891776062,0.00015429895958116608,0.24235420305605107,-0.0009399826393172023,0.003574995064147239,0.3264322623192846,2.866583523299505e-17,0.0009755311987046523,0.0009018249950061623,0.001243986308689249,0.0038261202502693614,0.0003987502136979078,0.0006128259250892646,0.0008177747172632808,0.0007041603875145991,0.00037779991300616287,0.0006774878115952307
3,0.0075,1.0,1.6525000000000003,0.7465619874423572,-4.718447854656915e-16,1.5041865698123584,-1.3010426069826053e-17,1.605780626953078e-16,0.23971766530440514,-4.0939474033052647e-16,4.605383104617331e-16,0.32820655338740656,1.0,1.6525,0.7476968538187235,0.0,1.529577628665275,0.0,0.0,0.24110758707857466,0.0,0.0,0.3292526375314005,0.9999999999999646,1.652260798248062,0.7467057270776901,-0.0023763813749649505,1.504705206947506,-0.00014760522267929434,0.00011920635898537925,0.2400376105021675,-0.0008565660696024144,0.0035290203866217727,0.32795221225090315,2.866583523299505e-17,0.0009755311987046924,0.0008950331705630124,0.0012477215156962511,0.0036988755338528954,0.00042003909925052916,0.0006130367700714269,0.0008106271462521655,0.0007125634671188276,0.0003842781333054789,0.0006954719493335633
4,0.01,1.0,1.652500000000001,0.7446251532771809,-3.885780586188048e-16,1.5004379198896627,-9.454242944073599e-17,1.2935304012772527e-16,0.23734553759386917,-3.3306690738754696e-16,4.104916754870454e-16,0.329808051649846,1.0,1.6525000000000003,0.7461316279033867,0.0,1.5339530568699018,0.0,0.0,0.2391905846661967,0.0,0.0,0.3311939516273664,0.9999999999999646,1.6522607982480617,0.7447568764037106,-0.0023630213706216157,1.501247790377993,-0.00022812009047411955,0.00015049486167137302,0.2376509412557086,-0.0008331007382238579,0.0035924330309588604,0.3293964780384895,2.866583523299505e-17,0.0009755311987047862,0.0008960705480698323,0.00128729918112703,0.0036814877243564587,0.00041409771913700037,0.0006155250173203385,0.0008098314869801035,0.0007296678670349721,0.0004122641041771062,0.0006929888571401667
5,0.0125,1.0,1.6525000000000005,0.7427092011451409,-2.220446049250313e-16,1.4967422971499884,-7.979727989493313e-17,5.1290483708768955e-17,0.2349989850463216,-3.122502256758253e-16,3.5222123601921485e-16,0.3313971954848236,1.0,1.6525,0.744583838330971,0.0,1.5382170867938352,0.0,0.0,0.23729493732538712,0.0,0.0,0.33311862516399804,0.9999999999999646,1.6522607982480615,0.7428964477656402,-0.002439010799307607,1.4979370753898258,-0.00016360187138348778,0.00012251848045740228,0.23537238426444174,-0.0008898148123740365,0.0036659369484708525,0.33096340745163383,2.866583523299505e-17,0.0009755311987047535,0.0008917583710567872,0.0012966409739772577,0.003715020709157517,0.0003983771143380237,0.000640195996961427,0.0008089832757670768,0.0007206558287129001,0.00040677628310744555,0.0007042964791403486
6,0.015,1.0,1.6525000000000005,0.740813912231817,-1.1102230246251565e-16,1.4930991562333584,-5.204170427930421e-17,-6.493598918167712e-17,0.23267773966992278,-2.636779683484747e-16,2.862608466776401e-16,0.33297405697732896,1.0,1.6524999999999999,0.7430532086608226,0.0,1.5423722866257483,0.0,0.0,0.23542030648687307,0.0,0.0,0.33502682378711296,0.9999999999999646,1.6522607982480617,0.7409461816569395,-0.00256194034540755,1.4938924111241563,-0.0001567480434045063,0.00011855062607753268,0.23298274134402877,-0.0009484446793726902,0.003699332976264632,0.33255659530202863,2.866583523299505e-17,0.0009755311987046727,0.0008962584621252324,0.0012904307212163184,0.0036739222888771926,0.000390061907035473,0.000620980255086254,0.0008127011913797119,0.0007219572744376997,0.0004228997924165553,0.0007182983747702465
7,0.0175,1.0,1.6524999999999999,0.7389390697074957,2.7755575615628914e-17,1.4895079594257266,-1.491862189340054e-16,-2.5037349234210557e-17,0.23038153590359364,-2.1510571102112408e-16,2.973852037802687e-16,0.3345387137963581,1.0,1.6525,0.7415394679955932,0.0,1.5464211591869632,0.0,0.0,0.23356636037051653,0.0,0.0,0.33691871064949214,0.9999999999999646,1.652260798248062,0.7390952500451975,-0.0027925999118226887,1.4907370106211126,-0.00013421709055050755,0.00011489794182563442,0.23071521422930158,-0.001089659575062921,0.003776665808058396,0.3341637571126011,2.866583523299505e-17,0.0009755311987047648,0.0009131181987254655,0.0013520428822092474,0.003755571391932459,0.0003701976399517434,0.0005882692872324318,0.0008389185699029614,0.0007544726782457252,0.00042915441225776314,0.0007231469806377458
8,0.02,1.0,1.6525000000000003,0.7370844587283271,-2.7755575615628914e-17,1.4859681767061694,-1.465841337200402e-16,8.77196767042819e-17,0.22811011061843023,-1.734723475976807e-16,4.946211334430375e-16,0.33609124237462334,1.0,1.6525,0.7400423508516872,0.0,1.5503661438405922,0.0,0.0,0.23173277382664523,0.0,0.0,0.3387944464922657,0.9999999999999646,1.6522607982480628,0.7372581304532915,-0.0026221736537381164,1.4873657692986324,-0.00012703984027038722,0.00012023378450778981,0.2284655139601132,-0.0010368653710178433,0.0036222554330224794,0.3356771079500167,2.866583523299505e-17,0.000975531198704703,0.0009084489987123517,0.0013137349386018772,0.003703544302697454,0.00034396634014543815,0.0006057585434266565,0.0008439201955594046,0.0007395649562168703,0.00042955967465262395,0.0007310768926527344
9,0.0225,1.0,1.6525000000000005,0.7352498664365644,-1.942890293094024e-16,1.4824792857956877,-8.847089727481716e-17,3.220852547302408e-17,0.22586320311799932,-2.983724378680108e-16,5.872975759112723e-16,0.3376317184892539,1.0,1.6525,0.7385615970331755,0.0,1.5542096183368652,0.0,0.0,0.22991922818162944,0.0,0.0,0.3406541897218239,0.9999999999999646,1.6522607982480626,0.7354944425806395,-0.0026343102601930155,1.484474826140678,-0.00019669502281883185,0.00011644151624787274,0.2263062097652937,-0.0010020355578576868,0.0034800957104552856,0.3371339227413614,2.866583523299505e-17,0.0009755311987047743,0.0009021710878843224,0.0012892972309287334,0.0037778306526634444,0.00035832847870089375,0.0006034805857354165,0.0008362095874602624,0.000708865260487219,0.00045625386511544445,0.0007275550301111677
