step,time,mixture_rho,mixture_energy_trace,mixture_M200,mixture_M300,mixture_M400,mixture_M110,mixture_M210,mixture_stress_norm,mixture_qx,mixture_heat_flux_norm,mixture_realizability_margin,gaussian_rho,gaussian_energy_trace,gaussian_M200,gaussian_M300,gaussian_M400,gaussian_M110,gaussian_M210,gaussian_stress_norm,gaussian_qx,gaussian_heat_flux_norm,gaussian_realizability_margin,particle_mean_rho,particle_mean_energy_trace,particle_mean_M200,particle_mean_M300,particle_mean_M400,particle_mean_M110,particle_mean_M210,particle_mean_stress_norm,particle_mean_qx,particle_mean_heat_flux_norm,particle_mean_realizability_margin,particle_sem_rho,particle_sem_energy_trace,particle_sem_M200,particle_sem_M300,particle_sem_M400,particle_sem_M110,particle_sem_M210,particle_sem_stress_norm,particle_sem_qx,particle_sem_heat_flux_norm,particle_sem_realizability_margin
0,0.0,1.0,3.0,1.0,0.0,18.46238130021914,0.0,0.0,0.0,0.0,0.0,0.11555219719097169,1.0,3.0,1.0,0.0,18.46238130021914,0.0,0.0,0.0,0.0,0.0,0.11555219719097169,0.9999999999999957,3.0380649342507926,1.0208670402638949,0.006362483485386011,19.81221200213771,-0.0010586734412358129,-0.07989981176560478,0.08676515572506492,-0.039495282812804434,0.3755893908365252,0.1069531115152047,4.1962486042515756e-17,0.020669874272731623,0.016864247005015404,0.13278926493656332,1.5199841713208706,0.008683555761166787,0.04592150455951321,0.008078916741300339,0.09014231331288532,0.04360151514389632,0.0033979261926829194
1,0.25,1.0,3.000000000000001,1.0,1.7407921139493517e-15,8.688292191904115,6.228012767346582e-17,-2.359982780352998e-16,1.8235522085593757e-15,1.0896136723799223e-15,1.7121518219304047e-15,0.20153538585928374,1.0,3.0,1.0,0.0,8.659731628978612,0.0,0.0,0.0,0.0,0.0,0.20193677521802225,0.9999999999999957,3.0380649342507913,1.020442757023424,0.03656593428165457,9.360808484056742,-0.0003659854135487173,-0.056051389066023416,0.05846731798458102,-0.002273490502068297,0.20457736864096104,0.18638187708866924,4.1962486042515756e-17,0.020669874272731998,0.012212842460440571,0.06088650288931073,0.5701368442055277,0.0052655062403224725,0.021980776556345054,0.0055055461208351345,0.04339882680719646,0.03253245198755662,0.004405387308848519
2,0.5,1.0,3.0,0.9999999999999971,-9.179983206059071e-17,5.092605752777304,3.4336124816999254e-17,-5.897080156327814e-16,3.771158351698475e-15,-1.735647473683962e-16,1.302288860612578e-15,0.2538952277924287,1.0,3.0,1.0,0.0,5.07164481913319,0.0,0.0,0.0,0.0,0.0,0.25410433070857796,0.9999999999999957,3.0380649342507917,1.0211479746729617,0.055682839308418046,5.29396500712345,-0.0011426145738797253,-0.022524315969274043,0.05032897343177518,0.024917724800366622,0.13663988734919721,0.23937605764914482,4.1962486042515756e-17,0.02066987427273266,0.010948762740335172,0.035333098638531166,0.22508180364649,0.004525906349457092,0.012099305457038934,0.006152301755952099,0.026654889875168095,0.022628295788879895,0.0034791927499302545
3,0.75,1.0,3.000000000000001,0.9999999999999946,-5.219573573010286e-16,3.7698266349236906,3.292022308124479e-17,-1.3806462753337505e-16,7.132301410883027e-15,-4.2797628184649637e-16,5.374513285423673e-16,0.2530396044435564,1.0,3.0,1.0,0.0,3.7582890034338785,0.0,0.0,0.0,0.0,0.0,0.25282369307103086,0.9999999999999957,3.038064934250789,1.0200378531475807,0.031175012707312388,3.9875325661349925,0.0038445542893275108,-0.012022307333877925,0.042256578305205406,0.011141403707746722,0.08971750671251535,0.2434239155616547,4.1962486042515756e-17,0.020669874272732477,0.010393901481419816,0.02591251407867686,0.14235600121332442,0.004358236100884025,0.008954320984625263,0.005284121485542351,0.01892318515955782,0.019271023305593497,0.0032655120060104486
4,1.0,1.0,3.0000000000000018,0.9999999999999957,-6.241527821895719e-16,3.283203392254529,1.9574703037759032e-17,-4.245338600758939e-18,6.098145435372334e-15,-5.680199538382809e-16,1.2954059425139088e-15,0.23792193050922758,1.0,3.0,1.0,0.0,3.2775582992886467,0.0,0.0,0.0,0.0,0.0,0.23765923058180485,0.9999999999999957,3.0380649342507855,1.0204399456855735,0.014805982601508321,3.4027314520621865,0.006755837362691384,-0.009687744092776989,0.043290783146510116,0.0026583427096043546,0.06143391156007115,0.2331941516831161,4.1962486042515756e-17,0.020669874272733268,0.012195557480094606,0.017577393102542534,0.08481356754860624,0.005114640537943655,0.007129686325189522,0.005023950581246995,0.013453512572829248,0.013461673278805578,0.0027997803369812367
5,1.25,1.0,2.9999999999999982,0.9999999999999964,-2.3601706562192376e-16,3.1041847056803715,5.103416050356249e-18,-2.1934061543707856e-16,3.904478418650193e-15,-1.6967258378873108e-16,1.1952933472685361e-15,0.22833001293329344,1.0,3.0,1.0,0.0,3.101595314128438,0.0,0.0,0.0,0.0,0.0,0.22817076301442163,0.9999999999999957,3.0380649342507886,1.0221749753499494,0.005508025091912718,3.2180259476090227,0.005128884030267646,-0.004516605975299579,0.041468492963701586,-0.00021297780058381803,0.042911362456529364,0.2237203779471354,4.1962486042515756e-17,0.02066987427273278,0.011207225869683047,0.013494507938458756,0.06803022977311245,0.006011090192047861,0.005837576572264447,0.003353192285720797,0.010290404836452691,0.010275277157060479,0.002557931870375622
6,1.5,1.0,2.999999999999998,1.0,-7.536734604539582e-17,3.038327411304242,5.67744649216198e-17,1.539759699914306e-16,1.676242607598707e-15,-1.9358150255583425e-16,1.011017714468537e-15,0.22407935716276317,1.0,3.0,1.0,0.0,3.0371871706928193,0.0,0.0,0.0,0.0,0.0,0.22400199115249686,0.9999999999999957,3.038064934250791,1.0257032204263634,0.0026776078659586223,3.2029362231188094,0.0062450493758635615,-0.004090760345842782,0.03566552148069327,-0.003595627370210006,0.03325335556396117,0.22056113784906575,4.1962486042515756e-17,0.020669874272732987,0.007427589763955783,0.012022173939079403,0.04586353028495736,0.0023443400943171256,0.005747384829749345,0.0027087816245544016,0.007717377106854527,0.007579292215467609,0.00259928923806495
7,1.75,1.0,2.9999999999999956,0.9999999999999982,-5.4916929936285577e-17,3.014099866652128,1.9646504259412745e-17,-2.722507094076621e-16,8.360542138431235e-16,-8.589577842185745e-17,1.828443276340323e-15,0.22240686841205,1.0,3.0,1.0,0.0,3.0136117071540194,0.0,0.0,0.0,0.0,0.0,0.2223725459059996,0.9999999999999957,3.0380649342507917,1.0204040048509615,0.002183541478992912,3.1234954881220105,0.003349705570489422,0.00045428257920215095,0.03434311176252769,-0.0012843569507348753,0.029055965234815812,0.21783445082131664,4.1962486042515756e-17,0.02066987427273392,0.007225259058980914,0.010943728531577898,0.04788348719311393,0.0049571014542712484,0.0057323961521947705,0.004943903223604262,0.006771722007332777,0.006412814490807567,0.0024866891886936473
8,2.0,1.0,2.999999999999992,0.9999999999999991,-6.514492898783854e-16,3.0051870510645275,1.0270526731963538e-17,-4.570097314606918e-16,2.1307493692234555e-15,-2.8948074788846557e-16,3.7222990028753364e-16,0.22177627442702985,1.0,3.0,1.0,0.0,3.004982325038311,0.0,0.0,0.0,0.0,0.0,0.2217616916461599,0.9999999999999957,3.038064934250793,1.0185563941018332,0.005267200657127999,3.0854426181365553,-0.0019317740996917018,0.0011819738169804163,0.04756767074273355,-0.0011895794107010553,0.018633430447082842,0.21600994091589037,4.1962486042515756e-17,0.020669874272733715,0.010195388003738889,0.009129911147104312,0.06288547109587223,0.0041361781825478795,0.005076006553488114,0.003656106863725486,0.003629113299693135,0.0041932875273772065,0.0022533274076885794
9,2.25,1.0,2.999999999999993,0.9999999999999993,-4.687161423516696e-16,3.0019082094469094,6.2293893543340165e-18,7.374202335665662e-17,2.2891573062909508e-15,-2.172376664680828e-16,9.360131074368318e-15,0.22154218765265032,1.0,3.0,1.0,0.0,3.001823692098756,0.0,0.0,0.0,0.0,0.0,0.2215361386562103,0.9999999999999957,3.0380649342507935,1.0190876251664607,0.0030436898090138373,3.097692564518573,-0.004488710191476496,0.0009333803421739022,0.04739275844717823,-0.002357742307900458,0.015045760580065038,0.21656204600531861,4.1962486042515756e-17,0.020669874272734107,0.010341137018687017,0.009836533398870407,0.07147370590945794,0.005608567265922024,0.004750320524185062,0.007362798683073959,0.0032301821236454032,0.003366783811715255,0.0024017890976213772
