method,metric,history_relative_l2,reference_scramble_spread
stage9_mixture,rho,1.0966001403040935e-16,8.953702652031571e-17
stage9_mixture,momentum_norm,0.9999768112797657,1.0429801233579892
stage9_mixture,energy_trace,1.7511339807810584e-12,3.0091989655173165e-12
stage9_mixture,M300,0.16816372931484702,0.02091571364728113
stage9_mixture,M030,0.09331898569713276,0.05808745828196975
stage9_mixture,M210,0.37546316100679417,0.0800569084595342
stage9_mixture,M120,0.8694864898573895,0.07724624141872469
stage9_mixture,M400,0.10529370639486431,0.011795211047313141
stage9_mixture,M040,0.006888184888762119,0.008090122294764879
stage9_mixture,M220,0.07019770444343043,0.008877816369362083
stage9_mixture,M420,0.18779274174709484,0.026661023760133854
stage9_mixture,M600,0.3610242527382415,0.0345243825495822
stage9_mixture,third_order_norm,0.16412124163601555,0.018739870367114525
stage9_mixture,heat_flux_norm,0.23231342347908804,0.025576839988177176
stage9_mixture,realizability_margin,0.02306433326196721,0.013220506356650275
grad_gqmom,rho,1.0966001403040935e-16,8.953702652031571e-17
grad_gqmom,momentum_norm,0.9999768112797657,1.0429801233579892
grad_gqmom,energy_trace,1.7502919893341958e-12,3.0091989655173165e-12
grad_gqmom,M300,0.017844933381910722,0.02091571364728113
grad_gqmom,M030,0.12040537994309572,0.05808745828196975
grad_gqmom,M210,0.37694063146152645,0.0800569084595342
grad_gqmom,M120,0.4363563166116753,0.07724624141872469
grad_gqmom,M400,0.04158189025398274,0.011795211047313141
grad_gqmom,M040,0.018881946731188235,0.008090122294764879
grad_gqmom,M220,0.24185735980794815,0.008877816369362083
grad_gqmom,M420,0.7813003840315276,0.026661023760133854
grad_gqmom,M600,0.16752404274377092,0.0345243825495822
grad_gqmom,third_order_norm,0.012251388910670683,0.018739870367114525
grad_gqmom,heat_flux_norm,0.04828386025747417,0.025576839988177176
grad_gqmom,realizability_margin,0.03242151873243985,0.013220506356650275
adaptive_memory,rho,2.193200280608187e-16,8.953702652031571e-17
adaptive_memory,momentum_norm,0.4124782243146544,1.0429801233579892
adaptive_memory,energy_trace,7.527073699569868e-13,3.0091989655173165e-12
adaptive_memory,M300,0.008653603516958106,0.02091571364728113
adaptive_memory,M030,0.03556512164487514,0.05808745828196975
adaptive_memory,M210,0.04719917292373188,0.0800569084595342
adaptive_memory,M120,0.04213631604595432,0.07724624141872469
adaptive_memory,M400,0.004780268460050126,0.011795211047313141
adaptive_memory,M040,0.007960493952134252,0.008090122294764879
adaptive_memory,M220,0.009866493283294366,0.008877816369362083
adaptive_memory,M420,0.017397999051400267,0.026661023760133854
adaptive_memory,M600,0.012484248819708672,0.0345243825495822
adaptive_memory,third_order_norm,0.0074709745965047866,0.018739870367114525
adaptive_memory,heat_flux_norm,0.005767747427043461,0.025576839988177176
adaptive_memory,realizability_margin,0.012003701516547538,0.013220506356650275
